name, sem_throughputReplica (avg)(kCommands/s), sem_throughputReplica (med)(kCommands/s), sem_throughputReplica (p95)(kCommands/s), sem_latency (avg)(ms), sem_latency (med)(ms), sem_latency (p95)(ms), cou_throughputReplica (avg)(kCommands/s), cou_throughputReplica (med)(kCommands/s), cou_throughputReplica (p95)(kCommands/s), cou_latency (avg)(ms), cou_latency (med)(ms), cou_latency (med)(ms), dec_throughputReplica (avg)(kCommands/s), dec_throughputReplica (med)(kCommands/s), dec_throughputReplica (p95)(kCommands/s), dec_latency (avg)(ms), dec_latency (med)(ms), dec_latency (p95)(ms), 

Ring counter: 1 ring
io_8_90_001,0.96,1.01,1.02,1.80,1.76,2.07,0.97,0.98,1.00,1.99,2.02,2.19,0.98,0.99,1.01,1.94,1.96,2.19,
io_16_90_001,2.04,2.06,2.08,1.69,1.62,2.24,2.07,2.08,2.10,1.58,1.54,1.85,0.00,0.00,0.00,0.00,0.0,0.0,
io_32_90_001,4.06,4.08,4.11,1.95,1.63,2.54,3.91,3.93,3.99,2.04,1.93,2.84,3.78,3.79,3.89,2.47,2.22,3.37,
io_64_90_001,8.24,8.27,8.48,1.89,1.44,2.69,7.83,7.87,7.98,2.06,1.87,3.03,7.90,7.92,8.09,2.15,1.90,3.00,
io_128_90_001,15.98,16.10,16.42,1.93,1.66,2.88,15.68,15.87,16.17,2.12,1.81,2.89,16.45,16.53,17.01,1.60,1.38,2.19,
io_256_90_001,34.76,33.92,50.20,1.61,1.20,2.44,32.35,32.93,34.90,2.14,1.26,2.90,32.38,33.05,35.56,1.62,1.12,3.18,
io_512_90_001,40.33,48.88,60.51,3.67,1.64,6.76,27.60,27.04,45.34,6.13,3.54,14.90,41.18,39.91,60.50,5.86,2.17,10.47,
io_768_90_001,33.79,34.27,35.78,16.49,15.36,24.43,33.54,32.32,44.03,12.00,9.89,22.62,47.48,47.55,61.84,7.08,5.31,15.80,
io_1024_90_001,34.54,34.56,36.08,21.36,21.50,28.22,21.44,21.62,24.09,41.83,40.50,54.23,46.62,48.12,58.95,17.06,9.73,22.60,
io_1280_90_001,52.24,53.87,69.12,10.29,6.46,19.97,23.59,23.63,27.29,40.59,41.95,58.98,48.29,49.03,62.50,8.89,6.22,18.96,
io_1536_90_001,34.27,35.38,36.18,27.18,32.77,51.22,39.97,40.55,49.70,27.40,18.39,45.98,47.44,51.53,59.35,17.96,10.27,38.89,
io_1792_90_001,34.89,35.46,36.45,38.29,41.57,58.61,36.23,35.96,46.89,38.62,33.73,58.12,46.40,48.59,63.16,11.30,2.92,31.53,
io_2048_90_001,52.52,53.13,62.06,23.29,12.81,31.14,39.21,41.11,49.86,42.40,33.21,63.03,40.76,37.99,58.48,34.55,9.52,35.06,

cpu_8_90_001,1.02,1.02,1.03,1.68,1.67,1.85,1.00,1.01,1.02,1.84,1.83,2.18,0.99,1.00,1.00,1.91,1.86,2.32,
cpu_16_90_001,1.98,1.99,2.03,1.93,1.86,2.52,2.06,2.07,2.09,1.64,1.58,2.33,1.93,1.94,1.98,2.22,2.09,2.99,
cpu_32_90_001,4.16,4.16,4.23,1.50,1.43,2.18,3.96,4.00,4.05,1.91,1.81,2.85,3.89,3.92,4.00,2.10,1.94,3.02,
cpu_64_90_001,8.14,8.16,8.32,1.68,1.67,2.69,7.93,7.96,8.15,1.90,1.81,2.72,7.89,7.93,8.08,2.05,1.79,2.96,
cpu_128_90_001,16.69,16.80,17.21,1.65,1.35,2.17,15.53,15.69,16.15,2.12,1.76,3.22,16.45,16.56,16.90,1.54,1.40,2.36,
cpu_256_90_001,32.90,33.48,34.87,1.65,1.19,2.93,32.73,33.34,35.98,1.61,1.21,3.27,31.90,32.44,34.36,1.87,1.33,2.93,
cpu_512_90_001,52.38,56.75,68.83,1.70,1.04,4.08,20.41,20.89,21.84,17.79,17.19,23.21,50.99,57.17,67.35,1.59,1.12,3.10,
cpu_768_90_001,48.06,57.51,92.08,2.09,0.94,5.39,48.85,50.64,61.92,5.07,4.09,11.98,45.52,45.98,49.07,6.65,4.91,12.06,
cpu_1024_90_001,60.09,62.27,91.28,2.21,1.04,5.72,50.06,51.40,68.27,6.82,4.49,13.58,57.61,57.89,76.18,3.79,2.21,6.97,
cpu_1280_90_001,54.70,57.28,75.02,4.25,2.53,8.59,45.91,52.09,63.96,10.83,6.92,19.56,64.78,66.20,75.37,5.74,4.45,11.94,
cpu_1536_90_001,41.66,46.76,89.82,2.56,1.10,6.03,52.34,51.78,67.85,13.89,9.63,22.59,49.85,39.38,96.90,3.41,1.43,9.48,
