16:25:13,280 INFO  [main] Client:126 - thinkingTime [3], writePercentage [100], trackerNumber [1000]
16:25:13,297 INFO  [main] Client:224 - Start performance testing with [32] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
16:25:13,310 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
16:25:14,319 INFO  [ClientStatsWriter] Client:203 - Commands sent 3325, Response received 3317, Total Commands 3325, Total Responses 3317, Avg latency (ms) 1.48, Lantencies size 3,
16:25:15,320 INFO  [ClientStatsWriter] Client:203 - Commands sent 4187, Response received 4188, Total Commands 7512, Total Responses 7505, Avg latency (ms) 1.65, Lantencies size 4,
16:25:16,321 INFO  [ClientStatsWriter] Client:203 - Commands sent 4150, Response received 4154, Total Commands 11662, Total Responses 11659, Avg latency (ms) 1.38, Lantencies size 4,
16:25:17,323 INFO  [ClientStatsWriter] Client:203 - Commands sent 4240, Response received 4235, Total Commands 15902, Total Responses 15894, Avg latency (ms) 1.44, Lantencies size 4,
16:25:18,328 INFO  [ClientStatsWriter] Client:203 - Commands sent 3995, Response received 3996, Total Commands 19897, Total Responses 19890, Avg latency (ms) 1.63, Lantencies size 4,
16:25:19,332 INFO  [ClientStatsWriter] Client:203 - Commands sent 4068, Response received 4067, Total Commands 23965, Total Responses 23957, Avg latency (ms) 1.70, Lantencies size 4,
16:25:20,335 INFO  [ClientStatsWriter] Client:203 - Commands sent 3982, Response received 3984, Total Commands 27947, Total Responses 27941, Avg latency (ms) 1.64, Lantencies size 4,
16:25:21,337 INFO  [ClientStatsWriter] Client:203 - Commands sent 4278, Response received 4275, Total Commands 32225, Total Responses 32216, Avg latency (ms) 1.49, Lantencies size 5,
16:25:22,338 INFO  [ClientStatsWriter] Client:203 - Commands sent 4244, Response received 4245, Total Commands 36469, Total Responses 36461, Avg latency (ms) 1.46, Lantencies size 4,
16:25:23,339 INFO  [ClientStatsWriter] Client:203 - Commands sent 4140, Response received 4137, Total Commands 40609, Total Responses 40598, Avg latency (ms) 1.59, Lantencies size 4,
16:25:24,340 INFO  [ClientStatsWriter] Client:203 - Commands sent 4209, Response received 4216, Total Commands 44818, Total Responses 44814, Avg latency (ms) 1.40, Lantencies size 4,
16:25:25,341 INFO  [ClientStatsWriter] Client:203 - Commands sent 4241, Response received 4236, Total Commands 49059, Total Responses 49050, Avg latency (ms) 1.49, Lantencies size 5,
16:25:26,342 INFO  [ClientStatsWriter] Client:203 - Commands sent 4218, Response received 4220, Total Commands 53277, Total Responses 53270, Avg latency (ms) 1.29, Lantencies size 4,
16:25:27,348 INFO  [ClientStatsWriter] Client:203 - Commands sent 4169, Response received 4171, Total Commands 57446, Total Responses 57441, Avg latency (ms) 4.36, Lantencies size 4,
16:25:28,350 INFO  [ClientStatsWriter] Client:203 - Commands sent 4235, Response received 4234, Total Commands 61681, Total Responses 61675, Avg latency (ms) 1.47, Lantencies size 4,
16:25:29,351 INFO  [ClientStatsWriter] Client:203 - Commands sent 4254, Response received 4251, Total Commands 65935, Total Responses 65926, Avg latency (ms) 1.43, Lantencies size 4,
16:25:30,352 INFO  [ClientStatsWriter] Client:203 - Commands sent 4185, Response received 4189, Total Commands 70120, Total Responses 70115, Avg latency (ms) 1.42, Lantencies size 5,
16:25:31,353 INFO  [ClientStatsWriter] Client:203 - Commands sent 4233, Response received 4236, Total Commands 74353, Total Responses 74351, Avg latency (ms) 1.34, Lantencies size 4,
16:25:32,355 INFO  [ClientStatsWriter] Client:203 - Commands sent 4275, Response received 4274, Total Commands 78628, Total Responses 78625, Avg latency (ms) 1.25, Lantencies size 4,
16:25:33,357 INFO  [ClientStatsWriter] Client:203 - Commands sent 4204, Response received 4204, Total Commands 82832, Total Responses 82829, Avg latency (ms) 1.36, Lantencies size 4,
16:25:34,358 INFO  [ClientStatsWriter] Client:203 - Commands sent 4281, Response received 4276, Total Commands 87113, Total Responses 87105, Avg latency (ms) 1.41, Lantencies size 5,
16:25:35,359 INFO  [ClientStatsWriter] Client:203 - Commands sent 4245, Response received 4246, Total Commands 91358, Total Responses 91351, Avg latency (ms) 1.39, Lantencies size 4,
16:25:36,360 INFO  [ClientStatsWriter] Client:203 - Commands sent 4139, Response received 4140, Total Commands 95497, Total Responses 95491, Avg latency (ms) 5.88, Lantencies size 4,
16:25:37,361 INFO  [ClientStatsWriter] Client:203 - Commands sent 4274, Response received 4276, Total Commands 99771, Total Responses 99767, Avg latency (ms) 1.66, Lantencies size 4,
16:25:38,362 INFO  [ClientStatsWriter] Client:203 - Commands sent 4253, Response received 4251, Total Commands 104024, Total Responses 104018, Avg latency (ms) 1.54, Lantencies size 5,
16:25:39,363 INFO  [ClientStatsWriter] Client:203 - Commands sent 4270, Response received 4269, Total Commands 108294, Total Responses 108287, Avg latency (ms) 1.34, Lantencies size 4,
16:25:40,364 INFO  [ClientStatsWriter] Client:203 - Commands sent 4194, Response received 4193, Total Commands 112488, Total Responses 112480, Avg latency (ms) 1.47, Lantencies size 4,
16:25:41,366 INFO  [ClientStatsWriter] Client:203 - Commands sent 4294, Response received 4296, Total Commands 116782, Total Responses 116776, Avg latency (ms) 1.38, Lantencies size 4,
16:25:42,366 INFO  [ClientStatsWriter] Client:203 - Commands sent 4273, Response received 4275, Total Commands 121055, Total Responses 121051, Avg latency (ms) 1.32, Lantencies size 5,
16:25:43,024 INFO  [Command Sender 7] Client:269 - Thread [Command Sender 7] terminated.
16:25:43,024 INFO  [Command Sender 12] Client:269 - Thread [Command Sender 12] terminated.
16:25:43,024 INFO  [Command Sender 27] Client:269 - Thread [Command Sender 27] terminated.
16:25:43,024 INFO  [Command Sender 28] Client:269 - Thread [Command Sender 28] terminated.
16:25:43,024 INFO  [Command Sender 31] Client:269 - Thread [Command Sender 31] terminated.
16:25:43,024 INFO  [Command Sender 1] Client:269 - Thread [Command Sender 1] terminated.
16:25:43,024 INFO  [Command Sender 14] Client:269 - Thread [Command Sender 14] terminated.
16:25:43,024 INFO  [Command Sender 2] Client:269 - Thread [Command Sender 2] terminated.
16:25:43,024 INFO  [Command Sender 0] Client:269 - Thread [Command Sender 0] terminated.
16:25:43,024 INFO  [Command Sender 13] Client:269 - Thread [Command Sender 13] terminated.
16:25:43,024 INFO  [Command Sender 4] Client:269 - Thread [Command Sender 4] terminated.
16:25:43,024 INFO  [Command Sender 5] Client:269 - Thread [Command Sender 5] terminated.
16:25:43,024 INFO  [Command Sender 24] Client:269 - Thread [Command Sender 24] terminated.
16:25:43,024 INFO  [Command Sender 29] Client:269 - Thread [Command Sender 29] terminated.
16:25:43,024 INFO  [Command Sender 15] Client:269 - Thread [Command Sender 15] terminated.
16:25:43,024 INFO  [Command Sender 19] Client:269 - Thread [Command Sender 19] terminated.
16:25:43,024 INFO  [Command Sender 10] Client:269 - Thread [Command Sender 10] terminated.
16:25:43,024 INFO  [Command Sender 6] Client:269 - Thread [Command Sender 6] terminated.
16:25:43,024 INFO  [Command Sender 22] Client:269 - Thread [Command Sender 22] terminated.
16:25:43,024 INFO  [Command Sender 30] Client:269 - Thread [Command Sender 30] terminated.
16:25:43,024 INFO  [Command Sender 16] Client:269 - Thread [Command Sender 16] terminated.
16:25:43,024 INFO  [Command Sender 17] Client:269 - Thread [Command Sender 17] terminated.
16:25:43,024 INFO  [Command Sender 26] Client:269 - Thread [Command Sender 26] terminated.
16:25:43,024 INFO  [Command Sender 20] Client:269 - Thread [Command Sender 20] terminated.
16:25:43,024 INFO  [Command Sender 21] Client:269 - Thread [Command Sender 21] terminated.
16:25:43,024 INFO  [Command Sender 9] Client:269 - Thread [Command Sender 9] terminated.
16:25:43,024 INFO  [Command Sender 3] Client:269 - Thread [Command Sender 3] terminated.
16:25:43,024 INFO  [Command Sender 23] Client:269 - Thread [Command Sender 23] terminated.
16:25:43,024 INFO  [Command Sender 25] Client:269 - Thread [Command Sender 25] terminated.
16:25:43,024 INFO  [Command Sender 11] Client:269 - Thread [Command Sender 11] terminated.
16:25:43,024 INFO  [Command Sender 18] Client:269 - Thread [Command Sender 18] terminated.
16:25:43,024 INFO  [Command Sender 8] Client:269 - Thread [Command Sender 8] terminated.
I will kill everything
16:25:44,046 INFO  [ShutdownHook] Client:551 - Raw path created [ /tmp/f962e913-4f4b-48aa-9456-4e61f48cd297]
Saving file
File save
