16:38:58,912 INFO  [main] Client:126 - thinkingTime [3], writePercentage [100], trackerNumber [1000]
16:38:58,925 INFO  [main] Client:224 - Start performance testing with [8] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
16:38:58,943 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
16:38:59,946 INFO  [ClientStatsWriter] Client:203 - Commands sent 688, Response received 685, Total Commands 688, Total Responses 685, Avg latency (ms) 0.00, Lantencies size 0,
16:39:00,950 INFO  [ClientStatsWriter] Client:203 - Commands sent 857, Response received 857, Total Commands 1545, Total Responses 1542, Avg latency (ms) 1.97, Lantencies size 1,
16:39:01,951 INFO  [ClientStatsWriter] Client:203 - Commands sent 861, Response received 861, Total Commands 2406, Total Responses 2403, Avg latency (ms) 2.17, Lantencies size 1,
16:39:02,952 INFO  [ClientStatsWriter] Client:203 - Commands sent 861, Response received 860, Total Commands 3267, Total Responses 3263, Avg latency (ms) 1.95, Lantencies size 1,
16:39:03,957 INFO  [ClientStatsWriter] Client:203 - Commands sent 883, Response received 884, Total Commands 4150, Total Responses 4147, Avg latency (ms) 2.00, Lantencies size 1,
16:39:04,958 INFO  [ClientStatsWriter] Client:203 - Commands sent 885, Response received 885, Total Commands 5035, Total Responses 5032, Avg latency (ms) 1.76, Lantencies size 1,
16:39:05,960 INFO  [ClientStatsWriter] Client:203 - Commands sent 879, Response received 881, Total Commands 5914, Total Responses 5913, Avg latency (ms) 0.00, Lantencies size 0,
16:39:06,961 INFO  [ClientStatsWriter] Client:203 - Commands sent 875, Response received 874, Total Commands 6789, Total Responses 6787, Avg latency (ms) 2.12, Lantencies size 1,
16:39:07,962 INFO  [ClientStatsWriter] Client:203 - Commands sent 883, Response received 883, Total Commands 7672, Total Responses 7670, Avg latency (ms) 1.87, Lantencies size 1,
16:39:08,944 ERROR [Command Sender 2] Client:254 - Did not receive response from replicas: 3
16:39:08,963 INFO  [ClientStatsWriter] Client:203 - Commands sent 878, Response received 878, Total Commands 8550, Total Responses 8548, Avg latency (ms) 1.83, Lantencies size 1,
16:39:09,964 INFO  [ClientStatsWriter] Client:203 - Commands sent 1021, Response received 1022, Total Commands 9571, Total Responses 9570, Avg latency (ms) 1.64, Lantencies size 1,
16:39:10,966 INFO  [ClientStatsWriter] Client:203 - Commands sent 1022, Response received 1022, Total Commands 10593, Total Responses 10592, Avg latency (ms) 1.62, Lantencies size 1,
16:39:11,973 INFO  [ClientStatsWriter] Client:203 - Commands sent 1039, Response received 1038, Total Commands 11632, Total Responses 11630, Avg latency (ms) 1.80, Lantencies size 1,
16:39:12,974 INFO  [ClientStatsWriter] Client:203 - Commands sent 1030, Response received 1030, Total Commands 12662, Total Responses 12660, Avg latency (ms) 1.61, Lantencies size 1,
16:39:13,975 INFO  [ClientStatsWriter] Client:203 - Commands sent 1038, Response received 1038, Total Commands 13700, Total Responses 13698, Avg latency (ms) 1.62, Lantencies size 1,
16:39:14,976 INFO  [ClientStatsWriter] Client:203 - Commands sent 1030, Response received 1031, Total Commands 14730, Total Responses 14729, Avg latency (ms) 1.57, Lantencies size 1,
16:39:15,977 INFO  [ClientStatsWriter] Client:203 - Commands sent 1028, Response received 1026, Total Commands 15758, Total Responses 15755, Avg latency (ms) 1.67, Lantencies size 1,
16:39:16,978 INFO  [ClientStatsWriter] Client:203 - Commands sent 1001, Response received 1003, Total Commands 16759, Total Responses 16758, Avg latency (ms) 1.75, Lantencies size 1,
16:39:17,979 INFO  [ClientStatsWriter] Client:203 - Commands sent 1034, Response received 1032, Total Commands 17793, Total Responses 17790, Avg latency (ms) 1.56, Lantencies size 1,
16:39:18,980 INFO  [ClientStatsWriter] Client:203 - Commands sent 1029, Response received 1028, Total Commands 18822, Total Responses 18818, Avg latency (ms) 1.64, Lantencies size 1,
16:39:19,981 INFO  [ClientStatsWriter] Client:203 - Commands sent 1024, Response received 1024, Total Commands 19846, Total Responses 19842, Avg latency (ms) 1.68, Lantencies size 1,
16:39:20,982 INFO  [ClientStatsWriter] Client:203 - Commands sent 1022, Response received 1023, Total Commands 20868, Total Responses 20865, Avg latency (ms) 1.66, Lantencies size 1,
16:39:21,983 INFO  [ClientStatsWriter] Client:203 - Commands sent 1013, Response received 1015, Total Commands 21881, Total Responses 21880, Avg latency (ms) 1.56, Lantencies size 1,
16:39:22,984 INFO  [ClientStatsWriter] Client:203 - Commands sent 1014, Response received 1012, Total Commands 22895, Total Responses 22892, Avg latency (ms) 1.46, Lantencies size 1,
16:39:23,985 INFO  [ClientStatsWriter] Client:203 - Commands sent 1018, Response received 1020, Total Commands 23913, Total Responses 23912, Avg latency (ms) 1.56, Lantencies size 1,
16:39:24,986 INFO  [ClientStatsWriter] Client:203 - Commands sent 1033, Response received 1029, Total Commands 24946, Total Responses 24941, Avg latency (ms) 1.77, Lantencies size 1,
16:39:25,987 INFO  [ClientStatsWriter] Client:203 - Commands sent 1024, Response received 1025, Total Commands 25970, Total Responses 25966, Avg latency (ms) 1.61, Lantencies size 1,
16:39:26,988 INFO  [ClientStatsWriter] Client:203 - Commands sent 1031, Response received 1033, Total Commands 27001, Total Responses 26999, Avg latency (ms) 1.72, Lantencies size 1,
16:39:27,990 INFO  [ClientStatsWriter] Client:203 - Commands sent 1029, Response received 1025, Total Commands 28030, Total Responses 28024, Avg latency (ms) 1.63, Lantencies size 1,
16:39:28,016 INFO  [Command Sender 7] Client:269 - Thread [Command Sender 7] terminated.
16:39:28,016 INFO  [Command Sender 4] Client:269 - Thread [Command Sender 4] terminated.
16:39:28,016 INFO  [Command Sender 0] Client:269 - Thread [Command Sender 0] terminated.
16:39:28,016 INFO  [Command Sender 5] Client:269 - Thread [Command Sender 5] terminated.
16:39:28,016 INFO  [Command Sender 2] Client:269 - Thread [Command Sender 2] terminated.
16:39:28,016 INFO  [Command Sender 1] Client:269 - Thread [Command Sender 1] terminated.
16:39:28,016 INFO  [Command Sender 3] Client:269 - Thread [Command Sender 3] terminated.
16:39:28,016 INFO  [Command Sender 6] Client:269 - Thread [Command Sender 6] terminated.
I will kill everything
16:39:29,040 INFO  [ShutdownHook] Client:551 - Raw path created [ /tmp/35786acc-3db1-4ee0-9caa-37b75fb5831e]
Saving file
File save
