01:16:26,015 INFO  [main] RawABListener:48 - Initing a RawABListener...
01:16:26,026 INFO  [main] Node:101 - PID: 83399
01:16:56,298 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
01:16:56,304 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
01:16:56,305 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
01:16:56,328 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
01:16:56,329 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
01:16:56,331 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
01:16:56,336 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
01:16:56,339 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
01:16:56,342 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 1 at /155.98.36.29:2122)
01:16:56,372 ERROR [TCPListener] LearnerRole:219 - Learner received decision without value! [Decision from:2 to:Learner instance:309 ballot:11 v_ballot:0 value:<none> (480454203159211)]
01:16:56,373 INFO  [main] Replica:188 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [10.10.1.1], pathPrefix[/media/disk5/], path [/media/disk5/e8086631-9d80-4bc6-b1a7-c4849f76955b], embebedLog [false], useDiskDb [true] with complex constructor
01:16:56,373 INFO  [TCPListener] LearnerRole:167 - Learner start from instance 310 without recovery
1710314216374, 0, 0
01:16:56,374 WARN  [ElasticLearner] ElasticLearnerRole:362 - ElasticLearner must recover the value count for ring 1!
Reading from stdin
1710314217375, 0, 0
1710314218376, 0, 0
1710314219376, 0, 0
1710314220377, 0, 0
1710314221378, 0, 0
1710314222439, 0, 0
1710314223439, 0, 0
1710314224440, 0, 0
1710314225446, 0, 0
1710314226447, 0, 0
1710314227447, 0, 0
1710314228448, 0, 0
1710314229449, 0, 0
1710314230450, 0, 0
1710314231450, 0, 0
1710314232464, 0, 0
1710314233465, 0, 0
1710314234466, 0, 0
1710314235466, 0, 0
1710314236467, 0, 0
1710314237467, 0, 0
1710314238467, 0, 0
1710314239468, 0, 0
1710314240469, 0, 0
1710314241469, 0, 0
01:17:21,800 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/acceptors
01:17:21,899 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/acceptors
01:17:21,899 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
01:17:21,900 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
01:17:21,900 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
1710314242471, 0, 0
1710314243471, 0, 0
1710314244472, 0, 0
1710314245472, 0, 0
1710314246473, 0, 0
1710314247473, 0, 0
1710314248473, 0, 0
1710314249474, 0, 0
1710314250474, 0, 0
1710314251475, 0, 0
1710314252475, 0, 0
1710314253475, 0, 0
1710314254476, 0, 0
1710314255476, 0, 0
1710314256477, 0, 0
1710314257477, 0, 0
1710314258477, 0, 0
1710314259478, 0, 0
1710314260478, 0, 0
1710314261478, 0, 0
1710314262479, 0, 0
1710314263480, 0, 0
1710314264480, 0, 0
1710314265480, 0, 0
1710314266481, 0, 0
1710314267481, 0, 0
1710314268481, 0, 0
1710314269482, 0, 0
1710314270482, 0, 0
1710314271482, 0, 0
1710314272483, 0, 0
1710314273483, 0, 0
1710314274483, 0, 0
1710314275484, 0, 0
1710314276484, 0, 0
1710314277484, 0, 0
1710314278485, 0, 0
1710314279485, 0, 0
1710314280485, 0, 0
1710314281486, 0, 0
1710314282486, 0, 0
1710314283486, 0, 0
1710314284487, 0, 0
1710314285487, 0, 0
1710314286488, 0, 0
1710314287488, 0, 0
1710314288488, 0, 0
1710314289489, 0, 0
1710314290489, 0, 0
1710314291489, 0, 0
1710314292489, 0, 0
1710314293490, 0, 0
1710314294490, 0, 0
1710314295490, 0, 0
1710314296491, 0, 0
1710314297491, 0, 0
1710314298492, 0, 0
1710314299492, 0, 0
1710314300492, 0, 0
1710314301493, 0, 0
1710314302493, 0, 0
1710314303493, 0, 0
1710314304493, 0, 0
1710314305494, 0, 0
1710314306494, 0, 0
1710314307494, 0, 0
1710314308495, 0, 0
1710314309495, 0, 0
1710314310495, 0, 0
1710314311496, 0, 0
1710314312496, 0, 0
1710314313496, 0, 0
1710314314497, 0, 0
1710314315497, 0, 0
