__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
07:32:24,047 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.724s. Listening on: http://0.0.0.0:8888
07:32:24,056 INFO  quarkus:91 [main] Profile prod activated. 
07:32:24,056 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
07:32:27,769 INFO  LoggerController:69 [executor-thread-1] loggerRestClients size [2]
07:32:27,862 INFO  LoggerController:110 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
07:32:27,863 INFO  LoggerController:119 [executor-thread-1] Calling logger in url id [0] with id [4] and path [/media/disk1/]
07:32:27,950 INFO  LoggerController:92 [executor-thread-2] Registering replica logger [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
07:32:28,352 INFO  ReplicaLoggerClient:80 [executor-thread-2] Path created [/media/disk1/37001199-ceae-4ff4-878d-10b9426f36fe]
1710336748354, 0, 0
07:32:28,456 INFO  LoggerController:110 [executor-thread-1] Registering config [LoggerConfig [id=5, ring=2, replicas=1, pathPrefix=/media/disk2/]]
07:32:28,457 INFO  LoggerController:119 [executor-thread-1] Calling logger in url id [0] with id [5] and path [/media/disk2/]
07:32:28,463 INFO  LoggerController:92 [executor-thread-2] Registering replica logger [LoggerConfig [id=5, ring=2, replicas=1, pathPrefix=/media/disk2/]]
07:32:28,537 INFO  ReplicaLoggerClient:80 [executor-thread-2] Path created [/media/disk2/11a7ed95-b1a9-4fba-8250-ea1cd3d6fb39]
07:32:28,577 INFO  LoggerController:110 [executor-thread-1] Registering config [LoggerConfig [id=6, ring=3, replicas=1, pathPrefix=/media/disk3/]]
07:32:28,578 INFO  LoggerController:119 [executor-thread-1] Calling logger in url id [0] with id [6] and path [/media/disk3/]
07:32:28,586 INFO  LoggerController:92 [executor-thread-2] Registering replica logger [LoggerConfig [id=6, ring=3, replicas=1, pathPrefix=/media/disk3/]]
07:32:28,649 INFO  ReplicaLoggerClient:80 [executor-thread-2] Path created [/media/disk3/edd78891-e2d8-42b0-a7e8-ab9a6f232a10]
07:32:28,687 INFO  LoggerController:110 [executor-thread-1] Registering config [LoggerConfig [id=7, ring=4, replicas=1, pathPrefix=/media/disk4/]]
07:32:28,688 INFO  LoggerController:119 [executor-thread-1] Calling logger in url id [0] with id [7] and path [/media/disk4/]
07:32:28,696 INFO  LoggerController:92 [executor-thread-2] Registering replica logger [LoggerConfig [id=7, ring=4, replicas=1, pathPrefix=/media/disk4/]]
07:32:28,768 INFO  ReplicaLoggerClient:80 [executor-thread-2] Path created [/media/disk4/a6ad4fac-46e6-47fd-b8ba-09e45dc9baba]
1710336749355, 0, 0
1710336750356, 0, 0
1710336751356, 0, 0
1710336752357, 0, 0
1710336753358, 0, 0
1710336754359, 0, 0
1710336755360, 0, 0
1710336756362, 0, 0
1710336757363, 0, 0
1710336758363, 0, 0
1710336759364, 0, 0
1710336760365, 0, 0
1710336761366, 0, 0
1710336762370, 0, 0
1710336763371, 0, 0
1710336764372, 0, 0
1710336765372, 0, 0
1710336766373, 0, 0
1710336767373, 0, 0
1710336768375, 0, 0
1710336769375, 0, 0
1710336770376, 0, 0
1710336771377, 0, 0
1710336772377, 0, 0
1710336773378, 0, 0
1710336774379, 0, 0
1710336775380, 0, 0
1710336776381, 0, 0
1710336777381, 0, 0
1710336778382, 0, 0
1710336779382, 0, 0
1710336780383, 0, 0
1710336781383, 0, 0
1710336782384, 0, 0
1710336783384, 0, 0
1710336784384, 0, 0
1710336785385, 0, 0
1710336786385, 0, 0
1710336787386, 0, 0
1710336788386, 0, 0
1710336789386, 0, 0
1710336790387, 0, 0
07:33:11,073 INFO  ReplicaLoggerClient:139 [executor-thread-1] Saving latencies
07:33:11,139 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
07:33:11,140 INFO  ReplicaLoggerClient:139 [executor-thread-1] Saving latencies
07:33:11,166 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
07:33:11,166 INFO  ReplicaLoggerClient:139 [executor-thread-1] Saving latencies
07:33:11,183 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
07:33:11,184 INFO  ReplicaLoggerClient:139 [executor-thread-1] Saving latencies
07:33:11,200 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
1710336791387, 0, 0
1710336792388, 0, 0
1710336793388, 0, 0
