20:59:10,552 INFO  [main] Client:126 - thinkingTime [3], writePercentage [100], trackerNumber [1000]
20:59:10,571 INFO  [main] Client:224 - Start performance testing with [64] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
20:59:10,581 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
20:59:11,588 INFO  [ClientStatsWriter] Client:203 - Commands sent 6016, Response received 5998, Total Commands 6016, Total Responses 5998, Avg latency (ms) 2.90, Lantencies size 6,
20:59:12,589 INFO  [ClientStatsWriter] Client:203 - Commands sent 7946, Response received 7943, Total Commands 13962, Total Responses 13941, Avg latency (ms) 2.08, Lantencies size 7,
20:59:13,591 INFO  [ClientStatsWriter] Client:203 - Commands sent 8202, Response received 8203, Total Commands 22164, Total Responses 22144, Avg latency (ms) 1.43, Lantencies size 9,
20:59:14,592 INFO  [ClientStatsWriter] Client:203 - Commands sent 8175, Response received 8179, Total Commands 30339, Total Responses 30323, Avg latency (ms) 1.72, Lantencies size 8,
20:59:15,598 INFO  [ClientStatsWriter] Client:203 - Commands sent 7923, Response received 7928, Total Commands 38262, Total Responses 38251, Avg latency (ms) 2.02, Lantencies size 8,
20:59:16,599 INFO  [ClientStatsWriter] Client:203 - Commands sent 7700, Response received 7691, Total Commands 45962, Total Responses 45942, Avg latency (ms) 1.75, Lantencies size 7,
20:59:17,601 INFO  [ClientStatsWriter] Client:203 - Commands sent 8019, Response received 8028, Total Commands 53981, Total Responses 53970, Avg latency (ms) 1.96, Lantencies size 8,
20:59:18,603 INFO  [ClientStatsWriter] Client:203 - Commands sent 7964, Response received 7964, Total Commands 61945, Total Responses 61934, Avg latency (ms) 1.62, Lantencies size 8,
20:59:19,606 INFO  [ClientStatsWriter] Client:203 - Commands sent 7908, Response received 7904, Total Commands 69853, Total Responses 69838, Avg latency (ms) 1.93, Lantencies size 8,
20:59:20,607 INFO  [ClientStatsWriter] Client:203 - Commands sent 7844, Response received 7857, Total Commands 77697, Total Responses 77695, Avg latency (ms) 4.55, Lantencies size 8,
20:59:21,608 INFO  [ClientStatsWriter] Client:203 - Commands sent 7997, Response received 7981, Total Commands 85694, Total Responses 85676, Avg latency (ms) 1.82, Lantencies size 8,
20:59:22,610 INFO  [ClientStatsWriter] Client:203 - Commands sent 8101, Response received 8107, Total Commands 93795, Total Responses 93783, Avg latency (ms) 1.99, Lantencies size 8,
20:59:23,611 INFO  [ClientStatsWriter] Client:203 - Commands sent 7692, Response received 7693, Total Commands 101487, Total Responses 101476, Avg latency (ms) 1.76, Lantencies size 8,
20:59:24,616 INFO  [ClientStatsWriter] Client:203 - Commands sent 8102, Response received 8092, Total Commands 109589, Total Responses 109568, Avg latency (ms) 1.79, Lantencies size 8,
20:59:25,618 INFO  [ClientStatsWriter] Client:203 - Commands sent 8021, Response received 8024, Total Commands 117610, Total Responses 117592, Avg latency (ms) 2.49, Lantencies size 8,
20:59:26,620 INFO  [ClientStatsWriter] Client:203 - Commands sent 8015, Response received 8019, Total Commands 125625, Total Responses 125611, Avg latency (ms) 1.83, Lantencies size 8,
20:59:27,621 INFO  [ClientStatsWriter] Client:203 - Commands sent 8116, Response received 8123, Total Commands 133741, Total Responses 133734, Avg latency (ms) 1.84, Lantencies size 8,
20:59:28,622 INFO  [ClientStatsWriter] Client:203 - Commands sent 8128, Response received 8115, Total Commands 141869, Total Responses 141849, Avg latency (ms) 1.58, Lantencies size 8,
20:59:29,623 INFO  [ClientStatsWriter] Client:203 - Commands sent 7847, Response received 7856, Total Commands 149716, Total Responses 149705, Avg latency (ms) 1.64, Lantencies size 8,
20:59:30,625 INFO  [ClientStatsWriter] Client:203 - Commands sent 8177, Response received 8160, Total Commands 157893, Total Responses 157865, Avg latency (ms) 1.75, Lantencies size 8,
20:59:31,626 INFO  [ClientStatsWriter] Client:203 - Commands sent 8096, Response received 8105, Total Commands 165989, Total Responses 165970, Avg latency (ms) 1.85, Lantencies size 8,
20:59:32,627 INFO  [ClientStatsWriter] Client:203 - Commands sent 7878, Response received 7884, Total Commands 173867, Total Responses 173854, Avg latency (ms) 2.27, Lantencies size 8,
20:59:33,628 INFO  [ClientStatsWriter] Client:203 - Commands sent 7916, Response received 7918, Total Commands 181783, Total Responses 181772, Avg latency (ms) 2.02, Lantencies size 8,
20:59:34,629 INFO  [ClientStatsWriter] Client:203 - Commands sent 7942, Response received 7941, Total Commands 189725, Total Responses 189713, Avg latency (ms) 2.03, Lantencies size 8,
20:59:35,631 INFO  [ClientStatsWriter] Client:203 - Commands sent 7572, Response received 7566, Total Commands 197297, Total Responses 197279, Avg latency (ms) 1.87, Lantencies size 8,
20:59:36,632 INFO  [ClientStatsWriter] Client:203 - Commands sent 7841, Response received 7846, Total Commands 205138, Total Responses 205125, Avg latency (ms) 2.10, Lantencies size 8,
20:59:37,633 INFO  [ClientStatsWriter] Client:203 - Commands sent 7976, Response received 7982, Total Commands 213114, Total Responses 213107, Avg latency (ms) 1.93, Lantencies size 8,
20:59:38,634 INFO  [ClientStatsWriter] Client:203 - Commands sent 7330, Response received 7315, Total Commands 220444, Total Responses 220422, Avg latency (ms) 13.45, Lantencies size 7,
20:59:39,635 INFO  [ClientStatsWriter] Client:203 - Commands sent 8094, Response received 8100, Total Commands 228538, Total Responses 228522, Avg latency (ms) 2.04, Lantencies size 8,
20:59:40,018 INFO  [Command Sender 33] Client:269 - Thread [Command Sender 33] terminated.
20:59:40,019 INFO  [Command Sender 30] Client:269 - Thread [Command Sender 30] terminated.
20:59:40,024 INFO  [Command Sender 44] Client:269 - Thread [Command Sender 44] terminated.
20:59:40,019 INFO  [Command Sender 2] Client:269 - Thread [Command Sender 2] terminated.
20:59:40,024 INFO  [Command Sender 52] Client:269 - Thread [Command Sender 52] terminated.
20:59:40,025 INFO  [Command Sender 24] Client:269 - Thread [Command Sender 24] terminated.
20:59:40,025 INFO  [Command Sender 21] Client:269 - Thread [Command Sender 21] terminated.
20:59:40,019 INFO  [Command Sender 47] Client:269 - Thread [Command Sender 47] terminated.
20:59:40,019 INFO  [Command Sender 37] Client:269 - Thread [Command Sender 37] terminated.
20:59:40,019 INFO  [Command Sender 5] Client:269 - Thread [Command Sender 5] terminated.
20:59:40,019 INFO  [Command Sender 22] Client:269 - Thread [Command Sender 22] terminated.
20:59:40,019 INFO  [Command Sender 45] Client:269 - Thread [Command Sender 45] terminated.
20:59:40,019 INFO  [Command Sender 16] Client:269 - Thread [Command Sender 16] terminated.
20:59:40,019 INFO  [Command Sender 28] Client:269 - Thread [Command Sender 28] terminated.
20:59:40,018 INFO  [Command Sender 34] Client:269 - Thread [Command Sender 34] terminated.
20:59:40,018 INFO  [Command Sender 41] Client:269 - Thread [Command Sender 41] terminated.
20:59:40,018 INFO  [Command Sender 7] Client:269 - Thread [Command Sender 7] terminated.
20:59:40,018 INFO  [Command Sender 0] Client:269 - Thread [Command Sender 0] terminated.
20:59:40,018 INFO  [Command Sender 40] Client:269 - Thread [Command Sender 40] terminated.
20:59:40,018 INFO  [Command Sender 23] Client:269 - Thread [Command Sender 23] terminated.
20:59:40,018 INFO  [Command Sender 58] Client:269 - Thread [Command Sender 58] terminated.
20:59:40,018 INFO  [Command Sender 35] Client:269 - Thread [Command Sender 35] terminated.
20:59:40,018 INFO  [Command Sender 18] Client:269 - Thread [Command Sender 18] terminated.
20:59:40,018 INFO  [Command Sender 12] Client:269 - Thread [Command Sender 12] terminated.
20:59:40,018 INFO  [Command Sender 49] Client:269 - Thread [Command Sender 49] terminated.
20:59:40,018 INFO  [Command Sender 15] Client:269 - Thread [Command Sender 15] terminated.
20:59:40,018 INFO  [Command Sender 57] Client:269 - Thread [Command Sender 57] terminated.
20:59:40,024 INFO  [Command Sender 1] Client:269 - Thread [Command Sender 1] terminated.
20:59:40,024 INFO  [Command Sender 29] Client:269 - Thread [Command Sender 29] terminated.
20:59:40,024 INFO  [Command Sender 3] Client:269 - Thread [Command Sender 3] terminated.
20:59:40,024 INFO  [Command Sender 63] Client:269 - Thread [Command Sender 63] terminated.
20:59:40,024 INFO  [Command Sender 17] Client:269 - Thread [Command Sender 17] terminated.
20:59:40,024 INFO  [Command Sender 13] Client:269 - Thread [Command Sender 13] terminated.
20:59:40,024 INFO  [Command Sender 31] Client:269 - Thread [Command Sender 31] terminated.
20:59:40,024 INFO  [Command Sender 59] Client:269 - Thread [Command Sender 59] terminated.
