15:13:46,873 INFO  [main] Client:126 - thinkingTime [5], writePercentage [100], trackerNumber [1000]
15:13:46,887 INFO  [main] Client:224 - Start performance testing with [16] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
15:13:46,900 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
15:13:47,907 INFO  [ClientStatsWriter] Client:203 - Commands sent 1482, Response received 1479, Total Commands 1482, Total Responses 1479, Avg latency (ms) 1.76, Lantencies size 1,
15:13:48,909 INFO  [ClientStatsWriter] Client:203 - Commands sent 1820, Response received 1821, Total Commands 3302, Total Responses 3300, Avg latency (ms) 1.71, Lantencies size 2,
15:13:49,910 INFO  [ClientStatsWriter] Client:203 - Commands sent 1852, Response received 1851, Total Commands 5154, Total Responses 5151, Avg latency (ms) 1.66, Lantencies size 2,
15:13:50,911 INFO  [ClientStatsWriter] Client:203 - Commands sent 1843, Response received 1843, Total Commands 6997, Total Responses 6994, Avg latency (ms) 1.36, Lantencies size 1,
15:13:51,917 INFO  [ClientStatsWriter] Client:203 - Commands sent 1863, Response received 1862, Total Commands 8860, Total Responses 8856, Avg latency (ms) 1.58, Lantencies size 1,
15:13:52,918 INFO  [ClientStatsWriter] Client:203 - Commands sent 1853, Response received 1853, Total Commands 10713, Total Responses 10709, Avg latency (ms) 1.45, Lantencies size 2,
15:13:53,919 INFO  [ClientStatsWriter] Client:203 - Commands sent 1839, Response received 1838, Total Commands 12552, Total Responses 12547, Avg latency (ms) 1.58, Lantencies size 2,
15:13:54,922 INFO  [ClientStatsWriter] Client:203 - Commands sent 1852, Response received 1854, Total Commands 14404, Total Responses 14401, Avg latency (ms) 1.34, Lantencies size 2,
15:13:55,924 INFO  [ClientStatsWriter] Client:203 - Commands sent 1862, Response received 1860, Total Commands 16266, Total Responses 16261, Avg latency (ms) 1.50, Lantencies size 2,
15:13:56,925 INFO  [ClientStatsWriter] Client:203 - Commands sent 1879, Response received 1883, Total Commands 18145, Total Responses 18144, Avg latency (ms) 1.36, Lantencies size 2,
15:13:57,926 INFO  [ClientStatsWriter] Client:203 - Commands sent 1882, Response received 1881, Total Commands 20027, Total Responses 20025, Avg latency (ms) 1.49, Lantencies size 2,
15:13:58,927 INFO  [ClientStatsWriter] Client:203 - Commands sent 1715, Response received 1701, Total Commands 21742, Total Responses 21726, Avg latency (ms) 1.34, Lantencies size 1,
15:13:59,929 INFO  [ClientStatsWriter] Client:203 - Commands sent 1892, Response received 1907, Total Commands 23634, Total Responses 23633, Avg latency (ms) 1.21, Lantencies size 2,
15:14:00,934 INFO  [ClientStatsWriter] Client:203 - Commands sent 1897, Response received 1896, Total Commands 25531, Total Responses 25529, Avg latency (ms) 1.36, Lantencies size 2,
15:14:01,935 INFO  [ClientStatsWriter] Client:203 - Commands sent 1889, Response received 1889, Total Commands 27420, Total Responses 27418, Avg latency (ms) 1.40, Lantencies size 2,
15:14:02,936 INFO  [ClientStatsWriter] Client:203 - Commands sent 1886, Response received 1886, Total Commands 29306, Total Responses 29304, Avg latency (ms) 1.43, Lantencies size 2,
15:14:03,938 INFO  [ClientStatsWriter] Client:203 - Commands sent 1887, Response received 1886, Total Commands 31193, Total Responses 31190, Avg latency (ms) 1.72, Lantencies size 2,
15:14:04,939 INFO  [ClientStatsWriter] Client:203 - Commands sent 1880, Response received 1881, Total Commands 33073, Total Responses 33071, Avg latency (ms) 1.39, Lantencies size 2,
15:14:05,940 INFO  [ClientStatsWriter] Client:203 - Commands sent 1867, Response received 1866, Total Commands 34940, Total Responses 34937, Avg latency (ms) 1.29, Lantencies size 1,
15:14:06,943 INFO  [ClientStatsWriter] Client:203 - Commands sent 1887, Response received 1884, Total Commands 36827, Total Responses 36821, Avg latency (ms) 1.38, Lantencies size 2,
15:14:07,944 INFO  [ClientStatsWriter] Client:203 - Commands sent 1887, Response received 1890, Total Commands 38714, Total Responses 38711, Avg latency (ms) 1.30, Lantencies size 2,
15:14:08,945 INFO  [ClientStatsWriter] Client:203 - Commands sent 1882, Response received 1882, Total Commands 40596, Total Responses 40593, Avg latency (ms) 1.44, Lantencies size 2,
15:14:09,946 INFO  [ClientStatsWriter] Client:203 - Commands sent 1875, Response received 1877, Total Commands 42471, Total Responses 42470, Avg latency (ms) 1.19, Lantencies size 2,
15:14:10,947 INFO  [ClientStatsWriter] Client:203 - Commands sent 1884, Response received 1882, Total Commands 44355, Total Responses 44352, Avg latency (ms) 1.23, Lantencies size 2,
15:14:11,948 INFO  [ClientStatsWriter] Client:203 - Commands sent 1880, Response received 1881, Total Commands 46235, Total Responses 46233, Avg latency (ms) 1.25, Lantencies size 2,
15:14:12,949 INFO  [ClientStatsWriter] Client:203 - Commands sent 1876, Response received 1875, Total Commands 48111, Total Responses 48108, Avg latency (ms) 1.42, Lantencies size 2,
15:14:13,950 INFO  [ClientStatsWriter] Client:203 - Commands sent 1866, Response received 1864, Total Commands 49977, Total Responses 49972, Avg latency (ms) 1.57, Lantencies size 1,
15:14:14,951 INFO  [ClientStatsWriter] Client:203 - Commands sent 1892, Response received 1889, Total Commands 51869, Total Responses 51861, Avg latency (ms) 1.27, Lantencies size 2,
15:14:15,952 INFO  [ClientStatsWriter] Client:203 - Commands sent 1873, Response received 1878, Total Commands 53742, Total Responses 53739, Avg latency (ms) 1.19, Lantencies size 2,
