20:53:59,680 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:53:59,689 INFO  [main] Node:101 - PID: 74761
20:53:59,899 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:53:59,902 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:53:59,903 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:53:59,920 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:53:59,921 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:53:59,921 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:53:59,927 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:53:59,929 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:53:59,934 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [15] (succsessor: 15 at /10.10.1.6:2703)
20:53:59,948 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 14 at /10.10.1.5:2639)
20:53:59,949 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [false] with simple constructor
1670730839950, 0, 0
Reading from stdin
20:54:00,068 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 14, 15] (succsessor: 13 at /10.10.1.4:2941)
20:54:00,077 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14, 15] (succsessor: 2 at /10.10.1.3:2114)
20:54:00,096 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2168)
1670730840950, 0, 0
1670730841951, 0, 0
1670730842951, 0, 0
1670730843952, 0, 0
1670730844952, 117, 117
1670730845953, 7648, 7765
1670730846953, 8144, 15909
1670730847954, 8341, 24250
1670730848954, 7092, 31342
1670730849955, 11024, 42366
1670730850956, 14726, 57092
1670730851956, 9349, 66441
1670730852957, 11766, 78207
1670730853957, 10810, 89017
1670730854958, 8959, 97976
1670730855958, 10540, 108516
1670730856959, 13564, 122080
1670730857959, 11625, 133705
1670730858960, 11655, 145360
1670730859960, 10977, 156337
1670730860960, 10417, 166754
1670730861961, 10487, 177241
1670730862961, 10373, 187614
1670730863961, 10645, 198259
1670730864963, 13301, 211560
1670730865963, 13888, 225448
1670730866963, 15000, 240448
1670730867964, 14453, 254901
1670730868964, 14510, 269411
1670730869964, 15208, 284619
1670730870965, 13583, 298202
1670730871965, 8004, 306206
1670730872965, 10951, 317157
1670730873965, 10443, 327600
1670730874966, 11139, 338739
1670730875966, 13273, 352012
1670730876966, 14541, 366553
1670730877967, 12888, 379441
1670730878967, 14969, 394410
1670730879968, 14149, 408559
1670730880968, 12653, 421212
1670730881969, 11546, 432758
1670730882969, 12348, 445106
1670730883969, 15055, 460161
1670730884970, 13220, 473381
1670730885970, 14493, 487874
1670730886970, 14609, 502483
1670730887970, 15303, 517786
1670730888971, 14905, 532691
1670730889971, 13094, 545785
1670730890971, 14446, 560231
1670730891972, 15234, 575465
1670730892973, 15050, 590515
1670730893973, 14691, 605206
1670730894973, 14857, 620063
1670730895973, 14903, 634966
1670730896974, 13962, 648928
1670730897974, 11060, 659988
1670730898974, 11714, 671702
1670730899975, 13665, 685367
1670730900975, 12965, 698332
1670730901975, 12633, 710965
1670730902975, 9987, 720952
1670730903976, 12929, 733881
1670730904976, 14799, 748680
1670730905976, 9078, 757758
1670730906977, 11766, 769524
1670730907977, 12084, 781608
1670730908978, 13401, 795009
1670730909978, 8529, 803538
1670730910979, 11752, 815290
1670730911979, 14971, 830261
1670730912979, 12709, 842970
1670730913980, 8574, 851544
1670730914980, 10181, 861725
1670730915980, 8965, 870690
1670730916981, 9196, 879886
1670730917981, 9530, 889416
1670730918982, 10898, 900314
1670730919983, 10938, 911252
1670730920983, 10918, 922170
1670730921983, 10459, 932629
1670730922984, 12328, 944957
1670730923984, 7254, 952211
1670730924985, 9322, 961533
1670730925985, 8394, 969927
1670730926987, 10294, 980221
1670730927988, 12894, 993115
1670730928988, 12639, 1005754
1670730929988, 11414, 1017168
1670730930989, 10970, 1028138
1670730931989, 10712, 1038850
1670730932989, 11433, 1050283
1670730933990, 11364, 1061647
1670730934990, 1809, 1063456
1670730935990, 0, 1063456
1670730936990, 0, 1063456
1670730937991, 0, 1063456
1670730938991, 0, 1063456
20:55:39,303 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:55:39,400 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:55:39,400 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
