21:00:22,735 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:00:22,745 INFO  [main] Node:101 - PID: 75935
21:00:22,957 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:00:22,961 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:00:22,962 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:00:22,982 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:00:22,982 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:00:22,983 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:00:22,988 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:00:22,990 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:00:22,997 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 14 at /10.10.1.5:2262)
21:00:23,014 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [false] with simple constructor
Reading from stdin
1670731223014, 0, 0
21:00:23,064 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14, 15] (succsessor: 2 at /10.10.1.3:2020)
21:00:23,108 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14, 15] (succsessor: 2 at /10.10.1.3:2020)
21:00:23,194 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2758)
1670731224015, 0, 0
1670731225016, 0, 0
1670731226016, 0, 0
1670731227016, 0, 0
1670731228017, 380, 380
1670731229017, 4012, 4392
1670731230022, 3935, 8327
1670731231022, 4025, 12352
1670731232023, 3900, 16252
1670731233023, 4014, 20266
1670731234024, 3959, 24225
1670731235026, 4016, 28241
1670731236026, 3983, 32224
1670731237027, 4014, 36238
1670731238027, 4033, 40271
1670731239027, 4005, 44276
1670731240028, 4019, 48295
1670731241028, 3926, 52221
1670731242028, 4011, 56232
1670731243029, 4005, 60237
1670731244033, 3929, 64166
1670731245033, 4023, 68189
1670731246034, 4017, 72206
1670731247034, 3939, 76145
1670731248035, 3941, 80086
1670731249036, 3965, 84051
1670731250036, 3994, 88045
1670731251036, 3995, 92040
1670731252037, 4020, 96060
1670731253037, 3985, 100045
1670731254037, 3979, 104024
1670731255038, 3975, 107999
1670731256038, 4010, 112009
1670731257038, 3994, 116003
1670731258039, 4025, 120028
1670731259039, 3990, 124018
1670731260039, 4024, 128042
1670731261040, 3971, 132013
1670731262041, 4017, 136030
1670731263042, 4011, 140041
1670731264042, 3916, 143957
1670731265042, 3989, 147946
1670731266043, 3960, 151906
1670731267043, 4034, 155940
1670731268043, 4050, 159990
1670731269043, 3981, 163971
1670731270044, 4046, 168017
1670731271044, 4046, 172063
1670731272044, 4027, 176090
1670731273045, 4002, 180092
1670731274045, 4006, 184098
1670731275045, 4006, 188104
1670731276046, 3989, 192093
1670731277046, 4035, 196128
1670731278047, 4001, 200129
1670731279047, 4041, 204170
1670731280048, 3923, 208093
1670731281048, 4023, 212116
1670731282048, 4033, 216149
1670731283049, 4018, 220167
1670731284049, 4018, 224185
1670731285049, 4019, 228204
1670731286050, 3992, 232196
1670731287050, 3940, 236136
1670731288050, 3996, 240132
1670731289051, 3982, 244114
1670731290051, 3942, 248056
1670731291051, 3968, 252024
1670731292052, 4030, 256054
1670731293052, 4007, 260061
1670731294052, 3971, 264032
1670731295053, 4062, 268094
1670731296053, 4017, 272111
1670731297053, 3992, 276103
1670731298054, 3967, 280070
1670731299054, 4040, 284110
1670731300054, 3984, 288094
1670731301055, 4041, 292135
1670731302055, 3979, 296114
1670731303055, 3950, 300064
1670731304055, 3916, 303980
1670731305056, 3997, 307977
1670731306056, 3980, 311957
1670731307057, 4025, 315982
1670731308057, 3983, 319965
1670731309057, 3969, 323934
1670731310059, 3954, 327888
1670731311059, 3988, 331876
1670731312059, 4011, 335887
1670731313060, 3976, 339863
1670731314060, 4011, 343874
1670731315060, 3989, 347863
1670731316061, 4007, 351870
1670731317061, 3873, 355743
1670731318061, 0, 355743
21:01:58,730 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
21:01:58,736 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:01:58,737 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
