__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
07:42:17,076 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.170s. Listening on: http://0.0.0.0:8888
07:42:17,085 INFO  quarkus:91 [main] Profile prod activated. 
07:42:17,086 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
07:42:21,170 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
07:42:21,228 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/tmp/]]
07:42:21,228 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
07:42:21,290 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
07:42:21,646 INFO  ReplicaLoggerClient:63 [executor-thread-2] Path created [/tmp/09788fc0-92c5-4f09-bf75-da43b7239182]
1670596941648, 0, 0
1670596942648, 0, 0
1670596943649, 0, 0
1670596944649, 0, 0
1670596945649, 0, 0
1670596946649, 0, 0
1670596947651, 5380, 5380
1670596948651, 14099, 19479
1670596949652, 13312, 32791
1670596950652, 11227, 44018
1670596951652, 16547, 60565
1670596952653, 10890, 71455
1670596953654, 12737, 84192
1670596954654, 16188, 100380
1670596955655, 12366, 112746
1670596956655, 12160, 124906
1670596957656, 15829, 140735
1670596958656, 14811, 155546
1670596959656, 17769, 173315
1670596960657, 13513, 186828
1670596961657, 16804, 203632
1670596962657, 16909, 220541
1670596963658, 15403, 235944
1670596964659, 13264, 249208
1670596965659, 13479, 262687
1670596966660, 15056, 277743
1670596967660, 5, 277748
1670596968660, 4400, 282148
1670596969661, 11123, 293271
1670596970661, 14366, 307637
1670596971661, 15416, 323053
1670596972662, 825, 323878
1670596973662, 10329, 334207
1670596974663, 15170, 349377
1670596975663, 16785, 366162
1670596976664, 6637, 372799
1670596977664, 3244, 376043
1670596978665, 14426, 390469
1670596979665, 11832, 402301
1670596980666, 12133, 414434
1670596981666, 5181, 419615
1670596982666, 14584, 434199
1670596983667, 14650, 448849
1670596984667, 1895, 450744
1670596985667, 10972, 461716
1670596986668, 13619, 475335
1670596987668, 4797, 480132
1670596988669, 10330, 490462
1670596989669, 13597, 504059
1670596990669, 6901, 510960
1670596991669, 12840, 523800
1670596992670, 7792, 531592
1670596993670, 17596, 549188
1670596994670, 6079, 555267
1670596995671, 14275, 569542
1670596996671, 9242, 578784
1670596997671, 9751, 588535
1670596998672, 9052, 597587
1670596999672, 13734, 611321
1670597000672, 11590, 622911
1670597001678, 9341, 632252
1670597002679, 12101, 644353
1670597003679, 10338, 654691
1670597004679, 13749, 668440
1670597005680, 6948, 675388
1670597006681, 9239, 684627
1670597007681, 11277, 695904
1670597008681, 7394, 703298
1670597009682, 9738, 713036
1670597010682, 11384, 724420
1670597011682, 6485, 730905
1670597012683, 9883, 740788
1670597013683, 12288, 753076
1670597014683, 5428, 758504
1670597015684, 8388, 766892
1670597016685, 11758, 778650
1670597017685, 5600, 784250
1670597018685, 8975, 793225
1670597019686, 11686, 804911
1670597020686, 12498, 817409
1670597021687, 8520, 825929
1670597022687, 10305, 836234
1670597023687, 10726, 846960
1670597024688, 8994, 855954
1670597025688, 9706, 865660
1670597026688, 11425, 877085
1670597027689, 7628, 884713
1670597028689, 9361, 894074
1670597029689, 6679, 900753
1670597030690, 11630, 912383
1670597031690, 10712, 923095
1670597032690, 9832, 932927
1670597033691, 9405, 942332
1670597034691, 5230, 947562
1670597035691, 8112, 955674
1670597036692, 4646, 960320
1670597037692, 986, 961306
1670597038692, 0, 961306
1670597039692, 0, 961306
1670597040693, 0, 961306
1670597041693, 0, 961306
1670597042693, 0, 961306
1670597043693, 0, 961306
1670597044694, 0, 961306
1670597045694, 0, 961306
1670597046694, 0, 961306
1670597047695, 0, 961306
1670597048695, 0, 961306
1670597049695, 0, 961306
1670597050695, 0, 961306
1670597051696, 0, 961306
1670597052696, 0, 961306
1670597053696, 0, 961306
1670597054696, 0, 961306
1670597055697, 0, 961306
1670597056697, 0, 961306
1670597057697, 0, 961306
1670597058698, 0, 961306
1670597059698, 0, 961306
1670597060698, 0, 961306
1670597061699, 0, 961306
1670597062699, 0, 961306
1670597063699, 0, 961306
1670597064700, 0, 961306
1670597065700, 0, 961306
1670597066700, 0, 961306
1670597067700, 0, 961306
1670597068701, 0, 961306
1670597069701, 0, 961306
1670597070701, 0, 961306
1670597071702, 0, 961306
1670597072702, 0, 961306
1670597073702, 0, 961306
1670597074702, 0, 961306
1670597075703, 0, 961306
1670597076703, 0, 961306
1670597077703, 0, 961306
1670597078703, 0, 961306
1670597079704, 0, 961306
1670597080704, 0, 961306
1670597081704, 0, 961306
1670597082704, 0, 961306
1670597083705, 0, 961306
1670597084705, 0, 961306
1670597085705, 0, 961306
1670597086705, 0, 961306
1670597087706, 0, 961306
1670597088706, 0, 961306
1670597089706, 0, 961306
1670597090706, 0, 961306
1670597091707, 0, 961306
1670597092707, 0, 961306
1670597093707, 0, 961306
1670597094707, 0, 961306
1670597095708, 0, 961306
1670597096708, 0, 961306
1670597097708, 0, 961306
1670597098708, 0, 961306
1670597099708, 0, 961306
1670597100709, 0, 961306
1670597101709, 0, 961306
1670597102709, 0, 961306
1670597103709, 0, 961306
1670597104710, 0, 961306
1670597105710, 0, 961306
1670597106710, 0, 961306
1670597107710, 0, 961306
1670597108711, 0, 961306
1670597109711, 0, 961306
1670597110711, 0, 961306
1670597111712, 0, 961306
1670597112712, 0, 961306
1670597113712, 0, 961306
1670597114712, 0, 961306
1670597115712, 0, 961306
1670597116713, 0, 961306
1670597117713, 0, 961306
1670597118713, 0, 961306
1670597119713, 0, 961306
1670597120714, 0, 961306
1670597121714, 0, 961306
1670597122714, 0, 961306
1670597123714, 0, 961306
1670597124715, 0, 961306
1670597125715, 0, 961306
1670597126715, 0, 961306
1670597127715, 0, 961306
1670597128716, 0, 961306
1670597129716, 0, 961306
1670597130716, 0, 961306
1670597131716, 0, 961306
1670597132717, 0, 961306
1670597133717, 0, 961306
1670597134717, 0, 961306
1670597135717, 0, 961306
1670597136718, 0, 961306
1670597137718, 0, 961306
1670597138718, 0, 961306
1670597139718, 0, 961306
1670597140719, 0, 961306
1670597141719, 0, 961306
1670597142719, 0, 961306
1670597143719, 0, 961306
1670597144720, 0, 961306
1670597145720, 0, 961306
1670597146720, 0, 961306
1670597147720, 0, 961306
1670597148721, 0, 961306
1670597149721, 0, 961306
1670597150721, 0, 961306
1670597151721, 0, 961306
1670597152722, 0, 961306
1670597153722, 0, 961306
1670597154722, 0, 961306
1670597155722, 0, 961306
1670597156722, 0, 961306
1670597157723, 0, 961306
1670597158723, 0, 961306
1670597159723, 0, 961306
1670597160723, 0, 961306
1670597161724, 0, 961306
1670597162724, 0, 961306
1670597163724, 0, 961306
1670597164724, 0, 961306
1670597165725, 0, 961306
1670597166725, 0, 961306
1670597167725, 0, 961306
1670597168725, 0, 961306
1670597169725, 0, 961306
1670597170726, 0, 961306
1670597171726, 0, 961306
1670597172726, 0, 961306
1670597173726, 0, 961306
1670597174727, 0, 961306
1670597175727, 0, 961306
1670597176727, 0, 961306
1670597177727, 0, 961306
1670597178728, 0, 961306
1670597179728, 0, 961306
1670597180728, 0, 961306
1670597181728, 0, 961306
1670597182729, 0, 961306
1670597183729, 0, 961306
1670597184729, 0, 961306
1670597185729, 0, 961306
1670597186729, 0, 961306
1670597187730, 0, 961306
