12:05:33,210 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [100]
12:05:33,226 INFO  [main] Client:223 - Start performance testing with [4] threads, experimentTimeSeconds [90], commandSize [1024] bytes)
12:05:33,239 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
12:05:34,242 INFO  [ClientStatsWriter] Client:202 - Commands sent 96, Response received 96, Total Commands 96, Total Responses 96, Avg latency (ms) 0.00, Lantencies size 0,
12:05:35,245 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 121, Total Commands 218, Total Responses 217, Avg latency (ms) 3.12, Lantencies size 2,
12:05:36,246 INFO  [ClientStatsWriter] Client:202 - Commands sent 131, Response received 132, Total Commands 349, Total Responses 349, Avg latency (ms) 2.50, Lantencies size 1,
12:05:37,247 INFO  [ClientStatsWriter] Client:202 - Commands sent 126, Response received 126, Total Commands 475, Total Responses 475, Avg latency (ms) 2.41, Lantencies size 1,
12:05:38,252 INFO  [ClientStatsWriter] Client:202 - Commands sent 127, Response received 126, Total Commands 602, Total Responses 601, Avg latency (ms) 2.41, Lantencies size 2,
12:05:39,253 INFO  [ClientStatsWriter] Client:202 - Commands sent 119, Response received 120, Total Commands 721, Total Responses 721, Avg latency (ms) 2.44, Lantencies size 1,
12:05:40,254 INFO  [ClientStatsWriter] Client:202 - Commands sent 118, Response received 117, Total Commands 839, Total Responses 838, Avg latency (ms) 2.37, Lantencies size 1,
12:05:41,254 INFO  [ClientStatsWriter] Client:202 - Commands sent 117, Response received 118, Total Commands 956, Total Responses 956, Avg latency (ms) 2.43, Lantencies size 1,
12:05:42,255 INFO  [ClientStatsWriter] Client:202 - Commands sent 127, Response received 127, Total Commands 1083, Total Responses 1083, Avg latency (ms) 2.40, Lantencies size 1,
12:05:43,256 INFO  [ClientStatsWriter] Client:202 - Commands sent 127, Response received 127, Total Commands 1210, Total Responses 1210, Avg latency (ms) 2.31, Lantencies size 2,
12:05:44,257 INFO  [ClientStatsWriter] Client:202 - Commands sent 123, Response received 122, Total Commands 1333, Total Responses 1332, Avg latency (ms) 2.24, Lantencies size 1,
12:05:45,258 INFO  [ClientStatsWriter] Client:202 - Commands sent 123, Response received 124, Total Commands 1456, Total Responses 1456, Avg latency (ms) 2.38, Lantencies size 1,
12:05:46,259 INFO  [ClientStatsWriter] Client:202 - Commands sent 120, Response received 119, Total Commands 1576, Total Responses 1575, Avg latency (ms) 2.38, Lantencies size 1,
12:05:47,263 INFO  [ClientStatsWriter] Client:202 - Commands sent 125, Response received 126, Total Commands 1701, Total Responses 1701, Avg latency (ms) 2.35, Lantencies size 2,
12:05:48,264 INFO  [ClientStatsWriter] Client:202 - Commands sent 124, Response received 124, Total Commands 1825, Total Responses 1825, Avg latency (ms) 2.49, Lantencies size 1,
12:05:49,265 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 1947, Total Responses 1947, Avg latency (ms) 2.39, Lantencies size 1,
12:05:50,266 INFO  [ClientStatsWriter] Client:202 - Commands sent 124, Response received 123, Total Commands 2071, Total Responses 2070, Avg latency (ms) 2.36, Lantencies size 1,
12:05:51,267 INFO  [ClientStatsWriter] Client:202 - Commands sent 126, Response received 127, Total Commands 2197, Total Responses 2197, Avg latency (ms) 2.35, Lantencies size 1,
12:05:52,268 INFO  [ClientStatsWriter] Client:202 - Commands sent 137, Response received 137, Total Commands 2334, Total Responses 2334, Avg latency (ms) 2.40, Lantencies size 2,
12:05:53,269 INFO  [ClientStatsWriter] Client:202 - Commands sent 129, Response received 128, Total Commands 2463, Total Responses 2462, Avg latency (ms) 2.35, Lantencies size 1,
12:05:54,269 INFO  [ClientStatsWriter] Client:202 - Commands sent 118, Response received 119, Total Commands 2581, Total Responses 2581, Avg latency (ms) 2.44, Lantencies size 1,
12:05:55,270 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 2703, Total Responses 2703, Avg latency (ms) 2.36, Lantencies size 2,
12:05:56,272 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 2825, Total Responses 2825, Avg latency (ms) 2.20, Lantencies size 1,
12:05:57,273 INFO  [ClientStatsWriter] Client:202 - Commands sent 123, Response received 123, Total Commands 2948, Total Responses 2948, Avg latency (ms) 2.26, Lantencies size 1,
12:05:58,274 INFO  [ClientStatsWriter] Client:202 - Commands sent 132, Response received 132, Total Commands 3080, Total Responses 3080, Avg latency (ms) 2.35, Lantencies size 1,
12:05:59,274 INFO  [ClientStatsWriter] Client:202 - Commands sent 118, Response received 118, Total Commands 3198, Total Responses 3198, Avg latency (ms) 2.37, Lantencies size 1,
12:06:00,275 INFO  [ClientStatsWriter] Client:202 - Commands sent 124, Response received 124, Total Commands 3322, Total Responses 3322, Avg latency (ms) 2.27, Lantencies size 2,
12:06:01,276 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 3444, Total Responses 3444, Avg latency (ms) 2.32, Lantencies size 1,
12:06:02,276 INFO  [ClientStatsWriter] Client:202 - Commands sent 134, Response received 133, Total Commands 3578, Total Responses 3577, Avg latency (ms) 2.25, Lantencies size 1,
12:06:03,277 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 3700, Total Responses 3699, Avg latency (ms) 2.34, Lantencies size 1,
12:06:04,278 INFO  [ClientStatsWriter] Client:202 - Commands sent 130, Response received 131, Total Commands 3830, Total Responses 3830, Avg latency (ms) 2.25, Lantencies size 2,
12:06:05,279 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 3952, Total Responses 3952, Avg latency (ms) 2.22, Lantencies size 1,
12:06:06,280 INFO  [ClientStatsWriter] Client:202 - Commands sent 133, Response received 133, Total Commands 4085, Total Responses 4085, Avg latency (ms) 2.21, Lantencies size 1,
12:06:07,280 INFO  [ClientStatsWriter] Client:202 - Commands sent 129, Response received 129, Total Commands 4214, Total Responses 4214, Avg latency (ms) 2.18, Lantencies size 2,
12:06:08,281 INFO  [ClientStatsWriter] Client:202 - Commands sent 120, Response received 120, Total Commands 4334, Total Responses 4334, Avg latency (ms) 2.21, Lantencies size 1,
12:06:09,282 INFO  [ClientStatsWriter] Client:202 - Commands sent 123, Response received 123, Total Commands 4457, Total Responses 4457, Avg latency (ms) 2.21, Lantencies size 1,
12:06:10,283 INFO  [ClientStatsWriter] Client:202 - Commands sent 126, Response received 126, Total Commands 4583, Total Responses 4583, Avg latency (ms) 2.26, Lantencies size 1,
12:06:11,283 INFO  [ClientStatsWriter] Client:202 - Commands sent 128, Response received 128, Total Commands 4711, Total Responses 4711, Avg latency (ms) 2.25, Lantencies size 2,
12:06:12,284 INFO  [ClientStatsWriter] Client:202 - Commands sent 140, Response received 139, Total Commands 4851, Total Responses 4850, Avg latency (ms) 2.19, Lantencies size 1,
12:06:13,285 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 123, Total Commands 4973, Total Responses 4973, Avg latency (ms) 2.22, Lantencies size 1,
12:06:14,286 INFO  [ClientStatsWriter] Client:202 - Commands sent 119, Response received 119, Total Commands 5092, Total Responses 5092, Avg latency (ms) 2.23, Lantencies size 1,
12:06:15,287 INFO  [ClientStatsWriter] Client:202 - Commands sent 116, Response received 116, Total Commands 5208, Total Responses 5208, Avg latency (ms) 2.24, Lantencies size 2,
12:06:16,287 INFO  [ClientStatsWriter] Client:202 - Commands sent 133, Response received 133, Total Commands 5341, Total Responses 5341, Avg latency (ms) 2.19, Lantencies size 1,
12:06:17,288 INFO  [ClientStatsWriter] Client:202 - Commands sent 126, Response received 126, Total Commands 5467, Total Responses 5467, Avg latency (ms) 2.14, Lantencies size 1,
12:06:18,290 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 5589, Total Responses 5589, Avg latency (ms) 2.22, Lantencies size 1,
12:06:19,291 INFO  [ClientStatsWriter] Client:202 - Commands sent 121, Response received 121, Total Commands 5710, Total Responses 5710, Avg latency (ms) 2.07, Lantencies size 2,
12:06:20,292 INFO  [ClientStatsWriter] Client:202 - Commands sent 126, Response received 126, Total Commands 5836, Total Responses 5836, Avg latency (ms) 2.25, Lantencies size 1,
12:06:21,292 INFO  [ClientStatsWriter] Client:202 - Commands sent 137, Response received 137, Total Commands 5973, Total Responses 5973, Avg latency (ms) 2.28, Lantencies size 1,
12:06:22,293 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 121, Total Commands 6095, Total Responses 6094, Avg latency (ms) 2.26, Lantencies size 1,
12:06:23,294 INFO  [ClientStatsWriter] Client:202 - Commands sent 128, Response received 129, Total Commands 6223, Total Responses 6223, Avg latency (ms) 2.15, Lantencies size 2,
12:06:24,294 INFO  [ClientStatsWriter] Client:202 - Commands sent 129, Response received 129, Total Commands 6352, Total Responses 6352, Avg latency (ms) 2.20, Lantencies size 1,
12:06:25,295 INFO  [ClientStatsWriter] Client:202 - Commands sent 130, Response received 130, Total Commands 6482, Total Responses 6482, Avg latency (ms) 2.27, Lantencies size 1,
12:06:26,296 INFO  [ClientStatsWriter] Client:202 - Commands sent 120, Response received 120, Total Commands 6602, Total Responses 6602, Avg latency (ms) 2.21, Lantencies size 2,
12:06:27,296 INFO  [ClientStatsWriter] Client:202 - Commands sent 125, Response received 125, Total Commands 6727, Total Responses 6727, Avg latency (ms) 2.18, Lantencies size 1,
12:06:28,297 INFO  [ClientStatsWriter] Client:202 - Commands sent 118, Response received 118, Total Commands 6845, Total Responses 6845, Avg latency (ms) 2.17, Lantencies size 1,
12:06:29,297 INFO  [ClientStatsWriter] Client:202 - Commands sent 133, Response received 133, Total Commands 6978, Total Responses 6978, Avg latency (ms) 2.07, Lantencies size 1,
12:06:30,298 INFO  [ClientStatsWriter] Client:202 - Commands sent 121, Response received 121, Total Commands 7099, Total Responses 7099, Avg latency (ms) 2.25, Lantencies size 1,
12:06:31,299 INFO  [ClientStatsWriter] Client:202 - Commands sent 122, Response received 122, Total Commands 7221, Total Responses 7221, Avg latency (ms) 2.32, Lantencies size 2,
12:06:32,300 INFO  [ClientStatsWriter] Client:202 - Commands sent 116, Response received 116, Total Commands 7337, Total Responses 7337, Avg latency (ms) 2.18, Lantencies size 1,
