21:51:15,768 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:51:15,776 INFO  [main] Node:101 - PID: 82258
21:51:15,973 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:51:15,976 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:51:15,976 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:51:15,993 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:51:15,993 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:51:15,994 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:51:16,000 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:51:16,007 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:51:16,014 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 15] (succsessor: 4 at /10.10.1.9:2417)
21:51:16,028 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
Reading from stdin
1670734276028, 0, 0
21:51:16,070 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 14, 15] (succsessor: 4 at /10.10.1.9:2417)
21:51:16,123 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 13, 14, 15] (succsessor: 4 at /10.10.1.9:2417)
21:51:16,140 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 4, 13, 14, 15] (succsessor: 2 at /10.10.1.3:2193)
21:51:16,161 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2838)
1670734277029, 0, 0
1670734278029, 0, 0
1670734279030, 0, 0
1670734280030, 0, 0
1670734281031, 5, 5
1670734282031, 113, 118
1670734283031, 128, 246
1670734284032, 117, 363
1670734285032, 120, 483
1670734286033, 123, 606
1670734287033, 125, 731
1670734288033, 127, 858
1670734289034, 124, 982
1670734290034, 117, 1099
1670734291034, 122, 1221
1670734292035, 115, 1336
1670734293035, 121, 1457
1670734294036, 128, 1585
1670734295036, 123, 1708
1670734296036, 124, 1832
1670734297036, 125, 1957
1670734298037, 136, 2093
1670734299037, 126, 2219
1670734300037, 131, 2350
1670734301038, 129, 2479
1670734302038, 117, 2596
1670734303039, 126, 2722
1670734304039, 124, 2846
1670734305039, 127, 2973
1670734306039, 121, 3094
1670734307040, 122, 3216
1670734308040, 125, 3341
1670734309040, 119, 3460
1670734310041, 126, 3586
1670734311041, 0, 3586
21:51:51,508 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/learners
21:51:51,509 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
21:51:51,509 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
