__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
18:42:17,386 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.262s. Listening on: http://0.0.0.0:8888
18:42:17,394 INFO  quarkus:91 [main] Profile prod activated. 
18:42:17,394 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
18:42:21,424 INFO  LoggerController:69 [executor-thread-1] loggerRestClients size [2]
18:42:21,428 INFO  LoggerController:140 [executor-thread-1] Executing performance test with thread counter [512] and ring counter [1]
18:42:21,782 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/d1bfb662-569e-4213-9ba5-35712cc0e899]
1672710141783, 0, 0
1672710142783, 15193, 15193
1672710143784, 17063, 32256
1672710144785, 17038, 49294
1672710145785, 16784, 66078
1672710146785, 16824, 82902
1672710147786, 15425, 98327
1672710148786, 16914, 115241
1672710149786, 17043, 132284
1672710150787, 16289, 148573
1672710151787, 15877, 164450
1672710152788, 16402, 180852
1672710153788, 13404, 194256
1672710154789, 11171, 205427
1672710155790, 15616, 221043
1672710156790, 16601, 237644
1672710157791, 16067, 253711
1672710158791, 15784, 269495
1672710159791, 16829, 286324
1672710160791, 15249, 301573
1672710161792, 15951, 317524
1672710162792, 14470, 331994
1672710163794, 15243, 347237
1672710164794, 15396, 362633
1672710165794, 12567, 375200
1672710166795, 15464, 390664
1672710167796, 16725, 407389
1672710168796, 16631, 424020
1672710169797, 16502, 440522
1672710170797, 16804, 457326
