21:02:53,063 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
21:02:53,079 INFO  [main] Client:224 - Start performance testing with [64] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
21:02:53,092 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
21:02:54,101 INFO  [ClientStatsWriter] Client:203 - Commands sent 1697, Response received 1695, Total Commands 1697, Total Responses 1695, Avg latency (ms) 2.34, Lantencies size 1,
21:02:55,102 INFO  [ClientStatsWriter] Client:203 - Commands sent 2022, Response received 2020, Total Commands 3719, Total Responses 3715, Avg latency (ms) 2.20, Lantencies size 2,
21:02:56,103 INFO  [ClientStatsWriter] Client:203 - Commands sent 2003, Response received 2004, Total Commands 5722, Total Responses 5719, Avg latency (ms) 2.34, Lantencies size 2,
21:02:57,105 INFO  [ClientStatsWriter] Client:203 - Commands sent 2048, Response received 2050, Total Commands 7770, Total Responses 7769, Avg latency (ms) 1.81, Lantencies size 2,
21:02:58,110 INFO  [ClientStatsWriter] Client:203 - Commands sent 2013, Response received 2006, Total Commands 9783, Total Responses 9775, Avg latency (ms) 1.96, Lantencies size 2,
21:02:59,112 INFO  [ClientStatsWriter] Client:203 - Commands sent 1996, Response received 1999, Total Commands 11779, Total Responses 11774, Avg latency (ms) 3.05, Lantencies size 2,
21:03:00,113 INFO  [ClientStatsWriter] Client:203 - Commands sent 2024, Response received 2026, Total Commands 13803, Total Responses 13800, Avg latency (ms) 3.45, Lantencies size 2,
21:03:01,115 INFO  [ClientStatsWriter] Client:203 - Commands sent 2033, Response received 2030, Total Commands 15836, Total Responses 15830, Avg latency (ms) 2.43, Lantencies size 2,
21:03:02,117 INFO  [ClientStatsWriter] Client:203 - Commands sent 2030, Response received 2034, Total Commands 17866, Total Responses 17864, Avg latency (ms) 2.28, Lantencies size 2,
21:03:03,118 INFO  [ClientStatsWriter] Client:203 - Commands sent 1994, Response received 1988, Total Commands 19860, Total Responses 19852, Avg latency (ms) 1.68, Lantencies size 2,
21:03:04,119 INFO  [ClientStatsWriter] Client:203 - Commands sent 2043, Response received 2049, Total Commands 21903, Total Responses 21901, Avg latency (ms) 1.78, Lantencies size 2,
21:03:05,121 INFO  [ClientStatsWriter] Client:203 - Commands sent 2020, Response received 2016, Total Commands 23923, Total Responses 23917, Avg latency (ms) 2.29, Lantencies size 2,
21:03:06,122 INFO  [ClientStatsWriter] Client:203 - Commands sent 1997, Response received 1999, Total Commands 25920, Total Responses 25916, Avg latency (ms) 2.01, Lantencies size 2,
