21:09:05,134 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:09:05,141 INFO  [main] Node:101 - PID: 83648
21:09:05,353 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:09:05,358 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:09:05,359 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:09:05,377 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:09:05,377 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:09:05,378 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:09:05,383 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:09:05,386 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:09:05,390 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14] (succsessor: 14 at /10.10.1.5:2213)
21:09:05,398 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 15 at /10.10.1.6:2590)
21:09:05,414 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
1670731745415, 0, 0
Reading from stdin
21:09:05,441 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 14, 15] (succsessor: 15 at /10.10.1.6:2590)
21:09:05,443 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 14, 15] (succsessor: 15 at /10.10.1.6:2590)
21:09:05,466 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2590)
1670731746415, 0, 0
1670731747416, 0, 0
1670731748416, 0, 0
1670731749417, 0, 0
1670731750417, 622, 622
1670731751417, 7998, 8620
1670731752418, 8075, 16695
1670731753418, 8270, 24965
1670731754419, 8190, 33155
1670731755419, 8179, 41334
1670731756420, 8089, 49423
1670731757420, 7951, 57374
1670731758420, 8212, 65586
1670731759421, 8107, 73693
1670731760421, 8135, 81828
1670731761421, 8190, 90018
1670731762422, 8149, 98167
1670731763423, 8160, 106327
1670731764423, 8159, 114486
1670731765423, 8176, 122662
1670731766424, 8144, 130806
1670731767424, 8110, 138916
1670731768424, 8198, 147114
1670731769425, 8136, 155250
1670731770425, 8233, 163483
1670731771426, 8138, 171621
1670731772426, 8211, 179832
1670731773426, 8104, 187936
1670731774427, 8200, 196136
1670731775427, 8119, 204255
1670731776428, 8157, 212412
1670731777429, 8231, 220643
1670731778429, 8190, 228833
1670731779429, 8156, 236989
1670731780430, 8210, 245199
1670731781430, 8069, 253268
1670731782430, 8108, 261376
1670731783430, 8205, 269581
1670731784431, 8192, 277773
1670731785431, 8178, 285951
1670731786432, 8154, 294105
1670731787432, 8177, 302282
1670731788432, 8017, 310299
1670731789433, 8191, 318490
1670731790433, 8209, 326699
1670731791433, 8139, 334838
1670731792433, 8211, 343049
1670731793434, 8233, 351282
1670731794434, 8140, 359422
1670731795435, 8084, 367506
1670731796436, 8165, 375671
1670731797436, 8273, 383944
1670731798436, 8137, 392081
1670731799437, 8178, 400259
1670731800437, 8159, 408418
1670731801437, 8194, 416612
1670731802438, 7991, 424603
1670731803438, 8242, 432845
1670731804438, 8182, 441027
1670731805439, 8214, 449241
1670731806439, 8139, 457380
1670731807439, 8210, 465590
1670731808440, 7988, 473578
1670731809440, 8190, 481768
1670731810440, 8227, 489995
1670731811440, 8232, 498227
1670731812441, 8177, 506404
1670731813441, 8210, 514614
1670731814442, 8061, 522675
1670731815447, 8172, 530847
1670731816448, 8215, 539062
1670731817448, 8113, 547175
1670731818448, 7940, 555115
1670731819449, 8273, 563388
1670731820449, 8213, 571601
1670731821449, 8203, 579804
1670731822450, 8118, 587922
1670731823450, 8225, 596147
1670731824450, 8162, 604309
21:10:25,156 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
21:10:25,258 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:10:25,258 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
