10:52:54,406 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [100]
10:52:54,422 INFO  [main] Client:223 - Start performance testing with [2] threads, experimentTimeSeconds [90], commandSize [1024] bytes)
10:52:54,435 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
10:52:55,437 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 57, Total Commands 57, Total Responses 57, Avg latency (ms) 0.00, Lantencies size 0,
10:52:56,441 INFO  [ClientStatsWriter] Client:202 - Commands sent 70, Response received 70, Total Commands 127, Total Responses 127, Avg latency (ms) 3.27, Lantencies size 1,
10:52:57,442 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 192, Total Responses 192, Avg latency (ms) 0.00, Lantencies size 0,
10:52:58,443 INFO  [ClientStatsWriter] Client:202 - Commands sent 69, Response received 69, Total Commands 261, Total Responses 261, Avg latency (ms) 2.79, Lantencies size 1,
10:52:59,448 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 322, Total Responses 322, Avg latency (ms) 2.49, Lantencies size 1,
10:53:00,449 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 384, Total Responses 384, Avg latency (ms) 0.00, Lantencies size 0,
10:53:01,450 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 63, Total Commands 448, Total Responses 447, Avg latency (ms) 2.31, Lantencies size 1,
10:53:02,451 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 61, Total Commands 508, Total Responses 508, Avg latency (ms) 2.33, Lantencies size 1,
10:53:03,452 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 569, Total Responses 569, Avg latency (ms) 0.00, Lantencies size 0,
10:53:04,453 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 633, Total Responses 633, Avg latency (ms) 2.31, Lantencies size 1,
10:53:05,454 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 696, Total Responses 696, Avg latency (ms) 0.00, Lantencies size 0,
10:53:06,455 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 755, Total Responses 755, Avg latency (ms) 2.27, Lantencies size 1,
10:53:07,456 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 814, Total Responses 814, Avg latency (ms) 2.20, Lantencies size 1,
10:53:08,460 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 878, Total Responses 878, Avg latency (ms) 0.00, Lantencies size 0,
10:53:09,461 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 940, Total Responses 940, Avg latency (ms) 2.25, Lantencies size 1,
10:53:10,462 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 1007, Total Responses 1007, Avg latency (ms) 2.24, Lantencies size 1,
10:53:11,463 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 1067, Total Responses 1067, Avg latency (ms) 0.00, Lantencies size 0,
10:53:12,463 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 1134, Total Responses 1134, Avg latency (ms) 2.23, Lantencies size 1,
10:53:13,464 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 61, Total Commands 1196, Total Responses 1195, Avg latency (ms) 0.00, Lantencies size 0,
10:53:14,465 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 60, Total Commands 1255, Total Responses 1255, Avg latency (ms) 2.20, Lantencies size 1,
10:53:15,466 INFO  [ClientStatsWriter] Client:202 - Commands sent 55, Response received 55, Total Commands 1310, Total Responses 1310, Avg latency (ms) 2.18, Lantencies size 1,
10:53:16,467 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 1370, Total Responses 1370, Avg latency (ms) 0.00, Lantencies size 0,
10:53:17,468 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 1429, Total Responses 1429, Avg latency (ms) 2.16, Lantencies size 1,
10:53:18,468 INFO  [ClientStatsWriter] Client:202 - Commands sent 71, Response received 71, Total Commands 1500, Total Responses 1500, Avg latency (ms) 2.14, Lantencies size 1,
10:53:19,469 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 1560, Total Responses 1560, Avg latency (ms) 0.00, Lantencies size 0,
10:53:20,470 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 64, Total Commands 1625, Total Responses 1624, Avg latency (ms) 2.13, Lantencies size 1,
10:53:21,471 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 63, Total Commands 1689, Total Responses 1687, Avg latency (ms) 0.00, Lantencies size 0,
10:53:22,471 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 62, Total Commands 1749, Total Responses 1749, Avg latency (ms) 2.19, Lantencies size 1,
10:53:23,473 INFO  [ClientStatsWriter] Client:202 - Commands sent 56, Response received 56, Total Commands 1805, Total Responses 1805, Avg latency (ms) 2.13, Lantencies size 1,
10:53:24,474 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 1864, Total Responses 1864, Avg latency (ms) 0.00, Lantencies size 0,
10:53:25,475 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 1927, Total Responses 1927, Avg latency (ms) 2.20, Lantencies size 1,
10:53:26,475 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 1990, Total Responses 1990, Avg latency (ms) 0.00, Lantencies size 0,
10:53:27,476 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 2055, Total Responses 2055, Avg latency (ms) 2.17, Lantencies size 1,
10:53:28,477 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 2118, Total Responses 2118, Avg latency (ms) 2.20, Lantencies size 1,
10:53:29,478 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 2184, Total Responses 2184, Avg latency (ms) 0.00, Lantencies size 0,
10:53:30,479 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 2247, Total Responses 2247, Avg latency (ms) 2.21, Lantencies size 1,
10:53:31,479 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 2310, Total Responses 2310, Avg latency (ms) 2.14, Lantencies size 1,
10:53:32,480 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 2371, Total Responses 2371, Avg latency (ms) 0.00, Lantencies size 0,
10:53:33,481 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 65, Total Commands 2437, Total Responses 2436, Avg latency (ms) 2.16, Lantencies size 1,
10:53:34,482 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 59, Total Commands 2495, Total Responses 2495, Avg latency (ms) 0.00, Lantencies size 0,
10:53:35,483 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 59, Total Commands 2555, Total Responses 2554, Avg latency (ms) 2.24, Lantencies size 1,
10:53:36,484 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 2622, Total Responses 2621, Avg latency (ms) 2.16, Lantencies size 1,
10:53:37,484 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 66, Total Commands 2687, Total Responses 2687, Avg latency (ms) 0.00, Lantencies size 0,
10:53:38,485 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 2749, Total Responses 2749, Avg latency (ms) 2.24, Lantencies size 1,
