17:05:40,617 INFO  [main] RawABListener:48 - Initing a RawABListener...
17:05:40,625 INFO  [main] Node:101 - PID: 3486
17:05:40,827 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
17:05:40,830 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
17:05:40,831 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
17:05:40,846 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
17:05:40,847 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
17:05:40,847 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
17:05:40,853 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
17:05:40,855 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
17:05:40,860 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 15] (succsessor: 2 at /10.10.1.3:2714)
17:05:40,871 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 15] (succsessor: 2 at /10.10.1.3:2714)
17:05:40,872 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
1672704340873, 0, 0
Reading from stdin
17:05:40,875 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 15] (succsessor: 1 at /10.10.1.2:2117)
17:05:40,985 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2117)
1672704341873, 0, 0
1672704342874, 0, 0
1672704343874, 0, 0
1672704344875, 0, 0
1672704345875, 527, 527
1672704346875, 11108, 11635
1672704347876, 11190, 22825
1672704348876, 11478, 34303
1672704349877, 11347, 45650
1672704350877, 11320, 56970
1672704351878, 11387, 68357
1672704352878, 11158, 79515
1672704353879, 11350, 90865
1672704354880, 11505, 102370
1672704355880, 11767, 114137
1672704356880, 16344, 130481
1672704357881, 16622, 147103
1672704358881, 16381, 163484
1672704359882, 16497, 179981
1672704360882, 16237, 196218
1672704361882, 16453, 212671
1672704362924, 16238, 228909
1672704363925, 17152, 246061
1672704364925, 16598, 262659
1672704365926, 16316, 278975
1672704366929, 16361, 295336
1672704367929, 16491, 311827
1672704368930, 16388, 328215
1672704369930, 16370, 344585
1672704370931, 16356, 360941
1672704371931, 16580, 377521
1672704372932, 16481, 394002
1672704373933, 16461, 410463
1672704374934, 16567, 427030
1672704375934, 1624, 428654
17:06:16,487 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
17:06:16,589 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
17:06:16,589 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
