20:22:34,062 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:22:34,071 INFO  [main] Node:101 - PID: 73941
20:22:34,273 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:22:34,278 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:22:34,278 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:22:34,296 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:22:34,297 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:22:34,299 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:22:34,308 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:22:34,310 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:22:34,319 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 15 at /10.10.1.6:2912)
20:22:34,333 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1670728954334, 0, 0
Reading from stdin
20:22:34,358 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14, 15] (succsessor: 15 at /10.10.1.6:2912)
20:22:34,424 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2912)
1670728955334, 0, 0
1670728956335, 0, 0
1670728957335, 0, 0
1670728958335, 0, 0
1670728959336, 118, 118
1670728960336, 3834, 3952
1670728961337, 3886, 7838
1670728962337, 3865, 11703
1670728963338, 3873, 15576
1670728964338, 3875, 19451
1670728965339, 3767, 23218
1670728966340, 3811, 27029
1670728967340, 3894, 30923
1670728968340, 3808, 34731
1670728969341, 3912, 38643
1670728970341, 3787, 42430
1670728971342, 3851, 46281
1670728972342, 3868, 50149
1670728973342, 3856, 54005
1670728974343, 3865, 57870
1670728975343, 3812, 61682
1670728976343, 3532, 65214
1670728977344, 4099, 69313
1670728978344, 3764, 73077
1670728979345, 3954, 77031
1670728980346, 3863, 80894
1670728981346, 3914, 84808
1670728982346, 3883, 88691
1670728983347, 3866, 92557
1670728984347, 3963, 96520
1670728985347, 3857, 100377
1670728986348, 3918, 104295
1670728987348, 3839, 108134
1670728988348, 3886, 112020
1670728989349, 3855, 115875
1670728990352, 3832, 119707
1670728991352, 3854, 123561
1670728992353, 3896, 127457
1670728993353, 3878, 131335
1670728994354, 3878, 135213
1670728995354, 3789, 139002
1670728996354, 3898, 142900
1670728997355, 3820, 146720
1670728998355, 3869, 150589
1670728999355, 3622, 154211
1670729000356, 4001, 158212
1670729001356, 3836, 162048
1670729002357, 3926, 165974
1670729003357, 3875, 169849
1670729004357, 3806, 173655
1670729005357, 3613, 177268
1670729006358, 3881, 181149
1670729007359, 3844, 184993
1670729008359, 3892, 188885
1670729009359, 3230, 192115
1670729010915, 4061, 196176
1670729011915, 3839, 200015
1670729012916, 3859, 203874
1670729013916, 3911, 207785
1670729014916, 1586, 209371
1670729015917, 3906, 213277
1670729016917, 3875, 217152
1670729017917, 3890, 221042
1670729018917, 3877, 224919
1670729019918, 1581, 226500
1670729020918, 3970, 230470
1670729021918, 3871, 234341
1670729022919, 3866, 238207
1670729023919, 3882, 242089
1670729024920, 3863, 245952
1670729025920, 2779, 248731
1670729026920, 4287, 253018
1670729027921, 3884, 256902
1670729028921, 3851, 260753
1670729029921, 3877, 264630
1670729030921, 1421, 266051
1670729031922, 5284, 271335
1670729032922, 3969, 275304
1670729033922, 3686, 278990
1670729034922, 4025, 283015
1670729035923, 1529, 284544
1670729036923, 5275, 289819
1670729037924, 3751, 293570
1670729038924, 3974, 297544
1670729039924, 3856, 301400
1670729040925, 3623, 305023
1670729041925, 3685, 308708
1670729042925, 3821, 312529
1670729043926, 3912, 316441
1670729044926, 3936, 320377
1670729045926, 3535, 323912
1670729046926, 4159, 328071
1670729047927, 3825, 331896
1670729048927, 3668, 335564
1670729049927, 634, 336198
20:24:10,619 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:24:10,718 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:24:10,722 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
