21:30:26,817 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:30:26,825 INFO  [main] Node:101 - PID: 85227
21:30:27,061 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:30:27,065 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:30:27,066 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:30:27,086 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:30:27,087 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:30:27,088 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:30:27,094 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:30:27,095 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:30:27,100 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14] (succsessor: 14 at /10.10.1.5:2871)
21:30:27,108 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 14] (succsessor: 1 at /10.10.1.2:2115)
21:30:27,121 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1670733027122, 0, 0
Reading from stdin
21:30:27,152 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14] (succsessor: 1 at /10.10.1.2:2115)
21:30:27,159 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2776)
21:30:27,220 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2776)
1670733028122, 0, 0
1670733029123, 0, 0
1670733030123, 0, 0
1670733031124, 0, 0
1670733032124, 87, 87
1670733033124, 4958, 5045
1670733034125, 5256, 10301
1670733035126, 4407, 14708
1670733036126, 4010, 18718
1670733037127, 5351, 24069
1670733038128, 6512, 30581
1670733039128, 6557, 37138
1670733040128, 6135, 43273
1670733041129, 6250, 49523
1670733042130, 7198, 56721
1670733043130, 5486, 62207
1670733044130, 7062, 69269
1670733045130, 6035, 75304
1670733046131, 4402, 79706
1670733047132, 6338, 86044
1670733048132, 7188, 93232
1670733049133, 7433, 100665
1670733050133, 7538, 108203
1670733051133, 6198, 114401
1670733052134, 6821, 121222
1670733053135, 7613, 128835
1670733054135, 6495, 135330
1670733055136, 6776, 142106
1670733056136, 5720, 147826
1670733057136, 6859, 154685
1670733058136, 6651, 161336
1670733059137, 6875, 168211
1670733060137, 6936, 175147
1670733061138, 6512, 181659
1670733062139, 7352, 189011
1670733063139, 6162, 195173
1670733064139, 6864, 202037
1670733065139, 8451, 210488
1670733066140, 8479, 218967
1670733067140, 1295, 220262
1670733068425, 5558, 225820
1670733069425, 6456, 232276
1670733070426, 6771, 239047
1670733071426, 6524, 245571
1670733073172, 7898, 253469
1670733074172, 7519, 260988
1670733075173, 6080, 267068
1670733076173, 6160, 273228
1670733077173, 742, 273970
1670733078259, 5892, 279862
1670733079259, 5230, 285092
1670733080260, 6335, 291427
1670733081260, 4758, 296185
1670733082260, 1180, 297365
1670733083260, 7528, 304893
1670733084261, 7522, 312415
1670733085261, 4850, 317265
1670733086262, 6801, 324066
1670733087262, 257, 324323
1670733088319, 7063, 331386
1670733089319, 7133, 338519
1670733090319, 8015, 346534
1670733091319, 7089, 353623
1670733093319, 6309, 359932
1670733094319, 6772, 366704
1670733095319, 7239, 373943
1670733096319, 5345, 379288
1670733098104, 5762, 385050
1670733099105, 6218, 391268
1670733100105, 7181, 398449
1670733101106, 8117, 406566
1670733102106, 1542, 408108
1670733103319, 6932, 415040
1670733104319, 7070, 422110
1670733105319, 8172, 430282
1670733106320, 7575, 437857
1670733108331, 6372, 444229
1670733109331, 6656, 450885
1670733110331, 5644, 456529
1670733111331, 6189, 462718
1670733113221, 6068, 468786
1670733114221, 5362, 474148
1670733115222, 5636, 479784
1670733116222, 6126, 485910
1670733117222, 546, 486456
1670733118222, 6880, 493336
1670733119227, 6818, 500154
1670733120227, 7996, 508150
1670733121228, 2007, 510157
1670733122365, 6313, 516470
1670733123365, 4, 516474
1670733124365, 554, 517028
1670733125365, 0, 517028
1670733126366, 0, 517028
1670733127396, 0, 517028
1670733128396, 0, 517028
1670733129396, 0, 517028
1670733130397, 0, 517028
1670733131397, 0, 517028
1670733132397, 0, 517028
1670733133397, 0, 517028
