19:52:16,327 INFO  [main] RawABListener:48 - Initing a RawABListener...
19:52:16,334 INFO  [main] Node:101 - PID: 69867
19:52:16,529 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
19:52:16,533 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
19:52:16,533 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
19:52:16,551 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
19:52:16,552 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
19:52:16,553 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
19:52:16,563 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
19:52:16,565 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
19:52:16,572 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 14] (succsessor: 4 at /10.10.1.9:2359)
19:52:16,587 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1670727136588, 0, 0
Reading from stdin
19:52:16,649 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 4, 14] (succsessor: 1 at /10.10.1.2:2579)
19:52:16,761 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 4, 14, 15] (succsessor: 15 at /10.10.1.6:2465)
19:52:16,766 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 4, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2465)
19:52:16,820 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2465)
1670727137589, 0, 0
1670727138589, 0, 0
1670727139589, 0, 0
1670727140590, 0, 0
1670727141590, 0, 0
1670727142591, 3252, 3252
1670727143591, 3911, 7163
1670727144591, 3896, 11059
1670727145592, 3948, 15007
1670727146592, 3938, 18945
1670727147593, 3875, 22820
1670727148593, 3964, 26784
1670727149594, 3936, 30720
1670727150595, 3873, 34593
1670727151595, 3888, 38481
1670727152595, 3905, 42386
1670727153596, 3943, 46329
1670727154596, 3886, 50215
1670727155597, 3834, 54049
1670727156597, 3965, 58014
1670727157598, 3898, 61912
1670727158598, 3930, 65842
1670727159599, 3919, 69761
1670727160599, 3797, 73558
1670727161600, 3884, 77442
1670727162600, 3878, 81320
1670727163601, 3936, 85256
1670727164601, 3877, 89133
1670727165601, 3862, 92995
1670727166602, 3936, 96931
1670727167602, 3898, 100829
1670727168602, 3820, 104649
1670727169603, 3916, 108565
1670727170603, 3928, 112493
1670727171604, 3933, 116426
1670727172604, 3945, 120371
1670727173605, 3893, 124264
1670727174605, 3931, 128195
1670727175606, 3817, 132012
1670727176606, 3906, 135918
1670727177606, 3905, 139823
1670727178607, 3886, 143709
1670727179607, 3845, 147554
1670727180607, 3839, 151393
1670727181608, 3950, 155343
1670727182608, 3832, 159175
1670727183608, 3936, 163111
1670727184608, 3879, 166990
1670727185609, 3891, 170881
1670727186609, 2542, 173423
1670727187741, 5755, 179178
1670727188741, 3921, 183099
1670727189741, 3841, 186940
1670727190742, 3934, 190874
1670727191742, 2039, 192913
1670727192764, 5923, 198836
1670727193764, 3815, 202651
1670727194765, 3909, 206560
1670727195765, 3939, 210499
1670727196765, 2126, 212625
1670727197766, 5127, 217752
1670727198766, 3869, 221621
1670727199766, 3932, 225553
1670727200767, 3927, 229480
1670727201767, 2334, 231814
1670727202767, 5012, 236826
1670727203767, 3954, 240780
1670727204768, 3906, 244686
1670727205768, 3908, 248594
1670727206768, 2122, 250716
1670727207769, 5470, 256186
1670727208769, 3893, 260079
1670727209769, 3874, 263953
1670727210770, 3898, 267851
1670727211770, 1999, 269850
1670727212770, 5814, 275664
1670727213771, 3894, 279558
1670727214771, 3883, 283441
1670727215771, 3904, 287345
1670727216772, 2194, 289539
1670727217772, 5620, 295159
1670727218772, 3929, 299088
1670727219773, 3910, 302998
1670727220773, 3912, 306910
1670727221773, 3584, 310494
1670727222773, 4270, 314764
1670727223774, 3935, 318699
1670727224774, 3895, 322594
1670727225774, 3871, 326465
1670727226775, 2068, 328533
1670727227775, 5763, 334296
1670727228775, 3922, 338218
1670727229775, 3878, 342096
1670727230778, 3868, 345964
1670727231778, 1051, 347015
19:53:52,428 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
19:53:52,527 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
19:53:52,527 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
