__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
20:51:22,465 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.192s. Listening on: http://0.0.0.0:8888
20:51:22,472 INFO  quarkus:91 [main] Profile prod activated. 
20:51:22,472 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
20:51:26,445 INFO  LoggerController:67 [executor-thread-1] loggerRestClients size [2]
20:51:26,447 INFO  LoggerController:138 [executor-thread-1] Executing performance test with thread counter [64] and ring counter [1]
20:51:26,728 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/bee99b7f-e2c8-4f00-87d2-794150574960]
1672199486729, 0, 0
1672199487730, 2314, 2314
1672199488730, 2335, 4649
1672199489730, 2345, 6994
1672199490731, 2337, 9331
1672199491731, 2304, 11635
1672199492731, 2321, 13956
1672199493732, 2337, 16293
1672199494732, 2350, 18643
1672199495733, 2293, 20936
1672199496733, 2363, 23299
1672199497733, 2343, 25642
1672199498734, 2306, 27948
1672199499734, 2330, 30278
1672199500734, 2347, 32625
1672199501735, 2356, 34981
1672199502735, 2318, 37299
1672199503735, 2286, 39585
1672199504736, 2370, 41955
1672199505736, 2361, 44316
1672199506736, 2392, 46708
1672199507737, 2291, 48999
1672199508737, 2344, 51343
1672199509737, 2334, 53677
1672199510738, 2325, 56002
1672199511738, 2323, 58325
1672199512738, 2367, 60692
1672199513739, 2293, 62985
1672199514739, 2348, 65333
1672199515739, 2333, 67666
