18:22:35,372 INFO  [main] RawABListener:48 - Initing a RawABListener...
18:22:35,379 INFO  [main] Node:101 - PID: 12779
18:22:35,540 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
18:22:35,543 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
18:22:35,544 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
18:22:35,560 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
18:22:35,561 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
18:22:35,561 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
18:22:35,566 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
18:22:35,568 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
18:22:35,575 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13] (succsessor: 1 at /10.10.1.2:2259)
18:22:35,584 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13] (succsessor: 1 at /10.10.1.2:2259)
18:22:35,587 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 14 at /10.10.1.5:2438)
18:22:35,591 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1672708955591, 0, 0
Reading from stdin
18:22:35,637 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2438)
1672708956592, 0, 0
1672708957593, 0, 0
1672708958593, 0, 0
1672708959594, 0, 0
1672708960594, 0, 0
1672708961594, 12089, 12089
1672708962595, 15219, 27308
1672708963595, 14423, 41731
1672708964596, 14190, 55921
1672708965597, 10708, 66629
1672708966598, 13944, 80573
1672708967598, 15949, 96522
1672708968599, 14480, 111002
1672708969599, 12866, 123868
1672708970600, 14251, 138119
1672708971600, 15311, 153430
1672708972601, 16666, 170096
1672708973601, 13016, 183112
1672708974601, 13032, 196144
1672708975602, 14577, 210721
1672708976603, 15767, 226488
1672708977603, 16578, 243066
1672708978604, 14802, 257868
1672708979604, 8378, 266246
1672708981591, 12203, 278449
1672708982592, 14643, 293092
1672708983592, 14674, 307766
1672708984593, 7452, 315218
1672708986175, 14794, 330012
1672708987175, 9727, 339739
1672708988175, 11999, 351738
1672708989176, 9273, 361011
1672708990890, 2948, 363959
1672708991890, 0, 363959
1672708992891, 0, 363959
18:23:13,091 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
18:23:13,191 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
18:23:13,192 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
