21:26:16,779 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:26:16,786 INFO  [main] Node:101 - PID: 79024
21:26:16,994 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:26:16,999 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:26:17,000 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:26:17,019 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:26:17,019 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:26:17,020 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:26:17,026 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:26:17,028 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:26:17,032 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [15] (succsessor: 15 at /10.10.1.6:2615)
21:26:17,040 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 14 at /10.10.1.5:2313)
21:26:17,053 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1670732777054, 0, 0
Reading from stdin
21:26:17,115 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2945)
21:26:17,213 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2945)
1670732778054, 0, 0
1670732779055, 0, 0
1670732780055, 0, 0
1670732781055, 0, 0
1670732782056, 198, 198
1670732783056, 11429, 11627
1670732784057, 12098, 23725
1670732785058, 11802, 35527
1670732786058, 11205, 46732
1670732787060, 12108, 58840
1670732788060, 15202, 74042
1670732789060, 14224, 88266
1670732790061, 11201, 99467
1670732791061, 12406, 111873
1670732792062, 12235, 124108
1670732793063, 12925, 137033
1670732794063, 15763, 152796
1670732795063, 16617, 169413
1670732796064, 15225, 184638
1670732797064, 15053, 199691
1670732798064, 8914, 208605
1670732799065, 10382, 218987
1670732800067, 14647, 233634
1670732801067, 16280, 249914
1670732802068, 11139, 261053
1670732804280, 11620, 272673
1670732805281, 13932, 286605
1670732806281, 13619, 300224
1670732807281, 9339, 309563
1670732809032, 10495, 320058
1670732810032, 14088, 334146
1670732811032, 11291, 345437
1670732812033, 13079, 358516
1670732814082, 10096, 368612
1670732815082, 13290, 381902
1670732816083, 17481, 399383
1670732817083, 2093, 401476
1670732818167, 12827, 414303
1670732819168, 11345, 425648
1670732820168, 11582, 437230
1670732822024, 9979, 447209
1670732823024, 12571, 459780
1670732824024, 8052, 467832
1670732825333, 8944, 476776
1670732826334, 11996, 488772
1670732827334, 5900, 494672
1670732828334, 10088, 504760
1670732829335, 12299, 517059
1670732830929, 11673, 528732
1670732831929, 9653, 538385
1670732833088, 12360, 550745
1670732834088, 7104, 557849
1670732835233, 13927, 571776
1670732836233, 4095, 575871
1670732837236, 10270, 586141
1670732838236, 6930, 593071
1670732839412, 12482, 605553
1670732840412, 7544, 613097
1670732841413, 12548, 625645
1670732842835, 11017, 636662
1670732843836, 6974, 643636
1670732844836, 10450, 654086
1670732845836, 5523, 659609
1670732846837, 9741, 669350
1670732847837, 7870, 677220
1670732848849, 7719, 684939
1670732849849, 12837, 697776
1670732851203, 12435, 710211
1670732852203, 8315, 718526
1670732853203, 7782, 726308
1670732854204, 9547, 735855
1670732855204, 6472, 742327
1670732856204, 8938, 751265
1670732857326, 12970, 764235
1670732858716, 11661, 775896
1670732859716, 6672, 782568
1670732860716, 7164, 789732
1670732861717, 7589, 797321
1670732862717, 5867, 803188
1670732863718, 10789, 813977
1670732865104, 10120, 824097
1670732866104, 8023, 832120
1670732867104, 9919, 842039
1670732868105, 7938, 849977
1670732869293, 11582, 861559
1670732870567, 10187, 871746
1670732871568, 5999, 877745
1670732872568, 7028, 884773
1670732873589, 10501, 895274
1670732874589, 5703, 900977
1670732875590, 6756, 907733
1670732876590, 11213, 918946
1670732877931, 8891, 927837
1670732879070, 0, 927837
1670732880071, 0, 927837
1670732881169, 0, 927837
1670732882409, 0, 927837
1670732883603, 0, 927837
1670732884603, 0, 927837
1670732885665, 0, 927837
21:28:05,848 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:28:05,947 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:28:05,948 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
