06:44:10,928 INFO  [main] RawABListener:48 - Initing a RawABListener...
06:44:10,938 INFO  [main] Node:101 - PID: 39101
06:44:11,156 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
06:44:11,160 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
06:44:11,160 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
06:44:11,179 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
06:44:11,179 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
06:44:11,180 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
06:44:11,185 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
06:44:11,187 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
06:44:11,188 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13] (succsessor: 13 at /10.10.1.5:2592)
06:44:11,208 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13] (succsessor: 2 at /10.10.1.2:2783)
06:44:11,217 INFO  [main] Replica:172 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1681994651217, 0, 0
Reading from stdin
06:44:11,230 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13] (succsessor: 1 at /10.10.1.3:2395)
06:44:11,367 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 14 at /10.10.1.6:2364)
1681994652218, 0, 0
1681994653218, 0, 0
1681994654218, 0, 0
06:44:14,786 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14] (succsessor: 14 at /10.10.1.6:2364)
1681994655218, 0, 0
1681994656219, 0, 0
1681994657219, 234, 234
1681994658219, 256, 490
1681994659220, 237, 727
1681994660220, 250, 977
1681994661220, 262, 1239
1681994662221, 243, 1482
1681994663221, 245, 1727
1681994664221, 242, 1969
1681994665221, 251, 2220
1681994666222, 261, 2481
1681994667222, 236, 2717
1681994668222, 251, 2968
1681994669222, 241, 3209
1681994670223, 254, 3463
1681994671223, 254, 3717
1681994672223, 258, 3975
1681994673224, 237, 4212
1681994674224, 243, 4455
1681994675224, 269, 4724
1681994676224, 247, 4971
1681994677225, 263, 5234
1681994678225, 249, 5483
1681994679225, 265, 5748
1681994680226, 255, 6003
1681994681226, 251, 6254
1681994682227, 261, 6515
1681994683227, 252, 6767
1681994684227, 254, 7021
1681994685228, 242, 7263
1681994686228, 198, 7461
1681994687228, 0, 7461
06:44:47,505 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
06:44:47,604 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
06:44:47,604 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
