23:42:20,781 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
23:42:20,795 INFO  [main] Client:224 - Start performance testing with [256] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
23:42:20,809 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
23:42:21,816 INFO  [ClientStatsWriter] Client:203 - Commands sent 4014, Response received 3974, Total Commands 4014, Total Responses 3974, Avg latency (ms) 10.15, Lantencies size 3,
23:42:22,819 INFO  [ClientStatsWriter] Client:203 - Commands sent 7828, Response received 7844, Total Commands 11842, Total Responses 11818, Avg latency (ms) 2.98, Lantencies size 7,
23:42:23,820 INFO  [ClientStatsWriter] Client:203 - Commands sent 7814, Response received 7816, Total Commands 19656, Total Responses 19634, Avg latency (ms) 3.11, Lantencies size 8,
23:42:24,822 INFO  [ClientStatsWriter] Client:203 - Commands sent 7888, Response received 7886, Total Commands 27544, Total Responses 27520, Avg latency (ms) 3.55, Lantencies size 8,
23:42:25,827 INFO  [ClientStatsWriter] Client:203 - Commands sent 7925, Response received 7924, Total Commands 35469, Total Responses 35444, Avg latency (ms) 2.87, Lantencies size 8,
23:42:26,829 INFO  [ClientStatsWriter] Client:203 - Commands sent 6991, Response received 7004, Total Commands 42460, Total Responses 42448, Avg latency (ms) 3.44, Lantencies size 7,
23:42:27,830 INFO  [ClientStatsWriter] Client:203 - Commands sent 7852, Response received 7838, Total Commands 50312, Total Responses 50286, Avg latency (ms) 3.12, Lantencies size 8,
23:42:28,832 INFO  [ClientStatsWriter] Client:203 - Commands sent 7878, Response received 7884, Total Commands 58190, Total Responses 58170, Avg latency (ms) 2.51, Lantencies size 8,
23:42:29,834 INFO  [ClientStatsWriter] Client:203 - Commands sent 7492, Response received 7488, Total Commands 65682, Total Responses 65658, Avg latency (ms) 7.31, Lantencies size 7,
23:42:30,835 INFO  [ClientStatsWriter] Client:203 - Commands sent 7787, Response received 7788, Total Commands 73469, Total Responses 73446, Avg latency (ms) 3.41, Lantencies size 8,
23:42:31,837 INFO  [ClientStatsWriter] Client:203 - Commands sent 6969, Response received 6972, Total Commands 80438, Total Responses 80418, Avg latency (ms) 19.75, Lantencies size 7,
23:42:32,838 INFO  [ClientStatsWriter] Client:203 - Commands sent 6798, Response received 6799, Total Commands 87236, Total Responses 87217, Avg latency (ms) 11.26, Lantencies size 7,
23:42:33,839 INFO  [ClientStatsWriter] Client:203 - Commands sent 7898, Response received 7904, Total Commands 95134, Total Responses 95121, Avg latency (ms) 2.96, Lantencies size 8,
23:42:34,845 INFO  [ClientStatsWriter] Client:203 - Commands sent 7857, Response received 7844, Total Commands 102991, Total Responses 102965, Avg latency (ms) 2.29, Lantencies size 7,
23:42:35,847 INFO  [ClientStatsWriter] Client:203 - Commands sent 7934, Response received 7937, Total Commands 110925, Total Responses 110902, Avg latency (ms) 2.42, Lantencies size 8,
23:42:36,849 INFO  [ClientStatsWriter] Client:203 - Commands sent 6845, Response received 6845, Total Commands 117770, Total Responses 117747, Avg latency (ms) 2.74, Lantencies size 7,
23:42:37,851 INFO  [ClientStatsWriter] Client:203 - Commands sent 7812, Response received 7821, Total Commands 125582, Total Responses 125568, Avg latency (ms) 4.10, Lantencies size 8,
23:42:38,852 INFO  [ClientStatsWriter] Client:203 - Commands sent 7887, Response received 7875, Total Commands 133469, Total Responses 133443, Avg latency (ms) 3.40, Lantencies size 8,
23:42:39,853 INFO  [ClientStatsWriter] Client:203 - Commands sent 7911, Response received 7925, Total Commands 141380, Total Responses 141368, Avg latency (ms) 2.59, Lantencies size 8,
23:42:40,854 INFO  [ClientStatsWriter] Client:203 - Commands sent 7979, Response received 7967, Total Commands 149359, Total Responses 149335, Avg latency (ms) 2.82, Lantencies size 8,
23:42:41,855 INFO  [ClientStatsWriter] Client:203 - Commands sent 5924, Response received 5925, Total Commands 155283, Total Responses 155260, Avg latency (ms) 12.69, Lantencies size 6,
23:42:42,857 INFO  [ClientStatsWriter] Client:203 - Commands sent 7841, Response received 7844, Total Commands 163124, Total Responses 163104, Avg latency (ms) 2.49, Lantencies size 8,
23:42:43,858 INFO  [ClientStatsWriter] Client:203 - Commands sent 7977, Response received 7969, Total Commands 171101, Total Responses 171073, Avg latency (ms) 2.55, Lantencies size 8,
23:42:44,859 INFO  [ClientStatsWriter] Client:203 - Commands sent 7831, Response received 7816, Total Commands 178932, Total Responses 178889, Avg latency (ms) 2.76, Lantencies size 7,
23:42:45,860 INFO  [ClientStatsWriter] Client:203 - Commands sent 7798, Response received 7831, Total Commands 186730, Total Responses 186720, Avg latency (ms) 3.40, Lantencies size 8,
23:42:46,861 INFO  [ClientStatsWriter] Client:203 - Commands sent 6298, Response received 6286, Total Commands 193028, Total Responses 193006, Avg latency (ms) 3.24, Lantencies size 7,
23:42:47,862 INFO  [ClientStatsWriter] Client:203 - Commands sent 7838, Response received 7837, Total Commands 200866, Total Responses 200843, Avg latency (ms) 2.69, Lantencies size 7,
23:42:48,863 INFO  [ClientStatsWriter] Client:203 - Commands sent 7859, Response received 7857, Total Commands 208725, Total Responses 208700, Avg latency (ms) 2.85, Lantencies size 8,
23:42:49,864 INFO  [ClientStatsWriter] Client:203 - Commands sent 7843, Response received 7845, Total Commands 216568, Total Responses 216545, Avg latency (ms) 2.98, Lantencies size 8,
23:42:50,020 INFO  [Command Sender 196] Client:269 - Thread [Command Sender 196] terminated.
23:42:50,021 INFO  [Command Sender 247] Client:269 - Thread [Command Sender 247] terminated.
