__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
19:25:02,438 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.153s. Listening on: http://0.0.0.0:8888
19:25:02,444 INFO  quarkus:91 [main] Profile prod activated. 
19:25:02,445 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
19:25:06,481 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
19:25:06,544 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
19:25:06,544 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
19:25:06,610 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
19:25:07,615 INFO  ReplicaLoggerClient:66 [executor-thread-2] Path created [/media/disk1/de8b23c5-1419-40c9-b997-8dc25799caad]
1671416707616, 0, 0
19:25:07,680 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=5, ring=2, replicas=1, pathPrefix=/media/disk1/]]
19:25:07,680 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [5]
19:25:07,685 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
19:25:07,754 INFO  ReplicaLoggerClient:66 [executor-thread-2] Path created [/media/disk1/c1fa4541-9825-4f36-9e29-ae4fb87039d8]
1671416708617, 0, 0
1671416709617, 0, 0
1671416710618, 0, 0
1671416711618, 0, 0
1671416712618, 14, 14
1671416713618, 21866, 21880
1671416714619, 23501, 45381
1671416715619, 21576, 66957
1671416716620, 18186, 85143
1671416717622, 21939, 107082
1671416718622, 19622, 126704
1671416719623, 21227, 147931
1671416720623, 20878, 168809
1671416721624, 21783, 190592
1671416722624, 24199, 214791
1671416723625, 20438, 235229
1671416724625, 24276, 259505
1671416725626, 21367, 280872
1671416726627, 24581, 305453
1671416727627, 21205, 326658
1671416728627, 21076, 347734
1671416729628, 21392, 369126
1671416730628, 23358, 392484
1671416731628, 22425, 414909
1671416732629, 22163, 437072
1671416733629, 20470, 457542
1671416734629, 21396, 478938
1671416735629, 18244, 497182
1671416736630, 19439, 516621
1671416737631, 23529, 540150
1671416738632, 23943, 564093
1671416739632, 23173, 587266
1671416740632, 23747, 611013
1671416741633, 24044, 635057
1671416742633, 24278, 659335
1671416743667, 21342, 680677
1671416744667, 22429, 703106
1671416745667, 22522, 725628
1671416746668, 28182, 753810
1671416747669, 28866, 782676
1671416748669, 28616, 811292
1671416749669, 10956, 822248
1671416750670, 0, 822248
