07:48:37,209 INFO  [main] RawABListener:48 - Initing a RawABListener...
07:48:37,220 INFO  [main] Node:101 - PID: 49229
07:48:37,434 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
07:48:37,438 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
07:48:37,439 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
07:48:37,459 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 2
07:48:37,459 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 2
07:48:37,461 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
07:48:37,467 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
07:48:37,469 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
07:48:37,474 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [22, 23] (succsessor: 22 at /10.10.1.2:2734)
07:48:37,483 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 22, 23] (succsessor: 21 at /10.10.1.3:2234)
07:48:37,504 INFO  [main] Replica:172 - Token [0], ringId [null], nodeId [23], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [false] with simple constructor
1681998517504, 0, 0
Reading from stdin
07:48:37,553 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 22, 23, 24] (succsessor: 24 at /10.10.1.6:2448)
1681998518505, 0, 0
1681998519505, 0, 0
1681998520505, 0, 0
1681998521506, 0, 0
1681998522506, 9, 9
1681998523506, 6233, 6242
1681998524507, 7775, 14017
1681998525507, 7710, 21727
1681998526508, 6998, 28725
1681998527508, 7385, 36110
1681998528508, 7720, 43830
1681998529509, 7703, 51533
1681998530509, 7979, 59512
1681998531510, 7676, 67188
1681998532510, 7819, 75007
1681998533510, 7759, 82766
1681998534510, 7107, 89873
1681998535511, 8076, 97949
1681998536511, 7818, 105767
1681998537511, 7480, 113247
1681998538511, 7937, 121184
1681998539512, 7992, 129176
1681998540512, 7664, 136840
1681998541513, 7616, 144456
1681998542513, 7919, 152375
1681998543514, 7683, 160058
1681998544514, 7988, 168046
1681998545514, 7945, 175991
1681998546514, 7956, 183947
1681998547514, 7749, 191696
1681998548515, 7962, 199658
1681998549515, 7941, 207599
1681998550515, 8045, 215644
1681998551515, 8006, 223650
1681998552515, 4203, 227853
1681998553516, 0, 227853
07:49:13,551 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/nodes
07:49:13,650 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/nodes
07:49:13,654 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/learners
