20:42:07,098 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
20:42:07,115 INFO  [main] Client:223 - Start performance testing with [64] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
20:42:07,125 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
20:42:08,131 INFO  [ClientStatsWriter] Client:202 - Commands sent 1718, Response received 1714, Total Commands 1718, Total Responses 1714, Avg latency (ms) 1.61, Lantencies size 1,
20:42:09,132 INFO  [ClientStatsWriter] Client:202 - Commands sent 2058, Response received 2060, Total Commands 3776, Total Responses 3774, Avg latency (ms) 1.87, Lantencies size 2,
20:42:10,133 INFO  [ClientStatsWriter] Client:202 - Commands sent 2063, Response received 2058, Total Commands 5839, Total Responses 5832, Avg latency (ms) 2.44, Lantencies size 2,
20:42:11,134 INFO  [ClientStatsWriter] Client:202 - Commands sent 2046, Response received 2046, Total Commands 7885, Total Responses 7878, Avg latency (ms) 1.62, Lantencies size 2,
20:42:12,139 INFO  [ClientStatsWriter] Client:202 - Commands sent 2049, Response received 2054, Total Commands 9934, Total Responses 9932, Avg latency (ms) 1.54, Lantencies size 2,
20:42:13,141 INFO  [ClientStatsWriter] Client:202 - Commands sent 2061, Response received 2061, Total Commands 11995, Total Responses 11993, Avg latency (ms) 1.83, Lantencies size 2,
20:42:14,143 INFO  [ClientStatsWriter] Client:202 - Commands sent 2004, Response received 2003, Total Commands 13999, Total Responses 13996, Avg latency (ms) 1.53, Lantencies size 2,
20:42:15,147 INFO  [ClientStatsWriter] Client:202 - Commands sent 2052, Response received 2051, Total Commands 16051, Total Responses 16047, Avg latency (ms) 1.70, Lantencies size 2,
20:42:16,148 INFO  [ClientStatsWriter] Client:202 - Commands sent 2033, Response received 2031, Total Commands 18084, Total Responses 18078, Avg latency (ms) 2.40, Lantencies size 2,
20:42:17,149 INFO  [ClientStatsWriter] Client:202 - Commands sent 2014, Response received 2018, Total Commands 20098, Total Responses 20096, Avg latency (ms) 1.76, Lantencies size 2,
20:42:18,151 INFO  [ClientStatsWriter] Client:202 - Commands sent 1994, Response received 1994, Total Commands 22092, Total Responses 22090, Avg latency (ms) 1.66, Lantencies size 2,
20:42:19,152 INFO  [ClientStatsWriter] Client:202 - Commands sent 2053, Response received 2054, Total Commands 24145, Total Responses 24144, Avg latency (ms) 1.81, Lantencies size 2,
20:42:20,153 INFO  [ClientStatsWriter] Client:202 - Commands sent 2088, Response received 2083, Total Commands 26233, Total Responses 26227, Avg latency (ms) 1.74, Lantencies size 2,
20:42:21,159 INFO  [ClientStatsWriter] Client:202 - Commands sent 2031, Response received 2037, Total Commands 28264, Total Responses 28264, Avg latency (ms) 1.79, Lantencies size 2,
20:42:22,161 INFO  [ClientStatsWriter] Client:202 - Commands sent 2030, Response received 2022, Total Commands 30294, Total Responses 30286, Avg latency (ms) 1.74, Lantencies size 2,
20:42:23,163 INFO  [ClientStatsWriter] Client:202 - Commands sent 2050, Response received 2053, Total Commands 32344, Total Responses 32339, Avg latency (ms) 1.71, Lantencies size 2,
20:42:24,165 INFO  [ClientStatsWriter] Client:202 - Commands sent 1999, Response received 2001, Total Commands 34343, Total Responses 34340, Avg latency (ms) 1.79, Lantencies size 2,
20:42:25,166 INFO  [ClientStatsWriter] Client:202 - Commands sent 2037, Response received 2037, Total Commands 36380, Total Responses 36377, Avg latency (ms) 1.77, Lantencies size 2,
20:42:26,167 INFO  [ClientStatsWriter] Client:202 - Commands sent 2061, Response received 2059, Total Commands 38441, Total Responses 38436, Avg latency (ms) 2.33, Lantencies size 2,
20:42:27,168 INFO  [ClientStatsWriter] Client:202 - Commands sent 2068, Response received 2070, Total Commands 40509, Total Responses 40506, Avg latency (ms) 1.64, Lantencies size 2,
20:42:28,169 INFO  [ClientStatsWriter] Client:202 - Commands sent 2067, Response received 2062, Total Commands 42576, Total Responses 42568, Avg latency (ms) 1.71, Lantencies size 2,
