23:00:42,088 INFO  [main] RawABListener:48 - Initing a RawABListener...
23:00:42,096 INFO  [main] Node:101 - PID: 5757
23:00:42,254 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
23:00:42,257 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
23:00:42,258 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
23:00:42,273 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
23:00:42,276 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
23:00:42,277 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
23:00:42,282 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
23:00:42,284 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
23:00:42,292 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 15] (succsessor: 4 at /10.10.1.9:2000)
23:00:42,298 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 14, 15] (succsessor: 4 at /10.10.1.9:2000)
23:00:42,302 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
1671602442302, 0, 0
Reading from stdin
23:00:42,377 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 13, 14, 15] (succsessor: 4 at /10.10.1.9:2000)
23:00:42,385 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 4, 13, 14, 15] (succsessor: 2 at /10.10.1.3:2518)
23:00:42,407 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2970)
1671602443303, 0, 0
1671602444303, 0, 0
1671602445304, 0, 0
1671602446304, 0, 0
1671602447304, 0, 0
1671602448305, 17667, 17667
1671602449305, 24750, 42417
1671602450306, 22104, 64521
1671602451306, 17451, 81972
1671602452307, 17270, 99242
1671602453308, 16851, 116093
1671602454309, 17638, 133731
1671602455309, 17814, 151545
1671602456309, 16329, 167874
1671602457310, 17163, 185037
1671602458310, 20990, 206027
1671602459311, 23840, 229867
1671602460311, 23956, 253823
1671602461312, 29412, 283235
1671602462313, 29907, 313142
1671602463313, 26633, 339775
1671602464314, 26337, 366112
1671602465314, 26154, 392266
1671602466315, 21237, 413503
1671602467316, 25493, 438996
1671602468316, 24550, 463546
1671602469317, 20470, 484016
1671602470317, 21787, 505803
1671602471318, 21474, 527277
1671602472318, 20024, 547301
1671602473318, 23766, 571067
1671602474319, 25157, 596224
1671602475319, 23543, 619767
1671602476320, 26361, 646128
1671602477320, 19631, 665759
1671602478320, 0, 665759
1671602479321, 170, 665929
1671602480321, 0, 665929
1671602481321, 0, 665929
1671602482322, 0, 665929
1671602483322, 0, 665929
1671602484322, 0, 665929
1671602485323, 0, 665929
1671602486323, 0, 665929
1671602487323, 0, 665929
1671602488323, 0, 665929
23:01:28,631 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/acceptors
23:01:28,733 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/acceptors
23:01:28,733 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
23:01:28,734 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
23:01:28,734 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
