21:11:27,984 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
21:11:27,998 INFO  [main] Client:223 - Start performance testing with [8] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
21:11:28,007 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
21:11:29,012 INFO  [ClientStatsWriter] Client:202 - Commands sent 202, Response received 201, Total Commands 202, Total Responses 201, Avg latency (ms) 0.00, Lantencies size 0,
21:11:30,013 INFO  [ClientStatsWriter] Client:202 - Commands sent 256, Response received 256, Total Commands 458, Total Responses 457, Avg latency (ms) 0.00, Lantencies size 0,
21:11:31,014 INFO  [ClientStatsWriter] Client:202 - Commands sent 257, Response received 258, Total Commands 715, Total Responses 715, Avg latency (ms) 0.00, Lantencies size 0,
21:11:32,015 INFO  [ClientStatsWriter] Client:202 - Commands sent 248, Response received 248, Total Commands 963, Total Responses 963, Avg latency (ms) 0.00, Lantencies size 0,
21:11:33,021 INFO  [ClientStatsWriter] Client:202 - Commands sent 268, Response received 267, Total Commands 1231, Total Responses 1230, Avg latency (ms) 2.24, Lantencies size 1,
21:11:34,023 INFO  [ClientStatsWriter] Client:202 - Commands sent 240, Response received 241, Total Commands 1471, Total Responses 1471, Avg latency (ms) 0.00, Lantencies size 0,
21:11:35,024 INFO  [ClientStatsWriter] Client:202 - Commands sent 265, Response received 265, Total Commands 1736, Total Responses 1736, Avg latency (ms) 0.00, Lantencies size 0,
21:11:36,025 INFO  [ClientStatsWriter] Client:202 - Commands sent 252, Response received 251, Total Commands 1988, Total Responses 1987, Avg latency (ms) 0.00, Lantencies size 0,
21:11:37,026 INFO  [ClientStatsWriter] Client:202 - Commands sent 239, Response received 240, Total Commands 2227, Total Responses 2227, Avg latency (ms) 2.24, Lantencies size 1,
21:11:38,027 INFO  [ClientStatsWriter] Client:202 - Commands sent 259, Response received 259, Total Commands 2486, Total Responses 2486, Avg latency (ms) 0.00, Lantencies size 0,
21:11:39,028 INFO  [ClientStatsWriter] Client:202 - Commands sent 239, Response received 237, Total Commands 2725, Total Responses 2723, Avg latency (ms) 0.00, Lantencies size 0,
21:11:40,029 INFO  [ClientStatsWriter] Client:202 - Commands sent 245, Response received 246, Total Commands 2970, Total Responses 2969, Avg latency (ms) 0.00, Lantencies size 0,
21:11:41,030 INFO  [ClientStatsWriter] Client:202 - Commands sent 249, Response received 249, Total Commands 3219, Total Responses 3218, Avg latency (ms) 1.96, Lantencies size 1,
21:11:42,035 INFO  [ClientStatsWriter] Client:202 - Commands sent 249, Response received 248, Total Commands 3468, Total Responses 3466, Avg latency (ms) 0.00, Lantencies size 0,
21:11:43,037 INFO  [ClientStatsWriter] Client:202 - Commands sent 262, Response received 263, Total Commands 3730, Total Responses 3729, Avg latency (ms) 0.00, Lantencies size 0,
21:11:44,038 INFO  [ClientStatsWriter] Client:202 - Commands sent 268, Response received 267, Total Commands 3998, Total Responses 3996, Avg latency (ms) 0.00, Lantencies size 0,
21:11:45,039 INFO  [ClientStatsWriter] Client:202 - Commands sent 260, Response received 262, Total Commands 4258, Total Responses 4258, Avg latency (ms) 2.07, Lantencies size 1,
21:11:46,040 INFO  [ClientStatsWriter] Client:202 - Commands sent 259, Response received 257, Total Commands 4517, Total Responses 4515, Avg latency (ms) 0.00, Lantencies size 0,
21:11:47,041 INFO  [ClientStatsWriter] Client:202 - Commands sent 247, Response received 249, Total Commands 4764, Total Responses 4764, Avg latency (ms) 0.00, Lantencies size 0,
21:11:48,043 INFO  [ClientStatsWriter] Client:202 - Commands sent 260, Response received 260, Total Commands 5024, Total Responses 5024, Avg latency (ms) 2.06, Lantencies size 1,
21:11:49,044 INFO  [ClientStatsWriter] Client:202 - Commands sent 262, Response received 262, Total Commands 5286, Total Responses 5286, Avg latency (ms) 0.00, Lantencies size 0,
21:11:50,045 INFO  [ClientStatsWriter] Client:202 - Commands sent 253, Response received 252, Total Commands 5539, Total Responses 5538, Avg latency (ms) 0.00, Lantencies size 0,
21:11:51,046 INFO  [ClientStatsWriter] Client:202 - Commands sent 257, Response received 258, Total Commands 5796, Total Responses 5796, Avg latency (ms) 0.00, Lantencies size 0,
