21:02:07,640 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
21:02:07,655 INFO  [main] Client:223 - Start performance testing with [2] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
21:02:07,666 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
21:02:08,669 INFO  [ClientStatsWriter] Client:202 - Commands sent 55, Response received 55, Total Commands 55, Total Responses 55, Avg latency (ms) 0.00, Lantencies size 0,
21:02:09,670 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 113, Total Responses 113, Avg latency (ms) 0.00, Lantencies size 0,
21:02:10,671 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 171, Total Responses 171, Avg latency (ms) 0.00, Lantencies size 0,
21:02:11,672 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 235, Total Responses 235, Avg latency (ms) 0.00, Lantencies size 0,
21:02:12,677 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 295, Total Responses 295, Avg latency (ms) 0.00, Lantencies size 0,
21:02:13,678 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 357, Total Responses 357, Avg latency (ms) 0.00, Lantencies size 0,
21:02:14,680 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 420, Total Responses 420, Avg latency (ms) 0.00, Lantencies size 0,
21:02:15,681 INFO  [ClientStatsWriter] Client:202 - Commands sent 66, Response received 66, Total Commands 486, Total Responses 486, Avg latency (ms) 0.00, Lantencies size 0,
21:02:16,682 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 550, Total Responses 550, Avg latency (ms) 0.00, Lantencies size 0,
21:02:17,683 INFO  [ClientStatsWriter] Client:202 - Commands sent 56, Response received 56, Total Commands 606, Total Responses 606, Avg latency (ms) 0.00, Lantencies size 0,
21:02:18,684 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 60, Total Commands 667, Total Responses 666, Avg latency (ms) 0.00, Lantencies size 0,
21:02:19,685 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 66, Total Commands 732, Total Responses 732, Avg latency (ms) 0.00, Lantencies size 0,
21:02:20,686 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 794, Total Responses 794, Avg latency (ms) 0.00, Lantencies size 0,
21:02:21,691 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 63, Total Commands 858, Total Responses 857, Avg latency (ms) 0.00, Lantencies size 0,
21:02:22,692 INFO  [ClientStatsWriter] Client:202 - Commands sent 71, Response received 72, Total Commands 929, Total Responses 929, Avg latency (ms) 0.00, Lantencies size 0,
21:02:23,693 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 991, Total Responses 991, Avg latency (ms) 0.00, Lantencies size 0,
21:02:24,696 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 1058, Total Responses 1058, Avg latency (ms) 2.05, Lantencies size 1,
21:02:25,697 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 1116, Total Responses 1116, Avg latency (ms) 0.00, Lantencies size 0,
21:02:26,698 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 1179, Total Responses 1179, Avg latency (ms) 0.00, Lantencies size 0,
21:02:27,699 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 1243, Total Responses 1243, Avg latency (ms) 0.00, Lantencies size 0,
21:02:28,700 INFO  [ClientStatsWriter] Client:202 - Commands sent 70, Response received 70, Total Commands 1313, Total Responses 1313, Avg latency (ms) 0.00, Lantencies size 0,
21:02:29,701 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 1372, Total Responses 1372, Avg latency (ms) 0.00, Lantencies size 0,
21:02:30,702 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 1437, Total Responses 1437, Avg latency (ms) 0.00, Lantencies size 0,
21:02:31,703 INFO  [ClientStatsWriter] Client:202 - Commands sent 70, Response received 70, Total Commands 1507, Total Responses 1507, Avg latency (ms) 0.00, Lantencies size 0,
21:02:32,704 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 1567, Total Responses 1567, Avg latency (ms) 0.00, Lantencies size 0,
21:02:33,705 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 59, Total Commands 1627, Total Responses 1626, Avg latency (ms) 0.00, Lantencies size 0,
21:02:34,706 INFO  [ClientStatsWriter] Client:202 - Commands sent 68, Response received 69, Total Commands 1695, Total Responses 1695, Avg latency (ms) 0.00, Lantencies size 0,
21:02:35,707 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 66, Total Commands 1762, Total Responses 1761, Avg latency (ms) 0.00, Lantencies size 0,
21:02:36,708 INFO  [ClientStatsWriter] Client:202 - Commands sent 56, Response received 56, Total Commands 1818, Total Responses 1817, Avg latency (ms) 0.00, Lantencies size 0,
21:02:37,041 INFO  [Command Sender 1] Client:268 - Thread [Command Sender 1] terminated.
21:02:37,088 INFO  [Command Sender 0] Client:268 - Thread [Command Sender 0] terminated.
21:02:38,110 INFO  [ShutdownHook] Client:571 - Raw path created [ /tmp/2312ef74-4488-4d47-955d-7c8d6b59e2ae]
