07:27:15,661 INFO  [main] RawABListener:48 - Initing a RawABListener...
07:27:15,669 INFO  [main] Node:101 - PID: 30779
07:27:15,842 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
07:27:15,845 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
07:27:15,845 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
07:27:15,861 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
07:27:15,861 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
07:27:15,862 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
07:27:15,871 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
07:27:15,873 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
07:27:15,877 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13] (succsessor: 2 at /10.10.1.3:2274)
07:27:15,884 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13] (succsessor: 1 at /10.10.1.2:2754)
07:27:15,894 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1671632835894, 0, 0
Reading from stdin
07:27:15,946 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 15] (succsessor: 15 at /10.10.1.6:2112)
07:27:16,058 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2057)
1671632836895, 0, 0
1671632837895, 0, 0
1671632838895, 0, 0
1671632839896, 0, 0
1671632840896, 0, 0
1671632841897, 3012, 3012
1671632842897, 5207, 8219
1671632843898, 5898, 14117
1671632844898, 4621, 18738
1671632845900, 7197, 25935
1671632846900, 7138, 33073
1671632847900, 6701, 39774
1671632848901, 6668, 46442
1671632849901, 5590, 52032
1671632850901, 6133, 58165
1671632851902, 6676, 64841
1671632852902, 6472, 71313
1671632853903, 6776, 78089
1671632854904, 8673, 86762
1671632855904, 9211, 95973
1671632856904, 8479, 104452
1671632857905, 6841, 111293
1671632858905, 4983, 116276
1671632859905, 5370, 121646
1671632860906, 6245, 127891
1671632861909, 6922, 134813
1671632862910, 6105, 140918
1671632863910, 7968, 148886
1671632864911, 7681, 156567
1671632865911, 4613, 161180
1671632866911, 6012, 167192
1671632867912, 7402, 174594
1671632868912, 6307, 180901
1671632869912, 4725, 185626
1671632870913, 6093, 191719
1671632871913, 1126, 192845
1671632872914, 49, 192894
1671632873914, 0, 192894
1671632874914, 0, 192894
1671632875915, 0, 192894
1671632876915, 0, 192894
1671632877915, 0, 192894
1671632878915, 0, 192894
1671632879916, 0, 192894
1671632880916, 0, 192894
1671632881916, 0, 192894
1671632882916, 0, 192894
1671632883917, 0, 192894
1671632884917, 0, 192894
1671632885917, 0, 192894
1671632886917, 0, 192894
1671632887918, 0, 192894
1671632888918, 0, 192894
1671632889918, 0, 192894
1671632890918, 0, 192894
1671632891919, 0, 192894
1671632892919, 0, 192894
1671632893919, 0, 192894
1671632894919, 0, 192894
1671632895920, 0, 192894
1671632896920, 0, 192894
1671632897920, 0, 192894
1671632898920, 0, 192894
1671632899921, 0, 192894
1671632900921, 0, 192894
1671632901921, 0, 192894
1671632902922, 0, 192894
1671632903922, 0, 192894
1671632904922, 0, 192894
1671632905922, 0, 192894
1671632906923, 0, 192894
1671632907923, 0, 192894
1671632908923, 0, 192894
1671632909923, 0, 192894
1671632910924, 0, 192894
1671632911924, 0, 192894
1671632912924, 0, 192894
1671632913924, 0, 192894
1671632914924, 0, 192894
1671632915925, 0, 192894
1671632916925, 0, 192894
1671632917925, 0, 192894
1671632918926, 0, 192894
1671632919926, 0, 192894
1671632920927, 0, 192894
1671632921927, 0, 192894
1671632922927, 0, 192894
1671632923927, 0, 192894
1671632924928, 0, 192894
1671632925928, 0, 192894
1671632926928, 0, 192894
1671632927928, 0, 192894
1671632928929, 0, 192894
1671632929929, 0, 192894
1671632930929, 0, 192894
1671632931929, 0, 192894
1671632932930, 0, 192894
1671632933930, 0, 192894
1671632934930, 0, 192894
1671632935930, 0, 192894
1671632936931, 0, 192894
1671632937931, 0, 192894
1671632938931, 0, 192894
1671632939931, 0, 192894
1671632940932, 0, 192894
1671632941932, 0, 192894
1671632942932, 0, 192894
1671632943932, 0, 192894
1671632944933, 0, 192894
1671632945933, 0, 192894
1671632946933, 0, 192894
1671632947933, 0, 192894
1671632948934, 0, 192894
1671632949934, 0, 192894
1671632950934, 0, 192894
