20:31:58,889 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:31:58,896 INFO  [main] Node:101 - PID: 11278
20:31:59,098 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:31:59,101 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:31:59,102 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:31:59,118 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:31:59,119 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:31:59,119 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:31:59,124 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:31:59,126 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:31:59,132 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [15] (succsessor: 15 at /10.10.1.14:2376)
20:31:59,143 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 15] (succsessor: 2 at /10.10.1.3:2318)
20:31:59,145 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1671507119146, 0, 0
Reading from stdin
20:31:59,154 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 15] (succsessor: 1 at /10.10.1.2:2116)
20:31:59,254 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 15] (succsessor: 1 at /10.10.1.2:2116)
20:31:59,328 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2116)
1671507120146, 0, 0
1671507121147, 0, 0
1671507122147, 0, 0
1671507123147, 0, 0
1671507124148, 0, 0
1671507125149, 4339, 4339
1671507126149, 5097, 9436
1671507127150, 6711, 16147
1671507128151, 6078, 22225
1671507129151, 6990, 29215
1671507130152, 4779, 33994
1671507131152, 5808, 39802
1671507132153, 5703, 45505
1671507133153, 7593, 53098
1671507134154, 6723, 59821
1671507135154, 7320, 67141
1671507136155, 5143, 72284
1671507137155, 6161, 78445
1671507138155, 6524, 84969
1671507139156, 6501, 91470
1671507140156, 7307, 98777
1671507141156, 7059, 105836
1671507142157, 6626, 112462
1671507143158, 8258, 120720
1671507144159, 8635, 129355
1671507145159, 8105, 137460
1671507146159, 8281, 145741
1671507147160, 5909, 151650
1671507148160, 5949, 157599
1671507149160, 7157, 164756
1671507150161, 7271, 172027
1671507151161, 7623, 179650
1671507152162, 6716, 186366
1671507153162, 8535, 194901
1671507154162, 8115, 203016
1671507155163, 2097, 205113
1671507156163, 70, 205183
1671507157163, 57, 205240
1671507158164, 74, 205314
1671507159164, 64, 205378
1671507160164, 0, 205378
1671507161164, 0, 205378
1671507162165, 0, 205378
1671507163165, 0, 205378
1671507164165, 0, 205378
1671507165165, 0, 205378
1671507166166, 0, 205378
1671507167166, 0, 205378
1671507168166, 0, 205378
1671507169166, 0, 205378
1671507170167, 0, 205378
1671507171167, 0, 205378
1671507172167, 0, 205378
1671507173167, 0, 205378
1671507174168, 0, 205378
1671507175168, 0, 205378
1671507176168, 0, 205378
1671507177169, 0, 205378
1671507178169, 0, 205378
1671507179169, 0, 205378
1671507180169, 0, 205378
1671507181170, 0, 205378
1671507182170, 0, 205378
1671507183170, 0, 205378
1671507184170, 0, 205378
1671507185171, 0, 205378
1671507186171, 0, 205378
1671507187171, 0, 205378
1671507188171, 0, 205378
1671507189172, 0, 205378
1671507190172, 0, 205378
1671507191172, 0, 205378
1671507192172, 0, 205378
1671507193173, 0, 205378
1671507194173, 0, 205378
1671507195173, 0, 205378
1671507196173, 0, 205378
1671507197174, 0, 205378
1671507198174, 0, 205378
1671507199174, 0, 205378
1671507200174, 0, 205378
1671507201175, 0, 205378
1671507202175, 0, 205378
1671507203175, 0, 205378
1671507204175, 0, 205378
1671507205176, 0, 205378
1671507206176, 0, 205378
1671507207176, 0, 205378
1671507208176, 0, 205378
1671507209177, 0, 205378
1671507210177, 0, 205378
1671507211177, 0, 205378
1671507212177, 0, 205378
1671507213178, 0, 205378
1671507214178, 0, 205378
1671507215178, 0, 205378
1671507216178, 0, 205378
1671507217179, 0, 205378
1671507218179, 0, 205378
1671507219179, 0, 205378
1671507220179, 0, 205378
1671507221179, 0, 205378
1671507222180, 0, 205378
1671507223180, 0, 205378
1671507224180, 0, 205378
1671507225180, 0, 205378
1671507226181, 0, 205378
1671507227181, 0, 205378
1671507228181, 0, 205378
1671507229181, 0, 205378
1671507230182, 0, 205378
1671507231182, 0, 205378
1671507232182, 0, 205378
1671507233182, 0, 205378
1671507234183, 0, 205378
1671507235183, 0, 205378
1671507236183, 0, 205378
1671507237183, 0, 205378
1671507238183, 0, 205378
1671507239184, 0, 205378
1671507240184, 0, 205378
1671507241184, 0, 205378
1671507242184, 0, 205378
1671507243184, 0, 205378
1671507244185, 0, 205378
1671507245185, 0, 205378
1671507246185, 0, 205378
1671507247185, 0, 205378
1671507248186, 0, 205378
1671507249186, 0, 205378
1671507250186, 0, 205378
1671507251186, 0, 205378
1671507252186, 0, 205378
1671507253187, 0, 205378
1671507254187, 0, 205378
1671507255187, 0, 205378
1671507256187, 0, 205378
1671507257187, 0, 205378
1671507258188, 0, 205378
1671507259188, 0, 205378
1671507260188, 0, 205378
1671507261188, 0, 205378
1671507262189, 0, 205378
1671507263189, 0, 205378
1671507264189, 0, 205378
1671507265189, 0, 205378
1671507266189, 0, 205378
1671507267190, 0, 205378
1671507268190, 0, 205378
1671507269190, 0, 205378
1671507270190, 0, 205378
1671507271190, 0, 205378
1671507272191, 0, 205378
1671507273191, 0, 205378
1671507274191, 0, 205378
1671507275191, 0, 205378
1671507276191, 0, 205378
1671507277192, 0, 205378
1671507278192, 0, 205378
1671507279192, 0, 205378
1671507280192, 0, 205378
1671507281192, 0, 205378
1671507282193, 0, 205378
1671507283193, 0, 205378
1671507284193, 0, 205378
1671507285193, 0, 205378
1671507286193, 0, 205378
1671507287194, 0, 205378
1671507288194, 0, 205378
1671507289194, 0, 205378
1671507290194, 0, 205378
1671507291194, 0, 205378
1671507292195, 0, 205378
1671507293195, 0, 205378
1671507294195, 0, 205378
1671507295195, 0, 205378
1671507296195, 0, 205378
1671507297196, 0, 205378
1671507298196, 0, 205378
1671507299196, 0, 205378
1671507300196, 0, 205378
1671507301196, 0, 205378
1671507302197, 0, 205378
1671507303197, 0, 205378
1671507304197, 0, 205378
1671507305197, 0, 205378
1671507306197, 0, 205378
1671507307197, 0, 205378
