21:25:41,182 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
21:25:41,196 INFO  [main] Client:223 - Start performance testing with [64] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
21:25:41,208 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
21:25:42,215 INFO  [ClientStatsWriter] Client:202 - Commands sent 1644, Response received 1636, Total Commands 1644, Total Responses 1636, Avg latency (ms) 3.29, Lantencies size 1,
21:25:43,216 INFO  [ClientStatsWriter] Client:202 - Commands sent 1953, Response received 1950, Total Commands 3597, Total Responses 3586, Avg latency (ms) 3.53, Lantencies size 2,
21:25:44,217 INFO  [ClientStatsWriter] Client:202 - Commands sent 1917, Response received 1918, Total Commands 5514, Total Responses 5504, Avg latency (ms) 2.75, Lantencies size 2,
21:25:45,219 INFO  [ClientStatsWriter] Client:202 - Commands sent 1953, Response received 1959, Total Commands 7467, Total Responses 7463, Avg latency (ms) 2.67, Lantencies size 2,
21:25:46,224 INFO  [ClientStatsWriter] Client:202 - Commands sent 1963, Response received 1966, Total Commands 9430, Total Responses 9429, Avg latency (ms) 3.68, Lantencies size 2,
21:25:47,225 INFO  [ClientStatsWriter] Client:202 - Commands sent 1985, Response received 1981, Total Commands 11415, Total Responses 11410, Avg latency (ms) 2.11, Lantencies size 2,
21:25:48,227 INFO  [ClientStatsWriter] Client:202 - Commands sent 1921, Response received 1919, Total Commands 13336, Total Responses 13329, Avg latency (ms) 5.16, Lantencies size 2,
21:25:49,229 INFO  [ClientStatsWriter] Client:202 - Commands sent 1939, Response received 1940, Total Commands 15275, Total Responses 15269, Avg latency (ms) 4.13, Lantencies size 2,
21:25:50,230 INFO  [ClientStatsWriter] Client:202 - Commands sent 1956, Response received 1960, Total Commands 17231, Total Responses 17229, Avg latency (ms) 3.49, Lantencies size 2,
21:25:51,231 INFO  [ClientStatsWriter] Client:202 - Commands sent 1983, Response received 1981, Total Commands 19214, Total Responses 19210, Avg latency (ms) 2.42, Lantencies size 2,
21:25:52,233 INFO  [ClientStatsWriter] Client:202 - Commands sent 1970, Response received 1969, Total Commands 21184, Total Responses 21179, Avg latency (ms) 2.86, Lantencies size 2,
21:25:53,234 INFO  [ClientStatsWriter] Client:202 - Commands sent 1975, Response received 1972, Total Commands 23159, Total Responses 23151, Avg latency (ms) 3.58, Lantencies size 2,
21:25:54,235 INFO  [ClientStatsWriter] Client:202 - Commands sent 1965, Response received 1966, Total Commands 25124, Total Responses 25117, Avg latency (ms) 3.72, Lantencies size 2,
21:25:55,240 INFO  [ClientStatsWriter] Client:202 - Commands sent 1941, Response received 1945, Total Commands 27065, Total Responses 27062, Avg latency (ms) 3.05, Lantencies size 2,
21:25:56,242 INFO  [ClientStatsWriter] Client:202 - Commands sent 1971, Response received 1969, Total Commands 29036, Total Responses 29031, Avg latency (ms) 2.11, Lantencies size 2,
21:25:57,243 INFO  [ClientStatsWriter] Client:202 - Commands sent 1931, Response received 1925, Total Commands 30967, Total Responses 30956, Avg latency (ms) 2.70, Lantencies size 1,
21:25:58,244 INFO  [ClientStatsWriter] Client:202 - Commands sent 1965, Response received 1972, Total Commands 32932, Total Responses 32928, Avg latency (ms) 5.18, Lantencies size 2,
21:25:59,245 INFO  [ClientStatsWriter] Client:202 - Commands sent 1977, Response received 1978, Total Commands 34909, Total Responses 34906, Avg latency (ms) 3.56, Lantencies size 2,
21:26:00,247 INFO  [ClientStatsWriter] Client:202 - Commands sent 1918, Response received 1916, Total Commands 36827, Total Responses 36822, Avg latency (ms) 2.62, Lantencies size 2,
21:26:01,249 INFO  [ClientStatsWriter] Client:202 - Commands sent 1928, Response received 1922, Total Commands 38755, Total Responses 38744, Avg latency (ms) 3.40, Lantencies size 2,
21:26:02,250 INFO  [ClientStatsWriter] Client:202 - Commands sent 1945, Response received 1953, Total Commands 40700, Total Responses 40697, Avg latency (ms) 3.44, Lantencies size 2,
21:26:03,251 INFO  [ClientStatsWriter] Client:202 - Commands sent 1948, Response received 1947, Total Commands 42648, Total Responses 42644, Avg latency (ms) 3.92, Lantencies size 2,
21:26:04,252 INFO  [ClientStatsWriter] Client:202 - Commands sent 1973, Response received 1971, Total Commands 44621, Total Responses 44615, Avg latency (ms) 4.58, Lantencies size 2,
21:26:05,253 INFO  [ClientStatsWriter] Client:202 - Commands sent 1942, Response received 1947, Total Commands 46563, Total Responses 46562, Avg latency (ms) 2.88, Lantencies size 2,
21:26:06,254 INFO  [ClientStatsWriter] Client:202 - Commands sent 1995, Response received 1985, Total Commands 48558, Total Responses 48547, Avg latency (ms) 2.76, Lantencies size 2,
21:26:07,255 INFO  [ClientStatsWriter] Client:202 - Commands sent 1918, Response received 1923, Total Commands 50476, Total Responses 50470, Avg latency (ms) 2.39, Lantencies size 2,
21:26:08,256 INFO  [ClientStatsWriter] Client:202 - Commands sent 1956, Response received 1960, Total Commands 52432, Total Responses 52430, Avg latency (ms) 2.69, Lantencies size 2,
21:26:09,258 INFO  [ClientStatsWriter] Client:202 - Commands sent 1936, Response received 1934, Total Commands 54368, Total Responses 54364, Avg latency (ms) 3.50, Lantencies size 2,
21:26:10,259 INFO  [ClientStatsWriter] Client:202 - Commands sent 1946, Response received 1947, Total Commands 56314, Total Responses 56311, Avg latency (ms) 3.13, Lantencies size 2,
21:26:11,024 INFO  [Command Sender 19] Client:268 - Thread [Command Sender 19] terminated.
21:26:11,024 INFO  [Command Sender 41] Client:268 - Thread [Command Sender 41] terminated.
21:26:11,024 INFO  [Command Sender 2] Client:268 - Thread [Command Sender 2] terminated.
21:26:11,024 INFO  [Command Sender 29] Client:268 - Thread [Command Sender 29] terminated.
21:26:11,031 INFO  [Command Sender 51] Client:268 - Thread [Command Sender 51] terminated.
21:26:11,032 INFO  [Command Sender 20] Client:268 - Thread [Command Sender 20] terminated.
21:26:11,034 INFO  [Command Sender 17] Client:268 - Thread [Command Sender 17] terminated.
21:26:11,034 INFO  [Command Sender 28] Client:268 - Thread [Command Sender 28] terminated.
21:26:11,035 INFO  [Command Sender 18] Client:268 - Thread [Command Sender 18] terminated.
21:26:11,036 INFO  [Command Sender 47] Client:268 - Thread [Command Sender 47] terminated.
21:26:11,036 INFO  [Command Sender 48] Client:268 - Thread [Command Sender 48] terminated.
21:26:11,038 INFO  [Command Sender 57] Client:268 - Thread [Command Sender 57] terminated.
21:26:11,038 INFO  [Command Sender 46] Client:268 - Thread [Command Sender 46] terminated.
21:26:11,039 INFO  [Command Sender 30] Client:268 - Thread [Command Sender 30] terminated.
21:26:11,040 INFO  [Command Sender 24] Client:268 - Thread [Command Sender 24] terminated.
21:26:11,040 INFO  [Command Sender 45] Client:268 - Thread [Command Sender 45] terminated.
21:26:11,041 INFO  [Command Sender 52] Client:268 - Thread [Command Sender 52] terminated.
21:26:11,042 INFO  [Command Sender 43] Client:268 - Thread [Command Sender 43] terminated.
21:26:11,042 INFO  [Command Sender 22] Client:268 - Thread [Command Sender 22] terminated.
21:26:11,043 INFO  [Command Sender 38] Client:268 - Thread [Command Sender 38] terminated.
21:26:11,044 INFO  [Command Sender 16] Client:268 - Thread [Command Sender 16] terminated.
21:26:11,044 INFO  [Command Sender 34] Client:268 - Thread [Command Sender 34] terminated.
21:26:11,045 INFO  [Command Sender 6] Client:268 - Thread [Command Sender 6] terminated.
21:26:11,044 INFO  [Command Sender 55] Client:268 - Thread [Command Sender 55] terminated.
21:26:11,045 INFO  [Command Sender 60] Client:268 - Thread [Command Sender 60] terminated.
21:26:11,047 INFO  [Command Sender 40] Client:268 - Thread [Command Sender 40] terminated.
21:26:11,047 INFO  [Command Sender 11] Client:268 - Thread [Command Sender 11] terminated.
21:26:11,047 INFO  [Command Sender 37] Client:268 - Thread [Command Sender 37] terminated.
21:26:11,047 INFO  [Command Sender 15] Client:268 - Thread [Command Sender 15] terminated.
21:26:11,048 INFO  [Command Sender 3] Client:268 - Thread [Command Sender 3] terminated.
21:26:11,049 INFO  [Command Sender 5] Client:268 - Thread [Command Sender 5] terminated.
