__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
21:33:14,539 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.322s. Listening on: http://0.0.0.0:8888
21:33:14,545 INFO  quarkus:91 [main] Profile prod activated. 
21:33:14,545 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
21:33:18,410 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
21:33:18,459 INFO  LoggerController:107 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
21:33:18,459 INFO  LoggerController:115 [executor-thread-1] Calling logger in url id [0] with id [4]
21:33:18,519 INFO  LoggerController:89 [executor-thread-2] Registering replica logger
21:33:18,841 INFO  ReplicaLoggerClient:78 [executor-thread-2] Path created [/media/disk1/a174e82b-1357-4ed1-af6b-4d8c05faae97]
1672115598842, 0, 0
21:33:18,898 INFO  LoggerController:107 [executor-thread-1] Registering config [LoggerConfig [id=5, ring=2, replicas=1, pathPrefix=/media/disk1/]]
21:33:18,899 INFO  LoggerController:115 [executor-thread-1] Calling logger in url id [0] with id [5]
21:33:18,904 INFO  LoggerController:89 [executor-thread-2] Registering replica logger
21:33:18,995 INFO  ReplicaLoggerClient:78 [executor-thread-2] Path created [/media/disk1/21b81e98-cf30-4226-b7e9-dc9054fe63c4]
1672115599843, 0, 0
1672115600843, 0, 0
1672115601843, 0, 0
1672115602844, 0, 0
1672115603844, 0, 0
1672115604844, 278, 278
1672115605845, 964, 1242
1672115606845, 989, 2231
1672115607845, 1001, 3232
1672115608846, 999, 4231
1672115609846, 1009, 5240
1672115610847, 996, 6236
1672115611847, 1017, 7253
1672115612848, 1015, 8268
1672115613848, 989, 9257
1672115614848, 986, 10243
1672115615849, 1013, 11256
1672115616850, 1031, 12287
1672115617855, 1002, 13289
1672115618855, 994, 14283
1672115619855, 1036, 15319
1672115620856, 1026, 16345
1672115621856, 1016, 17361
1672115622856, 1009, 18370
1672115623857, 1012, 19382
1672115624857, 988, 20370
1672115625857, 1013, 21383
1672115626858, 1005, 22388
1672115627858, 994, 23382
1672115628858, 992, 24374
1672115629859, 1001, 25375
1672115630859, 1013, 26388
1672115631859, 1004, 27392
1672115632860, 1043, 28435
1672115633860, 1000, 29435
1672115634861, 184, 29619
21:33:55,527 INFO  ReplicaLoggerClient:139 [executor-thread-1] Saving latencies
21:33:55,534 INFO  ReplicaLoggerClient:151 [executor-thread-1] File save
21:33:55,534 INFO  ReplicaLoggerClient:139 [executor-thread-1] Saving latencies
21:33:55,535 INFO  ReplicaLoggerClient:151 [executor-thread-1] File save
1672115635862, 0, 29619
