21:38:38,339 INFO  [main] RawABListener:48 - Initing a RawABListener...
21:38:38,346 INFO  [main] Node:101 - PID: 26980
21:38:38,521 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
21:38:38,525 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
21:38:38,525 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
21:38:38,543 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
21:38:38,544 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
21:38:38,547 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
21:38:38,552 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
21:38:38,554 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
21:38:38,561 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [4, 14] (succsessor: 4 at /10.10.1.9:2091)
21:38:38,566 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 14] (succsessor: 1 at /10.10.1.2:2436)
21:38:38,572 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1672115918572, 0, 0
Reading from stdin
21:38:38,610 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 14, 15] (succsessor: 15 at /10.10.1.6:2632)
21:38:38,720 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2632)
1672115919573, 0, 0
1672115920573, 0, 0
1672115921573, 0, 0
1672115922574, 0, 0
1672115923574, 0, 0
1672115924574, 7358, 7358
1672115925575, 7887, 15245
1672115926575, 7890, 23135
1672115927576, 7874, 31009
1672115928576, 7991, 39000
1672115929577, 7867, 46867
1672115930578, 8006, 54873
1672115931578, 8005, 62878
1672115932578, 7913, 70791
1672115933579, 7888, 78679
1672115934579, 7939, 86618
1672115935579, 7892, 94510
1672115936580, 7909, 102419
1672115937581, 7863, 110282
1672115938581, 7972, 118254
1672115939581, 7971, 126225
1672115940582, 8005, 134230
1672115941582, 7940, 142170
1672115942582, 7863, 150033
1672115943583, 7784, 157817
1672115944584, 7969, 165786
1672115945584, 7885, 173671
1672115946584, 7996, 181667
1672115947585, 7688, 189355
1672115948585, 7978, 197333
1672115949585, 7934, 205267
1672115950586, 7923, 213190
1672115951586, 7928, 221118
1672115952586, 7923, 229041
1672115953587, 3621, 232662
21:39:14,323 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:39:14,422 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
21:39:14,423 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
