21:35:58,028 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
21:35:58,040 INFO  [main] Client:224 - Start performance testing with [64] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
21:35:58,048 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
21:35:59,055 INFO  [ClientStatsWriter] Client:203 - Commands sent 1658, Response received 1650, Total Commands 1658, Total Responses 1650, Avg latency (ms) 2.50, Lantencies size 1,
21:36:00,056 INFO  [ClientStatsWriter] Client:203 - Commands sent 2002, Response received 2008, Total Commands 3660, Total Responses 3658, Avg latency (ms) 2.24, Lantencies size 2,
21:36:01,057 INFO  [ClientStatsWriter] Client:203 - Commands sent 1958, Response received 1955, Total Commands 5618, Total Responses 5613, Avg latency (ms) 2.44, Lantencies size 2,
21:36:02,058 INFO  [ClientStatsWriter] Client:203 - Commands sent 1974, Response received 1975, Total Commands 7592, Total Responses 7588, Avg latency (ms) 2.21, Lantencies size 2,
21:36:03,064 INFO  [ClientStatsWriter] Client:203 - Commands sent 2011, Response received 2008, Total Commands 9603, Total Responses 9596, Avg latency (ms) 2.54, Lantencies size 2,
21:36:04,065 INFO  [ClientStatsWriter] Client:203 - Commands sent 2009, Response received 2010, Total Commands 11612, Total Responses 11606, Avg latency (ms) 2.67, Lantencies size 2,
21:36:05,066 INFO  [ClientStatsWriter] Client:203 - Commands sent 2005, Response received 2006, Total Commands 13617, Total Responses 13612, Avg latency (ms) 2.58, Lantencies size 2,
21:36:06,068 INFO  [ClientStatsWriter] Client:203 - Commands sent 1995, Response received 1995, Total Commands 15612, Total Responses 15607, Avg latency (ms) 3.04, Lantencies size 2,
21:36:07,070 INFO  [ClientStatsWriter] Client:203 - Commands sent 2009, Response received 2006, Total Commands 17621, Total Responses 17613, Avg latency (ms) 2.50, Lantencies size 2,
21:36:08,071 INFO  [ClientStatsWriter] Client:203 - Commands sent 1954, Response received 1961, Total Commands 19575, Total Responses 19574, Avg latency (ms) 1.78, Lantencies size 2,
21:36:09,073 INFO  [ClientStatsWriter] Client:203 - Commands sent 1998, Response received 1996, Total Commands 21573, Total Responses 21570, Avg latency (ms) 2.03, Lantencies size 2,
