20:00:43,332 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:00:43,342 INFO  [main] Node:101 - PID: 51703
20:00:43,571 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:00:43,576 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:00:43,577 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:00:43,601 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:00:43,601 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:00:43,602 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:00:43,609 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:00:43,612 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:00:43,615 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13] (succsessor: 13 at /10.10.1.5:2192)
20:00:43,653 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13] (succsessor: 2 at /10.10.1.2:2222)
20:00:43,729 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13] (succsessor: 1 at /10.10.1.3:2165)
20:00:43,799 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 14 at /10.10.1.6:2624)
20:00:45,457 INFO  [main] Replica:172 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1681610445459, 0, 0
Reading from stdin
1681610446460, 0, 0
1681610447461, 0, 0
1681610448461, 0, 0
1681610449462, 3199, 3199
1681610450463, 3876, 7075
1681610451464, 3864, 10939
1681610452465, 3859, 14798
1681610453466, 3927, 18725
1681610454466, 3847, 22572
1681610455467, 3904, 26476
1681610456468, 3894, 30370
1681610457469, 3914, 34284
1681610458469, 3860, 38144
1681610459470, 3873, 42017
1681610460470, 3874, 45891
1681610461471, 3911, 49802
1681610462472, 3745, 53547
1681610463472, 3964, 57511
1681610464473, 3895, 61406
1681610465473, 3914, 65320
1681610466475, 3778, 69098
1681610467476, 3926, 73024
1681610468477, 3898, 76922
1681610469477, 3892, 80814
1681610470478, 3918, 84732
1681610471479, 3986, 88718
1681610472479, 3906, 92624
1681610473480, 3869, 96493
1681610474480, 3462, 99955
1681610475481, 3943, 103898
1681610476481, 3963, 107861
1681610477482, 3879, 111740
1681610478483, 2190, 113930
1681610479483, 0, 113930
20:01:19,540 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
20:01:19,639 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:01:19,640 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
