00:35:08,930 INFO  [main] RawABListener:48 - Initing a RawABListener...
00:35:08,938 INFO  [main] Node:101 - PID: 10222
00:35:09,104 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
00:35:09,108 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
00:35:09,109 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
00:35:09,125 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
00:35:09,125 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
00:35:09,126 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
00:35:09,130 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: enabled
00:35:09,132 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
00:35:09,141 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14] (succsessor: 2 at /10.10.1.3:2775)
00:35:09,146 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 14] (succsessor: 1 at /10.10.1.2:2155)
00:35:09,150 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1671608109150, 0, 0
Reading from stdin
00:35:09,162 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 1 at /10.10.1.2:2155)
00:35:09,169 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2657)
1671608110151, 0, 0
1671608111151, 0, 0
1671608112152, 0, 0
1671608113152, 0, 0
1671608114152, 0, 0
1671608115153, 10347, 10347
1671608116153, 12603, 22950
1671608117154, 11963, 34913
1671608118154, 12346, 47259
1671608119155, 15270, 62529
1671608120156, 17343, 79872
1671608121156, 14645, 94517
1671608122156, 12639, 107156
1671608123157, 11059, 118215
1671608124158, 15476, 133691
1671608125159, 16280, 149971
1671608126159, 16170, 166141
1671608127159, 16044, 182185
1671608128160, 15773, 197958
1671608129160, 16878, 214836
1671608130160, 10411, 225247
1671608131161, 13025, 238272
1671608132163, 15448, 253720
1671608134597, 14345, 268065
1671608135597, 12754, 280819
1671608136598, 16454, 297273
1671608137598, 9810, 307083
1671608139225, 10300, 317383
1671608140225, 13768, 331151
1671608141225, 13751, 344902
1671608142225, 13714, 358616
1671608144170, 13940, 372556
1671608145171, 13414, 385970
1671608146172, 0, 385970
1671608147172, 0, 385970
1671608148172, 0, 385970
1671608149175, 0, 385970
1671608150175, 0, 385970
1671608151175, 0, 385970
1671608152175, 0, 385970
1671608153176, 0, 385970
1671608154176, 0, 385970
1671608155176, 0, 385970
1671608156176, 0, 385970
1671608157177, 0, 385970
1671608158177, 0, 385970
1671608159177, 0, 385970
1671608160177, 0, 385970
1671608161178, 0, 385970
1671608162178, 0, 385970
1671608163178, 0, 385970
1671608164178, 0, 385970
1671608165178, 0, 385970
1671608166179, 0, 385970
1671608167179, 0, 385970
1671608168179, 0, 385970
1671608169179, 0, 385970
1671608170180, 0, 385970
1671608171180, 0, 385970
1671608172180, 0, 385970
1671608173180, 0, 385970
1671608174181, 0, 385970
1671608175181, 0, 385970
1671608176181, 0, 385970
1671608177181, 0, 385970
1671608178182, 0, 385970
1671608179182, 0, 385970
1671608180182, 0, 385970
1671608181182, 0, 385970
1671608182183, 0, 385970
1671608183183, 0, 385970
1671608184183, 0, 385970
1671608185183, 0, 385970
1671608186184, 0, 385970
1671608187184, 0, 385970
1671608188184, 0, 385970
1671608189184, 0, 385970
1671608190185, 0, 385970
1671608191185, 0, 385970
1671608192185, 0, 385970
1671608193185, 0, 385970
1671608194186, 0, 385970
1671608195186, 0, 385970
1671608196186, 0, 385970
1671608197186, 0, 385970
1671608198187, 0, 385970
1671608199187, 0, 385970
1671608200187, 0, 385970
1671608201187, 0, 385970
1671608202188, 0, 385970
1671608203188, 0, 385970
1671608204188, 0, 385970
1671608205188, 0, 385970
1671608206188, 0, 385970
1671608207189, 0, 385970
1671608208189, 0, 385970
1671608209189, 0, 385970
1671608210189, 0, 385970
1671608211190, 0, 385970
1671608212190, 0, 385970
1671608213190, 0, 385970
1671608214190, 0, 385970
1671608215191, 0, 385970
1671608216191, 0, 385970
1671608217191, 0, 385970
1671608218191, 0, 385970
1671608219192, 0, 385970
1671608220192, 0, 385970
1671608221192, 0, 385970
1671608222192, 0, 385970
1671608223192, 0, 385970
1671608224193, 0, 385970
1671608225193, 0, 385970
1671608226193, 0, 385970
