20:01:50,514 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
20:01:50,528 INFO  [main] Client:223 - Start performance testing with [2] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
20:01:50,542 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
20:01:51,544 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 57, Total Commands 57, Total Responses 57, Avg latency (ms) 0.00, Lantencies size 0,
20:01:52,545 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 117, Total Responses 117, Avg latency (ms) 0.00, Lantencies size 0,
20:01:53,545 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 175, Total Responses 175, Avg latency (ms) 0.00, Lantencies size 0,
20:01:54,546 INFO  [ClientStatsWriter] Client:202 - Commands sent 63, Response received 63, Total Commands 238, Total Responses 238, Avg latency (ms) 0.00, Lantencies size 0,
20:01:55,551 INFO  [ClientStatsWriter] Client:202 - Commands sent 61, Response received 61, Total Commands 299, Total Responses 299, Avg latency (ms) 0.00, Lantencies size 0,
20:01:56,552 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 57, Total Commands 356, Total Responses 356, Avg latency (ms) 0.00, Lantencies size 0,
20:01:57,553 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 64, Total Commands 420, Total Responses 420, Avg latency (ms) 0.00, Lantencies size 0,
20:01:58,554 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 485, Total Responses 485, Avg latency (ms) 0.00, Lantencies size 0,
20:01:59,555 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 547, Total Responses 547, Avg latency (ms) 0.00, Lantencies size 0,
20:02:00,556 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 65, Total Commands 612, Total Responses 612, Avg latency (ms) 0.00, Lantencies size 0,
20:02:01,556 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 61, Total Commands 674, Total Responses 673, Avg latency (ms) 0.00, Lantencies size 0,
20:02:02,557 INFO  [ClientStatsWriter] Client:202 - Commands sent 64, Response received 65, Total Commands 738, Total Responses 738, Avg latency (ms) 0.00, Lantencies size 0,
20:02:03,558 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 797, Total Responses 797, Avg latency (ms) 0.00, Lantencies size 0,
20:02:04,562 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 859, Total Responses 859, Avg latency (ms) 0.00, Lantencies size 0,
20:02:05,562 INFO  [ClientStatsWriter] Client:202 - Commands sent 57, Response received 56, Total Commands 916, Total Responses 915, Avg latency (ms) 0.00, Lantencies size 0,
20:02:06,563 INFO  [ClientStatsWriter] Client:202 - Commands sent 60, Response received 60, Total Commands 976, Total Responses 975, Avg latency (ms) 0.00, Lantencies size 0,
20:02:07,566 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 63, Total Commands 1038, Total Responses 1038, Avg latency (ms) 2.33, Lantencies size 1,
20:02:08,567 INFO  [ClientStatsWriter] Client:202 - Commands sent 65, Response received 64, Total Commands 1103, Total Responses 1102, Avg latency (ms) 0.00, Lantencies size 0,
20:02:09,568 INFO  [ClientStatsWriter] Client:202 - Commands sent 56, Response received 57, Total Commands 1159, Total Responses 1159, Avg latency (ms) 0.00, Lantencies size 0,
20:02:10,569 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 57, Total Commands 1217, Total Responses 1216, Avg latency (ms) 0.00, Lantencies size 0,
20:02:11,569 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 63, Total Commands 1279, Total Responses 1279, Avg latency (ms) 0.00, Lantencies size 0,
20:02:12,570 INFO  [ClientStatsWriter] Client:202 - Commands sent 56, Response received 56, Total Commands 1335, Total Responses 1335, Avg latency (ms) 0.00, Lantencies size 0,
20:02:13,571 INFO  [ClientStatsWriter] Client:202 - Commands sent 68, Response received 68, Total Commands 1403, Total Responses 1403, Avg latency (ms) 0.00, Lantencies size 0,
20:02:14,571 INFO  [ClientStatsWriter] Client:202 - Commands sent 62, Response received 62, Total Commands 1465, Total Responses 1465, Avg latency (ms) 0.00, Lantencies size 0,
20:02:15,572 INFO  [ClientStatsWriter] Client:202 - Commands sent 59, Response received 59, Total Commands 1524, Total Responses 1524, Avg latency (ms) 0.00, Lantencies size 0,
20:02:16,573 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 1591, Total Responses 1591, Avg latency (ms) 0.00, Lantencies size 0,
20:02:17,573 INFO  [ClientStatsWriter] Client:202 - Commands sent 58, Response received 58, Total Commands 1649, Total Responses 1649, Avg latency (ms) 0.00, Lantencies size 0,
20:02:18,574 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 1716, Total Responses 1716, Avg latency (ms) 0.00, Lantencies size 0,
20:02:19,575 INFO  [ClientStatsWriter] Client:202 - Commands sent 67, Response received 67, Total Commands 1783, Total Responses 1783, Avg latency (ms) 0.00, Lantencies size 0,
20:02:20,085 INFO  [Command Sender 1] Client:268 - Thread [Command Sender 1] terminated.
20:02:20,088 INFO  [Command Sender 0] Client:268 - Thread [Command Sender 0] terminated.
20:02:21,107 INFO  [ShutdownHook] Client:571 - Raw path created [ /tmp/aab96bf5-227f-448d-bb8a-c9acb2f10724]
