20:01:45,348 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:01:45,355 INFO  [main] Node:101 - PID: 8062
20:01:45,546 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:01:45,549 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:01:45,550 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:01:45,562 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:01:45,563 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:01:45,563 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:01:45,568 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:01:45,571 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:01:45,575 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [15] (succsessor: 15 at /10.10.1.14:2061)
20:01:45,581 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 15] (succsessor: 1 at /10.10.1.2:2317)
20:01:45,591 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1671505305591, 0, 0
Reading from stdin
20:01:45,594 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 15] (succsessor: 1 at /10.10.1.2:2317)
20:01:45,698 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2317)
20:01:45,706 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2317)
1671505306592, 0, 0
1671505307592, 0, 0
1671505308593, 0, 0
1671505309593, 0, 0
1671505310593, 0, 0
1671505311594, 62, 62
1671505312594, 58, 120
1671505313595, 59, 179
1671505314595, 61, 240
1671505315595, 62, 302
1671505316596, 57, 359
1671505317596, 63, 422
1671505318596, 66, 488
1671505319597, 63, 551
1671505320597, 64, 615
1671505321597, 62, 677
1671505322598, 63, 740
1671505323598, 60, 800
1671505324598, 61, 861
1671505325599, 57, 918
1671505326599, 59, 977
1671505327599, 63, 1040
1671505328599, 63, 1103
1671505329600, 57, 1160
1671505330600, 58, 1218
1671505331601, 62, 1280
1671505332601, 56, 1336
1671505333601, 70, 1406
1671505334601, 62, 1468
1671505335602, 58, 1526
1671505336602, 67, 1593
1671505337602, 59, 1652
1671505338602, 66, 1718
1671505339603, 68, 1786
1671505340603, 33, 1819
20:02:21,310 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
20:02:21,310 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
20:02:21,312 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/learners
