20:01:45,357 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:01:45,365 INFO  [main] Node:101 - PID: 8252
20:01:45,561 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:01:45,565 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:01:45,566 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:01:45,583 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 2
20:01:45,584 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 2
20:01:45,585 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:01:45,596 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:01:45,597 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:01:45,606 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [22, 25] (succsessor: 22 at /10.10.1.7:2128)
20:01:45,614 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [22, 24, 25] (succsessor: 22 at /10.10.1.7:2128)
20:01:45,619 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [25], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1671505305619, 0, 0
Reading from stdin
20:01:45,630 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [22, 23, 24, 25] (succsessor: 22 at /10.10.1.7:2128)
20:01:45,722 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 22, 23, 24, 25] (succsessor: 21 at /10.10.1.6:2545)
1671505306620, 0, 0
1671505307620, 0, 0
1671505308621, 0, 0
1671505309621, 0, 0
1671505310621, 5, 5
1671505311622, 60, 65
1671505312622, 58, 123
1671505313623, 68, 191
1671505314623, 61, 252
1671505315623, 57, 309
1671505316624, 68, 377
1671505317624, 61, 438
1671505318624, 70, 508
1671505319625, 66, 574
1671505320625, 65, 639
1671505321625, 55, 694
1671505322626, 64, 758
1671505323626, 60, 818
1671505324626, 64, 882
1671505325626, 59, 941
1671505326627, 70, 1011
1671505327627, 63, 1074
1671505328627, 62, 1136
1671505329628, 59, 1195
1671505330628, 61, 1256
1671505331628, 63, 1319
1671505332629, 62, 1381
1671505333629, 64, 1445
1671505334629, 57, 1502
1671505335629, 67, 1569
1671505336630, 60, 1629
1671505337630, 59, 1688
1671505338630, 60, 1748
1671505339631, 68, 1816
1671505340631, 26, 1842
20:02:21,313 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology2/nodes
20:02:21,416 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/nodes
20:02:21,416 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/learners
