__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
02:24:40,498 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.250s. Listening on: http://0.0.0.0:8888
02:24:40,502 INFO  quarkus:91 [main] Profile prod activated. 
02:24:40,502 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
02:24:44,449 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
02:24:44,505 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/media/disk1/]]
02:24:44,506 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
02:24:44,566 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
02:24:44,862 INFO  ReplicaLoggerClient:66 [executor-thread-2] Path created [/media/disk1/1ddc7bf1-e783-4b98-a56e-c7c04f26a5a8]
1671614684863, 0, 0
02:24:44,918 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=5, ring=2, replicas=1, pathPrefix=/media/disk1/]]
02:24:44,918 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [5]
02:24:44,922 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
02:24:45,008 INFO  ReplicaLoggerClient:66 [executor-thread-2] Path created [/media/disk1/10af86ab-6f54-464e-b897-e9d355cde892]
1671614685863, 0, 0
1671614686864, 0, 0
1671614687864, 0, 0
1671614688864, 0, 0
1671614689864, 0, 0
1671614690865, 512, 512
1671614691865, 0, 512
1671614692865, 0, 512
1671614693865, 0, 512
1671614694866, 0, 512
1671614695866, 0, 512
1671614696866, 0, 512
1671614697867, 0, 512
1671614698867, 0, 512
1671614699867, 0, 512
1671614700867, 512, 1024
1671614701868, 0, 1024
1671614702868, 0, 1024
1671614703868, 0, 1024
1671614704868, 0, 1024
1671614705869, 0, 1024
1671614706869, 0, 1024
1671614707869, 0, 1024
1671614708869, 0, 1024
1671614709870, 0, 1024
1671614710870, 512, 1536
1671614711870, 0, 1536
1671614712870, 0, 1536
1671614713871, 0, 1536
1671614714871, 0, 1536
1671614715871, 0, 1536
1671614716871, 0, 1536
1671614717872, 0, 1536
1671614718872, 0, 1536
1671614719872, 0, 1536
1671614720872, 512, 2048
1671614721873, 0, 2048
1671614722873, 0, 2048
1671614723873, 0, 2048
1671614724873, 0, 2048
1671614725874, 0, 2048
1671614726874, 0, 2048
1671614727874, 0, 2048
1671614728874, 0, 2048
1671614729875, 0, 2048
1671614730875, 0, 2048
1671614731875, 0, 2048
1671614732875, 0, 2048
