16:50:29,841 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
16:50:29,858 INFO  [main] Client:224 - Start performance testing with [32] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
16:50:29,869 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
16:50:30,879 INFO  [ClientStatsWriter] Client:203 - Commands sent 845, Response received 840, Total Commands 845, Total Responses 840, Avg latency (ms) 0.00, Lantencies size 0,
16:50:31,883 INFO  [ClientStatsWriter] Client:203 - Commands sent 958, Response received 959, Total Commands 1803, Total Responses 1799, Avg latency (ms) 3.19, Lantencies size 1,
16:50:32,884 INFO  [ClientStatsWriter] Client:203 - Commands sent 1002, Response received 1004, Total Commands 2805, Total Responses 2803, Avg latency (ms) 1.56, Lantencies size 1,
16:50:33,885 INFO  [ClientStatsWriter] Client:203 - Commands sent 1026, Response received 1022, Total Commands 3831, Total Responses 3825, Avg latency (ms) 2.52, Lantencies size 1,
16:50:34,890 INFO  [ClientStatsWriter] Client:203 - Commands sent 975, Response received 980, Total Commands 4806, Total Responses 4805, Avg latency (ms) 1.88, Lantencies size 1,
16:50:35,892 INFO  [ClientStatsWriter] Client:203 - Commands sent 1006, Response received 1007, Total Commands 5812, Total Responses 5812, Avg latency (ms) 1.76, Lantencies size 1,
16:50:36,895 INFO  [ClientStatsWriter] Client:203 - Commands sent 970, Response received 962, Total Commands 6782, Total Responses 6774, Avg latency (ms) 1.83, Lantencies size 1,
16:50:37,898 INFO  [ClientStatsWriter] Client:203 - Commands sent 1003, Response received 1010, Total Commands 7785, Total Responses 7784, Avg latency (ms) 2.60, Lantencies size 1,
16:50:38,899 INFO  [ClientStatsWriter] Client:203 - Commands sent 989, Response received 989, Total Commands 8774, Total Responses 8773, Avg latency (ms) 2.05, Lantencies size 1,
16:50:39,901 INFO  [ClientStatsWriter] Client:203 - Commands sent 1021, Response received 1021, Total Commands 9795, Total Responses 9794, Avg latency (ms) 2.94, Lantencies size 1,
16:50:40,902 INFO  [ClientStatsWriter] Client:203 - Commands sent 1017, Response received 1017, Total Commands 10812, Total Responses 10811, Avg latency (ms) 4.48, Lantencies size 1,
16:50:41,903 INFO  [ClientStatsWriter] Client:203 - Commands sent 1008, Response received 1005, Total Commands 11820, Total Responses 11816, Avg latency (ms) 2.55, Lantencies size 1,
16:50:42,906 INFO  [ClientStatsWriter] Client:203 - Commands sent 1010, Response received 1011, Total Commands 12830, Total Responses 12827, Avg latency (ms) 2.74, Lantencies size 1,
16:50:43,914 INFO  [ClientStatsWriter] Client:203 - Commands sent 1000, Response received 1000, Total Commands 13830, Total Responses 13827, Avg latency (ms) 1.59, Lantencies size 1,
16:50:44,915 INFO  [ClientStatsWriter] Client:203 - Commands sent 1012, Response received 1015, Total Commands 14842, Total Responses 14842, Avg latency (ms) 2.37, Lantencies size 1,
16:50:45,916 INFO  [ClientStatsWriter] Client:203 - Commands sent 1011, Response received 1008, Total Commands 15853, Total Responses 15850, Avg latency (ms) 2.81, Lantencies size 1,
16:50:46,917 INFO  [ClientStatsWriter] Client:203 - Commands sent 1013, Response received 1013, Total Commands 16866, Total Responses 16863, Avg latency (ms) 1.62, Lantencies size 1,
16:50:47,918 INFO  [ClientStatsWriter] Client:203 - Commands sent 973, Response received 976, Total Commands 17839, Total Responses 17839, Avg latency (ms) 2.18, Lantencies size 1,
16:50:48,919 INFO  [ClientStatsWriter] Client:203 - Commands sent 977, Response received 976, Total Commands 18816, Total Responses 18815, Avg latency (ms) 4.73, Lantencies size 1,
16:50:49,920 INFO  [ClientStatsWriter] Client:203 - Commands sent 986, Response received 982, Total Commands 19802, Total Responses 19797, Avg latency (ms) 4.73, Lantencies size 1,
16:50:50,921 INFO  [ClientStatsWriter] Client:203 - Commands sent 1004, Response received 1006, Total Commands 20806, Total Responses 20803, Avg latency (ms) 1.59, Lantencies size 1,
16:50:51,924 INFO  [ClientStatsWriter] Client:203 - Commands sent 1007, Response received 1005, Total Commands 21813, Total Responses 21808, Avg latency (ms) 1.90, Lantencies size 1,
16:50:52,926 INFO  [ClientStatsWriter] Client:203 - Commands sent 988, Response received 988, Total Commands 22801, Total Responses 22796, Avg latency (ms) 2.36, Lantencies size 1,
16:50:53,927 INFO  [ClientStatsWriter] Client:203 - Commands sent 1014, Response received 1018, Total Commands 23815, Total Responses 23814, Avg latency (ms) 1.82, Lantencies size 1,
16:50:54,928 INFO  [ClientStatsWriter] Client:203 - Commands sent 1005, Response received 1003, Total Commands 24820, Total Responses 24817, Avg latency (ms) 2.44, Lantencies size 1,
16:50:55,929 INFO  [ClientStatsWriter] Client:203 - Commands sent 987, Response received 989, Total Commands 25807, Total Responses 25806, Avg latency (ms) 2.06, Lantencies size 1,
16:50:56,930 INFO  [ClientStatsWriter] Client:203 - Commands sent 1024, Response received 1020, Total Commands 26831, Total Responses 26826, Avg latency (ms) 1.95, Lantencies size 1,
16:50:57,931 INFO  [ClientStatsWriter] Client:203 - Commands sent 1007, Response received 1009, Total Commands 27838, Total Responses 27835, Avg latency (ms) 2.91, Lantencies size 1,
16:50:58,933 INFO  [ClientStatsWriter] Client:203 - Commands sent 1011, Response received 1011, Total Commands 28849, Total Responses 28846, Avg latency (ms) 2.16, Lantencies size 1,
16:50:59,024 INFO  [Command Sender 13] Client:269 - Thread [Command Sender 13] terminated.
16:50:59,024 INFO  [Command Sender 1] Client:269 - Thread [Command Sender 1] terminated.
16:50:59,027 INFO  [Command Sender 30] Client:269 - Thread [Command Sender 30] terminated.
16:50:59,030 INFO  [Command Sender 12] Client:269 - Thread [Command Sender 12] terminated.
16:50:59,033 INFO  [Command Sender 22] Client:269 - Thread [Command Sender 22] terminated.
16:50:59,034 INFO  [Command Sender 27] Client:269 - Thread [Command Sender 27] terminated.
16:50:59,037 INFO  [Command Sender 31] Client:269 - Thread [Command Sender 31] terminated.
16:50:59,038 INFO  [Command Sender 0] Client:269 - Thread [Command Sender 0] terminated.
16:50:59,039 INFO  [Command Sender 17] Client:269 - Thread [Command Sender 17] terminated.
16:50:59,040 INFO  [Command Sender 24] Client:269 - Thread [Command Sender 24] terminated.
16:50:59,040 INFO  [Command Sender 28] Client:269 - Thread [Command Sender 28] terminated.
16:50:59,041 INFO  [Command Sender 8] Client:269 - Thread [Command Sender 8] terminated.
16:50:59,045 INFO  [Command Sender 2] Client:269 - Thread [Command Sender 2] terminated.
16:50:59,046 INFO  [Command Sender 3] Client:269 - Thread [Command Sender 3] terminated.
16:50:59,051 INFO  [Command Sender 23] Client:269 - Thread [Command Sender 23] terminated.
16:50:59,051 INFO  [Command Sender 6] Client:269 - Thread [Command Sender 6] terminated.
16:50:59,054 INFO  [Command Sender 7] Client:269 - Thread [Command Sender 7] terminated.
16:50:59,054 INFO  [Command Sender 9] Client:269 - Thread [Command Sender 9] terminated.
16:50:59,059 INFO  [Command Sender 26] Client:269 - Thread [Command Sender 26] terminated.
16:50:59,060 INFO  [Command Sender 10] Client:269 - Thread [Command Sender 10] terminated.
16:50:59,061 INFO  [Command Sender 21] Client:269 - Thread [Command Sender 21] terminated.
16:50:59,062 INFO  [Command Sender 15] Client:269 - Thread [Command Sender 15] terminated.
16:50:59,063 INFO  [Command Sender 29] Client:269 - Thread [Command Sender 29] terminated.
16:50:59,063 INFO  [Command Sender 19] Client:269 - Thread [Command Sender 19] terminated.
16:50:59,064 INFO  [Command Sender 18] Client:269 - Thread [Command Sender 18] terminated.
16:50:59,064 INFO  [Command Sender 20] Client:269 - Thread [Command Sender 20] terminated.
16:50:59,064 INFO  [Command Sender 5] Client:269 - Thread [Command Sender 5] terminated.
16:50:59,067 INFO  [Command Sender 14] Client:269 - Thread [Command Sender 14] terminated.
16:50:59,075 INFO  [Command Sender 11] Client:269 - Thread [Command Sender 11] terminated.
16:50:59,081 INFO  [Command Sender 4] Client:269 - Thread [Command Sender 4] terminated.
16:50:59,083 INFO  [Command Sender 25] Client:269 - Thread [Command Sender 25] terminated.
16:50:59,093 INFO  [Command Sender 16] Client:269 - Thread [Command Sender 16] terminated.
I will kill everything
16:51:00,121 INFO  [ShutdownHook] Client:551 - Raw path created [ /tmp/f490f124-45af-4c13-8fcc-211b97550fa3]
Saving file
File save
