12:40:22,204 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
12:40:22,223 INFO  [main] Client:224 - Start performance testing with [64] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
12:40:22,230 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
12:40:23,235 INFO  [ClientStatsWriter] Client:203 - Commands sent 1717, Response received 1711, Total Commands 1717, Total Responses 1711, Avg latency (ms) 1.86, Lantencies size 1,
12:40:24,236 INFO  [ClientStatsWriter] Client:203 - Commands sent 2026, Response received 2028, Total Commands 3743, Total Responses 3739, Avg latency (ms) 1.70, Lantencies size 2,
12:40:25,237 INFO  [ClientStatsWriter] Client:203 - Commands sent 2041, Response received 2043, Total Commands 5784, Total Responses 5782, Avg latency (ms) 2.29, Lantencies size 2,
12:40:26,238 INFO  [ClientStatsWriter] Client:203 - Commands sent 2030, Response received 2028, Total Commands 7814, Total Responses 7810, Avg latency (ms) 1.89, Lantencies size 2,
12:40:27,244 INFO  [ClientStatsWriter] Client:203 - Commands sent 2038, Response received 2039, Total Commands 9852, Total Responses 9849, Avg latency (ms) 1.45, Lantencies size 2,
12:40:28,245 INFO  [ClientStatsWriter] Client:203 - Commands sent 1999, Response received 1999, Total Commands 11851, Total Responses 11848, Avg latency (ms) 2.20, Lantencies size 2,
12:40:29,247 INFO  [ClientStatsWriter] Client:203 - Commands sent 2076, Response received 2078, Total Commands 13927, Total Responses 13926, Avg latency (ms) 2.07, Lantencies size 2,
12:40:30,249 INFO  [ClientStatsWriter] Client:203 - Commands sent 2031, Response received 2029, Total Commands 15958, Total Responses 15955, Avg latency (ms) 1.75, Lantencies size 2,
12:40:31,250 INFO  [ClientStatsWriter] Client:203 - Commands sent 2035, Response received 2035, Total Commands 17993, Total Responses 17990, Avg latency (ms) 1.76, Lantencies size 2,
12:40:32,251 INFO  [ClientStatsWriter] Client:203 - Commands sent 2019, Response received 2019, Total Commands 20012, Total Responses 20009, Avg latency (ms) 1.54, Lantencies size 3,
12:40:33,253 INFO  [ClientStatsWriter] Client:203 - Commands sent 2046, Response received 2042, Total Commands 22058, Total Responses 22051, Avg latency (ms) 1.42, Lantencies size 2,
12:40:34,254 INFO  [ClientStatsWriter] Client:203 - Commands sent 2020, Response received 2023, Total Commands 24078, Total Responses 24074, Avg latency (ms) 2.08, Lantencies size 2,
12:40:35,255 INFO  [ClientStatsWriter] Client:203 - Commands sent 2052, Response received 2054, Total Commands 26130, Total Responses 26128, Avg latency (ms) 4.08, Lantencies size 2,
