20:11:42,841 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:11:42,851 INFO  [main] Node:101 - PID: 41765
20:11:43,087 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:11:43,091 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:11:43,092 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:11:43,112 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 2
20:11:43,113 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 2
20:11:43,114 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:11:43,120 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:11:43,122 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:11:43,125 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [23] (succsessor: 23 at /10.10.1.5:2788)
20:11:43,138 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 23] (succsessor: 21 at /10.10.1.3:2635)
20:11:43,146 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 22, 23] (succsessor: 21 at /10.10.1.3:2635)
20:11:43,173 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [23], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
1681438303174, 0, 0
Reading from stdin
20:11:43,293 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 22, 23, 24] (succsessor: 24 at /10.10.1.6:2242)
1681438304175, 0, 0
1681438305175, 0, 0
1681438306176, 0, 0
1681438307176, 0, 0
1681438308177, 0, 0
1681438309177, 16, 16
1681438310178, 0, 16
1681438311178, 0, 16
1681438312179, 0, 16
1681438313179, 0, 16
1681438314179, 0, 16
1681438315180, 0, 16
1681438316180, 0, 16
1681438317181, 0, 16
1681438318181, 16, 32
1681438319182, 0, 32
1681438320182, 0, 32
1681438321182, 0, 32
1681438322183, 0, 32
1681438323183, 0, 32
1681438324183, 0, 32
1681438325184, 0, 32
1681438326184, 0, 32
1681438327185, 0, 32
1681438328185, 16, 48
1681438329186, 0, 48
1681438330186, 0, 48
1681438331186, 0, 48
1681438332187, 0, 48
1681438333187, 0, 48
1681438334187, 0, 48
1681438335188, 0, 48
1681438336188, 0, 48
1681438337189, 0, 48
1681438338189, 16, 64
1681438339189, 0, 64
1681438340189, 0, 64
1681438341190, 0, 64
1681438342190, 0, 64
1681438343191, 0, 64
1681438344191, 0, 64
1681438345191, 0, 64
1681438346192, 0, 64
1681438347192, 0, 64
1681438348192, 0, 64
20:12:29,077 ERROR [TCPListener] SessionHandler:120 - Error in SessionHandler during reading!
java.nio.channels.ClosedSelectorException
	at java.base/sun.nio.ch.EPollSelectorImpl.ensureOpen(EPollSelectorImpl.java:98)
	at java.base/sun.nio.ch.EPollSelectorImpl.setEventOps(EPollSelectorImpl.java:243)
	at java.base/sun.nio.ch.SelectionKeyImpl.interestOps(SelectionKeyImpl.java:101)
	at ch.usi.da.paxos.ring.SessionHandler.handleReadable(SessionHandler.java:68)
	at ch.usi.da.paxos.ring.TCPListener.run(TCPListener.java:89)
	at java.base/java.lang.Thread.run(Thread.java:830)
20:12:29,091 ERROR [main-EventThread] TopologyManager:387 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology2/nodes/21
20:12:29,092 INFO  [main-EventThread] RingManager:133 - RingManager ring 2 changed: [21, 23] (succsessor: 21 at null)
20:12:29,092 ERROR [main-EventThread] ClientCnxn:537 - Error while calling watcher 
java.lang.NullPointerException
	at java.base/sun.nio.ch.Net.checkAddress(Net.java:126)
	at java.base/sun.nio.ch.SocketChannelImpl.checkRemote(SocketChannelImpl.java:706)
	at java.base/sun.nio.ch.SocketChannelImpl.connect(SocketChannelImpl.java:720)
	at ch.usi.da.paxos.ring.NetworkManager.connectClient(NetworkManager.java:291)
	at ch.usi.da.paxos.ring.RingManager.notifyRingChanged(RingManager.java:136)
	at ch.usi.da.paxos.ring.RingManager.process(RingManager.java:210)
	at org.apache.zookeeper.ClientCnxn$EventThread.processEvent(ClientCnxn.java:535)
	at org.apache.zookeeper.ClientCnxn$EventThread.run(ClientCnxn.java:510)
20:12:29,192 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/learners
1681438349193, 0, 64
20:12:29,193 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/nodes
20:12:29,193 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology2/nodes
