17:59:11,238 INFO  [main] RawABListener:48 - Initing a RawABListener...
17:59:11,248 INFO  [main] Node:101 - PID: 13885
17:59:11,494 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
17:59:11,500 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
17:59:11,501 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
17:59:11,532 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 4
17:59:11,533 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 4
17:59:11,533 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
17:59:11,539 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
17:59:11,541 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
17:59:11,545 INFO  [main-EventThread] RingManager:133 - RingManager ring 4 changed: [42, 44] (succsessor: 42 at /10.10.1.2:2116)
17:59:11,551 INFO  [main-EventThread] RingManager:133 - RingManager ring 4 changed: [41, 42, 44] (succsessor: 41 at /10.10.1.3:2516)
17:59:11,641 INFO  [main-EventThread] RingManager:133 - RingManager ring 4 changed: [41, 42, 43, 44] (succsessor: 41 at /10.10.1.3:2516)
17:59:12,062 INFO  [main] Replica:172 - Token [0], ringId [null], nodeId [44], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1681603152063, 0, 0
Reading from stdin
1681603153064, 0, 0
1681603154065, 0, 0
1681603155065, 0, 0
1681603156065, 0, 0
1681603157066, 460, 460
1681603158067, 982, 1442
1681603159067, 978, 2420
1681603160068, 988, 3408
1681603161069, 997, 4405
1681603162071, 940, 5345
1681603163072, 1018, 6363
1681603164073, 1019, 7382
1681603165073, 1014, 8396
1681603166074, 1017, 9413
1681603167075, 1030, 10443
1681603168075, 988, 11431
1681603169076, 998, 12429
1681603170076, 989, 13418
1681603171077, 1003, 14421
1681603172077, 994, 15415
1681603173078, 1015, 16430
1681603174079, 1029, 17459
1681603175079, 993, 18452
1681603176080, 1033, 19485
1681603177081, 1004, 20489
1681603178082, 1006, 21495
1681603179082, 1003, 22498
1681603180083, 1032, 23530
1681603181083, 993, 24523
1681603182084, 1018, 25541
1681603183084, 993, 26534
1681603184085, 1031, 27565
1681603185085, 1029, 28594
1681603186086, 949, 29543
1681603187086, 0, 29543
17:59:47,292 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology4/nodes
17:59:47,391 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology4/nodes
17:59:47,399 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology4/learners
