12:53:59,205 INFO  [main] RawABListener:48 - Initing a RawABListener...
12:53:59,214 INFO  [main] Node:101 - PID: 26876
12:53:59,443 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
12:53:59,449 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
12:53:59,450 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
12:53:59,475 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
12:53:59,476 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
12:53:59,477 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
12:53:59,482 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
12:53:59,484 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
12:53:59,490 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 14] (succsessor: 1 at /10.10.1.3:2520)
12:53:59,498 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 14] (succsessor: 1 at /10.10.1.3:2520)
12:53:59,912 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 1 at /10.10.1.3:2520)
12:54:01,239 INFO  [main] Replica:172 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1682708041241, 0, 0
Reading from stdin
1682708042242, 0, 0
12:54:03,117 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14] (succsessor: 1 at /10.10.1.3:2520)
1682708043243, 0, 0
1682708044244, 0, 0
1682708045244, 2231, 2231
1682708046245, 3926, 6157
1682708047247, 3849, 10006
1682708048248, 3929, 13935
1682708049249, 3858, 17793
1682708050249, 3227, 21020
1682708051250, 4106, 25126
1682708052250, 3936, 29062
1682708053251, 3871, 32933
1682708054252, 3921, 36854
1682708055252, 3930, 40784
1682708056253, 3897, 44681
1682708057254, 3887, 48568
1682708058255, 3909, 52477
1682708059255, 3867, 56344
1682708060264, 3864, 60208
1682708061265, 3691, 63899
1682708062266, 3854, 67753
1682708063267, 3906, 71659
1682708064268, 3928, 75587
1682708065269, 3890, 79477
1682708066270, 3925, 83402
1682708067270, 3909, 87311
1682708068271, 3897, 91208
1682708069271, 3929, 95137
1682708070272, 3846, 98983
1682708071272, 3949, 102932
1682708072273, 3875, 106807
1682708073273, 3945, 110752
1682708074276, 2698, 113450
1682708075276, 0, 113450
12:54:35,567 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$ConnectionLossException: KeeperErrorCode = ConnectionLoss for /ringpaxos/topology1/nodes
12:54:35,671 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
12:54:35,672 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
