18:30:31,177 INFO  [main] Client:126 - thinkingTime [50], writePercentage [100], trackerNumber [1000]
18:30:31,196 INFO  [main] Client:224 - Start performance testing with [8] threads, experimentTimeSeconds [30], commandSize [1024] bytes)
18:30:31,204 INFO  [ClientStatsWriter] Client:203 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
18:30:32,208 INFO  [ClientStatsWriter] Client:203 - Commands sent 137, Response received 136, Total Commands 137, Total Responses 136, Avg latency (ms) 0.00, Lantencies size 0,
18:30:33,209 INFO  [ClientStatsWriter] Client:203 - Commands sent 248, Response received 248, Total Commands 385, Total Responses 384, Avg latency (ms) 0.00, Lantencies size 0,
18:30:34,210 INFO  [ClientStatsWriter] Client:203 - Commands sent 249, Response received 250, Total Commands 634, Total Responses 634, Avg latency (ms) 0.00, Lantencies size 0,
18:30:35,211 INFO  [ClientStatsWriter] Client:203 - Commands sent 238, Response received 238, Total Commands 872, Total Responses 872, Avg latency (ms) 0.00, Lantencies size 0,
18:30:36,218 INFO  [ClientStatsWriter] Client:203 - Commands sent 249, Response received 249, Total Commands 1121, Total Responses 1121, Avg latency (ms) 2.13, Lantencies size 1,
18:30:37,219 INFO  [ClientStatsWriter] Client:203 - Commands sent 256, Response received 255, Total Commands 1377, Total Responses 1376, Avg latency (ms) 0.00, Lantencies size 0,
18:30:38,220 INFO  [ClientStatsWriter] Client:203 - Commands sent 257, Response received 256, Total Commands 1634, Total Responses 1632, Avg latency (ms) 0.00, Lantencies size 0,
18:30:39,221 INFO  [ClientStatsWriter] Client:203 - Commands sent 255, Response received 257, Total Commands 1889, Total Responses 1889, Avg latency (ms) 0.00, Lantencies size 0,
18:30:40,223 INFO  [ClientStatsWriter] Client:203 - Commands sent 242, Response received 242, Total Commands 2131, Total Responses 2131, Avg latency (ms) 2.88, Lantencies size 1,
18:30:41,224 INFO  [ClientStatsWriter] Client:203 - Commands sent 235, Response received 235, Total Commands 2366, Total Responses 2366, Avg latency (ms) 0.00, Lantencies size 0,
18:30:42,225 INFO  [ClientStatsWriter] Client:203 - Commands sent 270, Response received 270, Total Commands 2636, Total Responses 2636, Avg latency (ms) 0.00, Lantencies size 0,
18:30:43,226 INFO  [ClientStatsWriter] Client:203 - Commands sent 257, Response received 257, Total Commands 2893, Total Responses 2893, Avg latency (ms) 0.00, Lantencies size 0,
18:30:44,229 INFO  [ClientStatsWriter] Client:203 - Commands sent 244, Response received 244, Total Commands 3137, Total Responses 3137, Avg latency (ms) 1.80, Lantencies size 1,
18:30:45,235 INFO  [ClientStatsWriter] Client:203 - Commands sent 244, Response received 243, Total Commands 3381, Total Responses 3380, Avg latency (ms) 0.00, Lantencies size 0,
18:30:46,236 INFO  [ClientStatsWriter] Client:203 - Commands sent 255, Response received 256, Total Commands 3636, Total Responses 3636, Avg latency (ms) 0.00, Lantencies size 0,
18:30:47,237 INFO  [ClientStatsWriter] Client:203 - Commands sent 253, Response received 253, Total Commands 3889, Total Responses 3889, Avg latency (ms) 0.00, Lantencies size 0,
18:30:48,239 INFO  [ClientStatsWriter] Client:203 - Commands sent 248, Response received 248, Total Commands 4137, Total Responses 4137, Avg latency (ms) 1.95, Lantencies size 1,
