__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
21:36:22,859 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 2.058s. Listening on: http://0.0.0.0:8888
21:36:22,869 INFO  quarkus:91 [main] Profile prod activated. 
21:36:22,870 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
21:36:29,797 INFO  LoggerController:69 [executor-thread-1] loggerRestClients size [2]
21:36:29,897 INFO  LoggerController:92 [executor-thread-1] Registering replica logger
21:36:30,289 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/883db061-ea90-434c-a57a-2674047e2960]
1681443390291, 0, 0
21:36:30,364 INFO  LoggerController:92 [executor-thread-1] Registering replica logger
21:36:30,455 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/7696e2a5-88be-44fc-955b-cc2a2207fcba]
21:36:30,720 INFO  LoggerController:92 [executor-thread-1] Registering replica logger
21:36:30,819 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/d30a5c18-5199-4b40-bfc2-f5907e31a8d2]
21:36:30,867 INFO  LoggerController:92 [executor-thread-1] Registering replica logger
21:36:30,975 INFO  ReplicaLoggerClient:78 [executor-thread-1] Path created [/media/disk1/459f04c2-c34c-41bf-971e-892017292b85]
1681443391291, 0, 0
1681443392292, 0, 0
1681443393293, 0, 0
1681443394293, 12, 12
1681443395293, 9, 21
1681443396294, 0, 21
1681443397294, 7, 28
1681443398295, 0, 28
1681443399295, 0, 28
1681443400295, 0, 28
1681443401296, 0, 28
1681443402296, 0, 28
1681443403296, 0, 28
1681443404297, 32, 60
1681443405297, 0, 60
1681443406298, 0, 60
1681443407298, 0, 60
1681443408298, 0, 60
1681443409299, 0, 60
1681443410299, 0, 60
1681443411299, 0, 60
1681443412300, 0, 60
1681443413300, 0, 60
1681443414300, 32, 92
1681443415301, 0, 92
1681443416301, 0, 92
1681443417302, 0, 92
1681443418302, 0, 92
1681443419302, 0, 92
1681443420303, 0, 92
1681443421303, 0, 92
1681443422303, 0, 92
1681443423304, 0, 92
1681443424304, 32, 124
1681443425304, 0, 124
1681443426305, 0, 124
1681443427305, 0, 124
1681443428305, 0, 124
1681443429306, 0, 124
1681443430306, 0, 124
1681443431306, 0, 124
1681443432307, 0, 124
1681443433307, 0, 124
1681443434307, 0, 124
1681443435308, 0, 124
21:37:15,548 INFO  ReplicaLoggerClient:140 [executor-thread-1] Saving latencies
21:37:15,555 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
21:37:15,556 INFO  ReplicaLoggerClient:140 [executor-thread-1] Saving latencies
21:37:15,556 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
21:37:15,557 INFO  ReplicaLoggerClient:140 [executor-thread-1] Saving latencies
21:37:15,557 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
21:37:15,558 INFO  ReplicaLoggerClient:140 [executor-thread-1] Saving latencies
21:37:15,558 INFO  ReplicaLoggerClient:152 [executor-thread-1] File save
1681443436308, 0, 124
