14:34:34,183 INFO  [main] RawABListener:48 - Initing a RawABListener...
14:34:34,190 INFO  [main] Node:101 - PID: 31449
14:34:34,376 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
14:34:34,379 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
14:34:34,380 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
14:34:34,399 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
14:34:34,400 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
14:34:34,401 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
14:34:34,408 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
14:34:34,410 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
14:34:34,415 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 15] (succsessor: 2 at /10.10.1.4:2246)
14:34:34,431 INFO  [main] Replica:165 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1670189674432, 0, 0
Reading from stdin
14:34:34,441 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 15] (succsessor: 2 at /10.10.1.4:2246)
14:34:34,444 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14, 15] (succsessor: 2 at /10.10.1.4:2246)
14:34:34,736 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2919)
1670189675432, 0, 0
1670189676433, 0, 0
1670189677433, 0, 0
1670189678434, 0, 0
1670189679434, 16, 16
1670189680435, 479, 495
1670189681435, 484, 979
1670189682435, 505, 1484
1670189683436, 492, 1976
1670189684436, 490, 2466
1670189685437, 497, 2963
1670189686437, 513, 3476
1670189687437, 500, 3976
1670189688438, 501, 4477
1670189689438, 483, 4960
1670189690439, 489, 5449
1670189691439, 517, 5966
1670189692440, 493, 6459
1670189693440, 515, 6974
1670189694441, 492, 7466
1670189695441, 493, 7959
1670189696441, 491, 8450
1670189697442, 512, 8962
1670189698442, 510, 9472
1670189699443, 493, 9965
1670189700443, 496, 10461
1670189701443, 520, 10981
1670189702444, 498, 11479
1670189703444, 500, 11979
1670189704445, 509, 12488
1670189705445, 526, 13014
1670189706445, 522, 13536
1670189707446, 512, 14048
1670189708447, 523, 14571
1670189709447, 500, 15071
1670189710447, 508, 15579
1670189711448, 515, 16094
1670189712448, 511, 16605
1670189713449, 491, 17096
1670189714449, 500, 17596
1670189715449, 515, 18111
