14:31:26,443 INFO  [main] RawABListener:48 - Initing a RawABListener...
14:31:26,450 INFO  [main] Node:101 - PID: 30631
14:31:26,644 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
14:31:26,647 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
14:31:26,647 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
14:31:26,661 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
14:31:26,661 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
14:31:26,661 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
14:31:26,667 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
14:31:26,669 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
14:31:26,674 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14] (succsessor: 14 at /10.10.1.6:2844)
14:31:26,684 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14] (succsessor: 2 at /10.10.1.4:2375)
14:31:26,693 INFO  [main] Replica:165 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1670189486693, 0, 0
Reading from stdin
14:31:26,737 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14] (succsessor: 2 at /10.10.1.4:2375)
14:31:26,750 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 1 at /10.10.1.2:2056)
14:31:26,903 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.7:2079)
1670189487693, 0, 0
1670189488694, 0, 0
1670189489694, 0, 0
1670189490695, 0, 0
1670189491695, 0, 0
1670189492695, 213, 213
1670189493696, 253, 466
1670189494696, 232, 698
1670189495697, 247, 945
1670189496697, 251, 1196
1670189497698, 259, 1455
1670189498698, 244, 1699
1670189499698, 243, 1942
1670189500699, 240, 2182
1670189501699, 252, 2434
1670189502700, 265, 2699
1670189503700, 255, 2954
1670189504700, 254, 3208
1670189505701, 245, 3453
1670189506701, 246, 3699
1670189507701, 245, 3944
1670189508702, 249, 4193
1670189509702, 261, 4454
1670189510703, 251, 4705
1670189511703, 252, 4957
1670189512703, 254, 5211
1670189513704, 267, 5478
1670189514705, 257, 5735
1670189515705, 245, 5980
1670189516705, 257, 6237
1670189517706, 263, 6500
1670189518706, 253, 6753
1670189519706, 261, 7014
1670189520707, 254, 7268
1670189521707, 261, 7529
1670189522707, 258, 7787
1670189523708, 245, 8032
1670189524708, 275, 8307
1670189525708, 247, 8554
1670189526709, 255, 8809
1670189527709, 251, 9060
1670189528709, 260, 9320
1670189529710, 261, 9581
1670189530710, 265, 9846
1670189531710, 242, 10088
1670189532710, 251, 10339
1670189533711, 256, 10595
1670189534711, 246, 10841
1670189535711, 245, 11086
1670189536712, 257, 11343
1670189537712, 254, 11597
1670189538712, 236, 11833
1670189539712, 254, 12087
1670189540713, 246, 12333
1670189541713, 253, 12586
1670189542713, 245, 12831
1670189543714, 255, 13086
1670189544714, 251, 13337
1670189545714, 262, 13599
1670189546715, 261, 13860
1670189547715, 251, 14111
1670189548716, 237, 14348
1670189549716, 246, 14594
1670189550716, 250, 14844
1670189551717, 255, 15099
1670189552717, 262, 15361
1670189553717, 254, 15615
1670189554717, 258, 15873
1670189555718, 255, 16128
1670189556718, 240, 16368
1670189557718, 259, 16627
1670189558719, 261, 16888
1670189559719, 251, 17139
1670189560719, 255, 17394
1670189561719, 248, 17642
1670189562720, 270, 17912
1670189563720, 265, 18177
1670189564720, 249, 18426
1670189565721, 247, 18673
1670189566721, 260, 18933
1670189567721, 258, 19191
1670189568722, 242, 19433
1670189569722, 252, 19685
1670189570722, 246, 19931
1670189571722, 247, 20178
1670189572723, 262, 20440
1670189573723, 256, 20696
1670189574723, 262, 20958
1670189575723, 244, 21202
1670189576724, 248, 21450
1670189577724, 249, 21699
1670189578724, 246, 21945
1670189579725, 257, 22202
1670189580725, 244, 22446
1670189581725, 80, 22526
1670189582725, 0, 22526
1670189583726, 0, 22526
1670189584726, 0, 22526
1670189585726, 0, 22526
1670189586726, 0, 22526
1670189587727, 0, 22526
1670189588727, 0, 22526
1670189589727, 0, 22526
14:33:10,008 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 14, 15] (succsessor: 15 at /10.10.1.7:2079)
1670189590727, 0, 22526
1670189591728, 0, 22526
1670189592728, 0, 22526
1670189593728, 0, 22526
1670189594729, 0, 22526
1670189595729, 0, 22526
14:33:16,005 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14, 15] (succsessor: 15 at /10.10.1.7:2079)
1670189596729, 0, 22526
1670189597729, 0, 22526
14:33:18,004 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 15 at /10.10.1.7:2079)
1670189598730, 0, 22526
