16:28:54,318 INFO  [main] RawABListener:48 - Initing a RawABListener...
16:28:54,326 INFO  [main] Node:101 - PID: 55267
16:28:54,530 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
16:28:54,536 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
16:28:54,536 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
16:28:54,555 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
16:28:54,555 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
16:28:54,556 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
16:28:54,561 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
16:28:54,563 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
16:28:54,572 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 14] (succsessor: 1 at /10.10.1.2:2825)
16:28:54,578 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14] (succsessor: 1 at /10.10.1.2:2825)
16:28:54,588 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [false] with simple constructor
1670714934588, 0, 0
Reading from stdin
16:28:54,715 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 1 at /10.10.1.2:2825)
16:28:54,721 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2906)
1670714935589, 0, 0
1670714936589, 0, 0
1670714937590, 0, 0
1670714938590, 0, 0
1670714939590, 0, 0
1670714940591, 20692, 20692
1670714941591, 21928, 42620
1670714942592, 22212, 64832
1670714943592, 21615, 86447
1670714944593, 21227, 107674
1670714945593, 30668, 138342
1670714946594, 29439, 167781
1670714947594, 27223, 195004
1670714948595, 26840, 221844
1670714949595, 27114, 248958
1670714950596, 28654, 277612
1670714951596, 28479, 306091
1670714952603, 29778, 335869
1670714953603, 30929, 366798
1670714954603, 30826, 397624
1670714955604, 28697, 426321
1670714956604, 31553, 457874
1670714957605, 32649, 490523
1670714958605, 31078, 521601
1670714959607, 24769, 546370
1670714960607, 23531, 569901
1670714961608, 20488, 590389
1670714962608, 19553, 609942
1670714963609, 20270, 630212
1670714964609, 27620, 657832
1670714965609, 24789, 682621
1670714966610, 28254, 710875
1670714967610, 27109, 737984
1670714968611, 26032, 764016
1670714969611, 25918, 789934
1670714970612, 27896, 817830
1670714971613, 28770, 846600
1670714972613, 27695, 874295
1670714973614, 28686, 902981
1670714974614, 28996, 931977
1670714975614, 27071, 959048
1670714976615, 26692, 985740
1670714977615, 28530, 1014270
1670714978616, 29410, 1043680
1670714979617, 30581, 1074261
1670714980618, 31653, 1105914
1670714981618, 32640, 1138554
1670714982618, 30753, 1169307
1670714983619, 32133, 1201440
1670714984619, 31095, 1232535
1670714985620, 29827, 1262362
1670714986620, 29814, 1292176
1670714987620, 28966, 1321142
1670714988621, 29782, 1350924
1670714989621, 30095, 1381019
1670714990621, 30041, 1411060
1670714991622, 31608, 1442668
1670714992622, 29652, 1472320
1670714993659, 28637, 1500957
1670714994660, 31325, 1532282
1670714995660, 29897, 1562179
1670714996660, 30759, 1592938
1670714997661, 32501, 1625439
1670714998661, 30956, 1656395
1670714999662, 31348, 1687743
1670715000662, 31542, 1719285
1670715001662, 30118, 1749403
1670715002663, 27313, 1776716
1670715003664, 29236, 1805952
1670715004665, 31195, 1837147
1670715005665, 28832, 1865979
1670715006665, 29525, 1895504
1670715007666, 30926, 1926430
1670715008666, 31090, 1957520
1670715009666, 26314, 1983834
1670715010667, 25158, 2008992
1670715011667, 26662, 2035654
1670715012667, 26533, 2062187
1670715013668, 23864, 2086051
1670715014712, 29551, 2115602
1670715015712, 32133, 2147735
1670715016713, 31604, 2179339
1670715017713, 27840, 2207179
1670715018714, 29812, 2236991
1670715019714, 29868, 2266859
1670715020714, 30742, 2297601
1670715021715, 29379, 2326980
1670715022715, 32276, 2359256
1670715023715, 33228, 2392484
1670715024716, 33209, 2425693
1670715025716, 30656, 2456349
1670715026717, 32610, 2488959
1670715027768, 34251, 2523210
1670715028768, 32701, 2555911
1670715029769, 8657, 2564568
1670715030769, 13, 2564581
1670715031769, 0, 2564581
1670715032770, 0, 2564581
