__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
16:15:24,701 INFO  quarkus:88 [main] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 1.155s. Listening on: http://0.0.0.0:8888
16:15:24,708 INFO  quarkus:91 [main] Profile prod activated. 
16:15:24,709 INFO  quarkus:92 [main] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi]
16:15:33,908 INFO  LoggerController:66 [executor-thread-1] loggerRestClients size [2]
16:15:34,014 INFO  LoggerController:101 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=1, pathPrefix=/tmp/]]
16:15:34,014 INFO  LoggerController:109 [executor-thread-1] Calling logger in url id [0] with id [4]
16:15:34,087 INFO  LoggerController:83 [executor-thread-2] Registering replica logger
16:15:34,396 INFO  ReplicaLoggerClient:63 [executor-thread-2] Path created [/tmp/31e54da4-4183-431b-a383-4227d5c07bf3]
1670195734398, 0, 0
16:15:34,407 ERROR [TCPListener] LearnerRole:219 - Learner received decision without value! [Decision from:2 to:Learner instance:8955 ballot:11 v_ballot:0 value:<none> (919123767823171)]
16:15:34,412 WARN  [ElasticLearner] ElasticLearnerRole:362 - ElasticLearner must recover the value count for ring 1!
1670195735398, 0, 0
1670195736399, 0, 0
1670195737399, 0, 0
1670195738399, 0, 0
1670195739400, 0, 0
1670195740400, 0, 0
1670195741400, 0, 0
1670195742401, 0, 0
1670195743401, 0, 0
1670195744402, 0, 0
1670195745402, 0, 0
1670195746402, 0, 0
1670195747404, 0, 0
1670195748404, 0, 0
1670195749404, 0, 0
1670195750404, 0, 0
1670195751405, 0, 0
1670195752405, 0, 0
1670195753405, 0, 0
1670195754406, 0, 0
1670195755406, 0, 0
1670195756406, 0, 0
1670195757407, 0, 0
1670195758407, 0, 0
1670195759409, 0, 0
1670195760410, 0, 0
1670195761410, 0, 0
1670195762410, 0, 0
1670195763411, 0, 0
1670195764411, 0, 0
1670195765425, 0, 0
1670195766425, 0, 0
1670195767426, 0, 0
1670195768426, 0, 0
1670195769426, 0, 0
1670195770427, 0, 0
1670195771427, 0, 0
1670195772427, 0, 0
1670195773431, 0, 0
1670195774432, 0, 0
1670195775432, 0, 0
1670195776433, 0, 0
1670195777433, 0, 0
1670195778433, 0, 0
1670195779434, 0, 0
1670195780434, 0, 0
1670195781434, 0, 0
1670195782435, 0, 0
1670195783435, 0, 0
1670195784435, 0, 0
1670195785436, 0, 0
1670195786436, 0, 0
1670195787436, 0, 0
1670195788437, 0, 0
1670195789437, 0, 0
1670195790437, 0, 0
1670195791437, 0, 0
1670195792438, 0, 0
1670195793439, 0, 0
1670195794439, 0, 0
1670195795440, 0, 0
1670195796440, 0, 0
1670195797440, 0, 0
1670195798440, 0, 0
1670195799441, 0, 0
1670195800441, 0, 0
1670195801441, 0, 0
1670195802442, 0, 0
1670195803442, 0, 0
1670195804442, 0, 0
1670195805443, 0, 0
1670195806443, 0, 0
1670195807443, 0, 0
1670195808443, 0, 0
1670195809444, 0, 0
1670195810444, 0, 0
1670195811445, 0, 0
1670195812445, 0, 0
1670195813445, 0, 0
1670195814446, 0, 0
1670195815446, 0, 0
1670195816446, 0, 0
1670195817447, 0, 0
1670195818447, 0, 0
1670195819447, 0, 0
1670195820447, 0, 0
1670195821448, 0, 0
1670195822448, 0, 0
1670195823448, 0, 0
1670195824449, 0, 0
1670195825449, 0, 0
1670195826449, 0, 0
1670195827449, 0, 0
1670195828450, 0, 0
1670195829450, 0, 0
1670195830450, 0, 0
1670195831450, 0, 0
1670195832451, 0, 0
1670195833451, 0, 0
