07:31:04,592 INFO  [main] RawABListener:48 - Initing a RawABListener...
07:31:04,599 INFO  [main] Node:101 - PID: 25854
07:31:04,790 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
07:31:04,793 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
07:31:04,793 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
07:31:04,809 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
07:31:04,810 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
07:31:04,810 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
07:31:04,820 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
07:31:04,823 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
07:31:04,831 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14] (succsessor: 2 at /10.10.1.3:2147)
07:31:04,836 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14, 15] (succsessor: 15 at /10.10.1.6:2174)
07:31:04,844 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1670596264844, 0, 0
Reading from stdin
07:31:04,855 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2174)
07:31:04,945 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2174)
1670596265844, 0, 0
1670596266845, 0, 0
1670596267845, 0, 0
1670596268846, 0, 0
1670596269846, 556, 556
1670596270846, 14028, 14584
1670596271847, 15600, 30184
1670596272847, 11733, 41917
1670596273848, 10490, 52407
1670596274849, 13962, 66369
1670596275850, 15528, 81897
1670596276850, 15376, 97273
1670596277850, 14819, 112092
1670596278851, 12455, 124547
1670596279851, 12504, 137051
1670596280852, 9687, 146738
1670596281853, 15841, 162579
1670596282853, 14543, 177122
1670596283854, 13706, 190828
1670596284854, 17079, 207907
1670596285855, 15889, 223796
1670596286855, 15892, 239688
1670596287855, 14686, 254374
1670596288856, 12559, 266933
1670596291347, 14862, 281795
1670596292348, 15460, 297255
1670596293348, 17197, 314452
1670596294348, 6076, 320528
1670596295807, 15799, 336327
1670596296808, 14102, 350429
1670596297808, 14750, 365179
1670596298808, 5223, 370402
1670596300162, 12890, 383292
1670596301162, 16412, 399704
1670596302162, 12441, 412145
1670596303884, 15012, 427157
1670596304884, 12668, 439825
1670596305884, 7281, 447106
1670596307205, 10814, 457920
1670596308206, 13289, 471209
1670596309206, 5753, 476962
1670596310724, 13230, 490192
1670596311724, 12910, 503102
1670596313109, 8943, 512045
1670596314109, 13517, 525562
1670596315110, 5492, 531054
1670596316110, 12497, 543551
1670596317110, 6469, 550020
1670596318110, 14580, 564600
1670596319111, 6064, 570664
1670596320111, 12648, 583312
1670596321111, 5360, 588672
1670596322112, 10911, 599583
1670596323112, 6297, 605880
1670596324113, 9312, 615192
1670596325113, 7627, 622819
1670596326113, 12705, 635524
1670596327113, 4372, 639896
1670596328114, 12505, 652401
1670596329537, 14878, 667279
1670596330923, 14922, 682201
1670596332345, 14464, 696665
1670596333754, 14129, 710794
1670596335115, 13926, 724720
1670596336470, 13556, 738276
1670596337740, 13365, 751641
1670596339030, 12955, 764596
1670596340398, 12856, 777452
1670596341681, 9698, 787150
1670596342682, 8124, 795274
1670596343682, 8986, 804260
1670596344682, 11003, 815263
1670596345907, 12422, 827685
1670596347234, 12224, 839909
1670596348630, 9980, 849889
1670596349630, 6099, 855988
1670596350630, 7882, 863870
1670596351828, 11868, 875738
1670596353098, 11755, 887493
1670596354397, 11619, 899112
1670596355515, 10732, 909844
1670596356516, 9007, 918851
1670596357516, 7071, 925922
1670596358516, 9646, 935568
1670596359516, 2868, 938436
1670596360517, 902, 939338
1670596361517, 907, 940245
1670596362517, 0, 940245
1670596363517, 0, 940245
1670596364518, 0, 940245
1670596365518, 0, 940245
1670596366518, 0, 940245
1670596367518, 0, 940245
1670596368519, 0, 940245
1670596369519, 0, 940245
1670596370519, 0, 940245
1670596371519, 0, 940245
1670596372519, 1261, 941506
1670596373520, 1736, 943242
1670596374520, 0, 943242
1670596375520, 0, 943242
07:32:56,006 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 14, 15] (succsessor: 15 at /10.10.1.6:2174)
1670596376521, 0, 943242
1670596377521, 0, 943242
1670596378521, 0, 943242
1670596379521, 0, 943242
1670596380522, 0, 943242
