20:38:11,820 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:38:11,828 INFO  [main] Node:101 - PID: 15603
20:38:12,056 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:38:12,062 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:38:12,062 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:38:12,083 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:38:12,083 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:38:12,084 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:38:12,090 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:38:12,092 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:38:12,096 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13] (succsessor: 13 at /10.10.1.5:2535)
20:38:12,104 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 15] (succsessor: 15 at /10.10.1.7:2885)
20:38:12,214 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 15] (succsessor: 15 at /10.10.1.7:2885)
20:38:12,292 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14, 15] (succsessor: 14 at /10.10.1.6:2089)
20:38:12,422 INFO  [main] Replica:165 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
Reading from stdin
1670125092423, 0, 0
20:38:12,928 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.6:2089)
1670125093424, 0, 0
1670125094424, 0, 0
1670125095424, 0, 0
1670125096425, 0, 0
1670125097425, 201, 201
1670125098426, 493, 694
1670125099426, 490, 1184
1670125100426, 513, 1697
1670125101427, 507, 2204
1670125102427, 509, 2713
1670125103428, 503, 3216
1670125104428, 491, 3707
1670125105428, 498, 4205
1670125106429, 501, 4706
1670125107429, 504, 5210
1670125108429, 516, 5726
1670125109430, 488, 6214
1670125110430, 510, 6724
1670125111430, 507, 7231
1670125112431, 513, 7744
1670125113431, 513, 8257
1670125114431, 521, 8778
1670125115433, 517, 9295
1670125116433, 509, 9804
1670125117434, 496, 10300
1670125118434, 510, 10810
1670125119434, 494, 11304
1670125120434, 511, 11815
1670125121435, 508, 12323
1670125122435, 493, 12816
1670125123435, 521, 13337
1670125124435, 506, 13843
1670125125436, 510, 14353
1670125126436, 497, 14850
1670125127436, 507, 15357
1670125128437, 510, 15867
1670125129437, 495, 16362
1670125130437, 506, 16868
1670125131438, 516, 17384
1670125132438, 516, 17900
1670125133438, 505, 18405
1670125134438, 499, 18904
1670125135439, 507, 19411
1670125136439, 498, 19909
1670125137439, 501, 20410
1670125138440, 502, 20912
1670125139440, 513, 21425
1670125140440, 490, 21915
1670125141441, 517, 22432
1670125142441, 504, 22936
1670125143441, 514, 23450
1670125144441, 497, 23947
1670125145442, 507, 24454
1670125146443, 504, 24958
1670125147443, 509, 25467
1670125148443, 488, 25955
1670125149443, 491, 26446
1670125150444, 517, 26963
1670125151444, 510, 27473
1670125152444, 518, 27991
1670125153444, 515, 28506
1670125154445, 504, 29010
1670125155446, 506, 29516
1670125156446, 499, 30015
1670125157446, 494, 30509
1670125158447, 510, 31019
1670125159447, 493, 31512
1670125160447, 499, 32011
1670125161447, 506, 32517
1670125162448, 517, 33034
1670125163448, 496, 33530
1670125164448, 509, 34039
1670125165448, 493, 34532
1670125166449, 495, 35027
1670125167449, 512, 35539
1670125168449, 497, 36036
1670125169449, 494, 36530
1670125170450, 516, 37046
1670125171450, 512, 37558
1670125172450, 510, 38068
1670125173450, 520, 38588
1670125174451, 509, 39097
1670125175451, 515, 39612
1670125176451, 507, 40119
1670125177452, 502, 40621
1670125178452, 501, 41122
1670125179452, 501, 41623
1670125180452, 496, 42119
1670125181453, 497, 42616
1670125182453, 525, 43141
1670125183453, 513, 43654
1670125184453, 521, 44175
1670125185454, 509, 44684
1670125186454, 292, 44976
1670125187454, 0, 44976
1670125188454, 0, 44976
1670125189455, 0, 44976
1670125190455, 0, 44976
1670125191455, 0, 44976
1670125192455, 0, 44976
1670125193456, 0, 44976
1670125194456, 0, 44976
