11:01:16,182 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [100]
11:01:16,195 INFO  [main] Client:223 - Start performance testing with [32] threads, experimentTimeSeconds [90], commandSize [1024] bytes)
11:01:16,209 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
11:01:17,222 INFO  [ClientStatsWriter] Client:202 - Commands sent 685, Response received 670, Total Commands 685, Total Responses 670, Avg latency (ms) 2.48, Lantencies size 6,
11:01:18,223 INFO  [ClientStatsWriter] Client:202 - Commands sent 782, Response received 788, Total Commands 1467, Total Responses 1458, Avg latency (ms) 2.09, Lantencies size 8,
11:01:19,224 INFO  [ClientStatsWriter] Client:202 - Commands sent 818, Response received 816, Total Commands 2285, Total Responses 2274, Avg latency (ms) 2.19, Lantencies size 8,
11:01:20,225 INFO  [ClientStatsWriter] Client:202 - Commands sent 771, Response received 775, Total Commands 3056, Total Responses 3049, Avg latency (ms) 2.01, Lantencies size 8,
11:01:21,225 ERROR [Command Sender 31] Client:253 - Did not receive response from replicas: 32
11:01:21,225 ERROR [Command Sender 26] Client:253 - Did not receive response from replicas: 27
11:01:21,225 ERROR [Command Sender 14] Client:253 - Did not receive response from replicas: 15
11:01:21,225 ERROR [Command Sender 18] Client:253 - Did not receive response from replicas: 19
11:01:21,225 ERROR [Command Sender 4] Client:253 - Did not receive response from replicas: 5
11:01:21,225 ERROR [Command Sender 17] Client:253 - Did not receive response from replicas: 18
11:01:21,225 ERROR [Command Sender 27] Client:253 - Did not receive response from replicas: 28
11:01:21,230 INFO  [ClientStatsWriter] Client:202 - Commands sent 797, Response received 796, Total Commands 3853, Total Responses 3845, Avg latency (ms) 2.02, Lantencies size 8,
11:01:22,231 INFO  [ClientStatsWriter] Client:202 - Commands sent 1001, Response received 1001, Total Commands 4854, Total Responses 4846, Avg latency (ms) 2.08, Lantencies size 10,
11:01:23,236 INFO  [ClientStatsWriter] Client:202 - Commands sent 1023, Response received 1023, Total Commands 5877, Total Responses 5869, Avg latency (ms) 2.00, Lantencies size 10,
11:01:24,236 INFO  [ClientStatsWriter] Client:202 - Commands sent 1010, Response received 1009, Total Commands 6887, Total Responses 6878, Avg latency (ms) 1.97, Lantencies size 10,
11:01:25,239 INFO  [ClientStatsWriter] Client:202 - Commands sent 1011, Response received 1013, Total Commands 7898, Total Responses 7891, Avg latency (ms) 1.75, Lantencies size 10,
11:01:26,240 INFO  [ClientStatsWriter] Client:202 - Commands sent 1007, Response received 1005, Total Commands 8905, Total Responses 8896, Avg latency (ms) 1.86, Lantencies size 10,
11:01:27,241 INFO  [ClientStatsWriter] Client:202 - Commands sent 986, Response received 987, Total Commands 9891, Total Responses 9883, Avg latency (ms) 1.87, Lantencies size 10,
11:01:28,243 INFO  [ClientStatsWriter] Client:202 - Commands sent 1014, Response received 1015, Total Commands 10905, Total Responses 10898, Avg latency (ms) 1.90, Lantencies size 10,
11:01:29,244 INFO  [ClientStatsWriter] Client:202 - Commands sent 1038, Response received 1037, Total Commands 11943, Total Responses 11935, Avg latency (ms) 1.74, Lantencies size 11,
11:01:30,245 INFO  [ClientStatsWriter] Client:202 - Commands sent 1026, Response received 1027, Total Commands 12969, Total Responses 12962, Avg latency (ms) 1.81, Lantencies size 10,
11:01:31,246 INFO  [ClientStatsWriter] Client:202 - Commands sent 1017, Response received 1013, Total Commands 13986, Total Responses 13975, Avg latency (ms) 1.67, Lantencies size 10,
11:01:32,248 INFO  [ClientStatsWriter] Client:202 - Commands sent 1027, Response received 1025, Total Commands 15013, Total Responses 15000, Avg latency (ms) 1.83, Lantencies size 11,
11:01:33,249 INFO  [ClientStatsWriter] Client:202 - Commands sent 1013, Response received 1019, Total Commands 16026, Total Responses 16019, Avg latency (ms) 1.79, Lantencies size 10,
11:01:34,250 INFO  [ClientStatsWriter] Client:202 - Commands sent 1051, Response received 1048, Total Commands 17077, Total Responses 17067, Avg latency (ms) 1.73, Lantencies size 10,
11:01:35,250 INFO  [ClientStatsWriter] Client:202 - Commands sent 982, Response received 981, Total Commands 18059, Total Responses 18048, Avg latency (ms) 1.71, Lantencies size 10,
