12:52:12,235 INFO  [main] RawABListener:48 - Initing a RawABListener...
12:52:12,241 INFO  [main] Node:101 - PID: 6240
12:52:12,389 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
12:52:12,392 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
12:52:12,392 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
12:52:12,407 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
12:52:12,408 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
12:52:12,408 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
12:52:12,416 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: enabled
12:52:12,418 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
12:52:12,423 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 14] (succsessor: 1 at /10.10.1.2:2881)
12:52:12,428 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 14, 15] (succsessor: 15 at /10.10.1.6:2164)
12:52:12,467 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2164)
12:52:12,558 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 15 at /10.10.1.6:2164)
12:52:12,928 INFO  [main] Replica:162 - Token [0], ringId [null], nodeId [14], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1669233132929, 0, 0
1669233133929, 0, 0
1669233134930, 0, 0
1669233135930, 0, 0
1669233136931, 0, 0
1669233137931, 0, 0
1669233138932, 0, 0
1669233139932, 0, 0
1669233140932, 0, 0
1669233141933, 0, 0
1669233142933, 0, 0
1669233143934, 0, 0
1669233144934, 0, 0
1669233145934, 0, 0
1669233146935, 0, 0
1669233147935, 0, 0
1669233148935, 0, 0
1669233149936, 0, 0
1669233150936, 1755, 1755
1669233151936, 3733, 5488
1669233152937, 3800, 9288
1669233153937, 3729, 13017
1669233154937, 3741, 16758
1669233155938, 3753, 20511
1669233156938, 3793, 24304
1669233157939, 3805, 28109
1669233158940, 3817, 31926
1669233159940, 3804, 35730
1669233160941, 3813, 39543
1669233161941, 3830, 43373
1669233162941, 3807, 47180
1669233163942, 3792, 50972
1669233164942, 3782, 54754
1669233165942, 3804, 58558
1669233166943, 3799, 62357
1669233167943, 1637, 63994
1669233168943, 6, 64000
1669233169944, 0, 64000
12:52:50,515 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
12:52:50,615 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
12:52:50,615 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
12:52:50,615 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
