20:22:34,041 INFO  [main] RawABListener:48 - Initing a RawABListener...
20:22:34,048 INFO  [main] Node:101 - PID: 69531
20:22:34,252 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
20:22:34,255 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
20:22:34,256 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
20:22:34,271 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
20:22:34,272 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
20:22:34,272 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
20:22:34,278 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
20:22:34,280 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
20:22:34,285 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [15] (succsessor: 15 at /10.10.1.6:2912)
20:22:34,295 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [14, 15] (succsessor: 14 at /10.10.1.5:2779)
20:22:34,299 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [true] with simple constructor
1670728954299, 0, 0
Reading from stdin
20:22:34,358 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 14, 15] (succsessor: 2 at /10.10.1.3:2377)
20:22:34,424 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2638)
1670728955300, 0, 0
1670728956300, 0, 0
1670728957300, 0, 0
1670728958301, 0, 0
1670728959301, 72, 72
1670728960302, 3753, 3825
1670728961302, 3883, 7708
1670728962303, 3845, 11553
1670728963303, 3900, 15453
1670728964304, 3733, 19186
1670728965304, 3894, 23080
1670728966305, 3834, 26914
1670728967305, 3873, 30787
1670728968306, 3791, 34578
1670728969306, 3930, 38508
1670728970306, 3794, 42302
1670728971307, 3871, 46173
1670728972307, 3855, 50028
1670728973307, 3834, 53862
1670728974308, 3877, 57739
1670728975309, 3822, 61561
1670728976309, 3861, 65422
1670728977309, 3796, 69218
1670728978310, 3708, 72926
1670728979310, 3956, 76882
1670728980311, 3804, 80686
1670728981312, 3993, 84679
1670728982312, 3884, 88563
1670728983330, 3853, 92416
1670728984330, 4034, 96450
1670728985331, 3873, 100323
1670728986331, 3909, 104232
1670728987332, 3845, 108077
1670728988332, 3831, 111908
1670728989332, 3863, 115771
1670728990333, 3853, 119624
1670728991333, 3849, 123473
1670728992333, 3724, 127197
1670728993334, 4051, 131248
1670728994335, 3894, 135142
1670728995335, 3782, 138924
1670728996335, 3905, 142829
1670728997336, 3824, 146653
1670728998336, 3862, 150515
1670728999336, 3818, 154333
1670729000336, 3801, 158134
1670729001337, 3840, 161974
1670729002337, 3921, 165895
1670729003337, 3869, 169764
1670729004338, 3392, 173156
1670729005894, 5617, 178773
1670729006894, 4444, 183217
1670729007895, 3822, 187039
1670729008895, 3854, 190893
1670729009895, 1185, 192078
1670729010895, 4033, 196111
1670729011896, 3849, 199960
1670729012896, 3829, 203789
1670729013896, 3911, 207700
1670729014897, 1401, 209101
1670729015897, 4099, 213200
1670729016897, 3877, 217077
1670729017898, 3839, 220916
1670729018898, 3949, 224865
1670729019898, 1596, 226461
1670729020899, 3928, 230389
1670729021899, 3861, 234250
1670729022899, 3866, 238116
1670729023900, 3905, 242021
1670729024900, 2301, 244322
1670729025900, 4436, 248758
1670729026900, 4177, 252935
1670729027901, 3892, 256827
1670729028902, 3766, 260593
1670729029902, 1458, 262051
1670729030902, 5375, 267426
1670729031902, 3461, 270887
1670729032903, 4333, 275220
1670729033903, 3853, 279073
1670729034903, 1196, 280269
1670729035904, 5575, 285844
1670729036904, 3900, 289744
1670729037904, 3540, 293284
1670729038905, 4173, 297457
1670729039905, 1351, 298808
1670729040905, 5365, 304173
1670729041905, 4452, 308625
1670729042906, 3838, 312463
1670729043906, 3892, 316355
1670729044906, 3670, 320025
1670729045907, 4132, 324157
1670729046907, 3609, 327766
1670729047907, 4084, 331850
1670729048908, 3856, 335706
1670729049908, 492, 336198
20:24:10,620 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:24:10,720 ERROR [main-EventThread] RingManager:232 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/nodes
20:24:10,720 ERROR [main-EventThread] TopologyManager:465 - org.apache.zookeeper.KeeperException$SessionExpiredException: KeeperErrorCode = Session expired for /ringpaxos/topology1/learners
