12:50:13,423 INFO  [main] Client:125 - thinkingTime [50], writePercentage [100], trackerNumber [100]
12:50:13,436 INFO  [main] Client:223 - Start performance testing with [32] threads, sendsPerThread [500], commandSize [512] bytes)
12:50:13,450 INFO  [ClientStatsWriter] Client:202 - Commands sent 0, Response received 0, Total Commands 0, Total Responses 0, Avg latency (ms) 0.00, Lantencies size 0,
12:50:14,456 INFO  [ClientStatsWriter] Client:202 - Commands sent 877, Response received 875, Total Commands 877, Total Responses 875, Avg latency (ms) 2.79, Lantencies size 8,
12:50:15,458 INFO  [ClientStatsWriter] Client:202 - Commands sent 1008, Response received 1007, Total Commands 1885, Total Responses 1882, Avg latency (ms) 2.41, Lantencies size 10,
12:50:16,459 INFO  [ClientStatsWriter] Client:202 - Commands sent 1006, Response received 1009, Total Commands 2891, Total Responses 2891, Avg latency (ms) 2.08, Lantencies size 10,
12:50:17,460 INFO  [ClientStatsWriter] Client:202 - Commands sent 1015, Response received 1015, Total Commands 3906, Total Responses 3906, Avg latency (ms) 1.83, Lantencies size 11,
12:50:18,466 INFO  [ClientStatsWriter] Client:202 - Commands sent 1036, Response received 1034, Total Commands 4942, Total Responses 4940, Avg latency (ms) 1.88, Lantencies size 10,
12:50:19,467 INFO  [ClientStatsWriter] Client:202 - Commands sent 1022, Response received 1022, Total Commands 5964, Total Responses 5962, Avg latency (ms) 2.17, Lantencies size 10,
12:50:20,469 INFO  [ClientStatsWriter] Client:202 - Commands sent 1008, Response received 1007, Total Commands 6972, Total Responses 6969, Avg latency (ms) 1.91, Lantencies size 10,
12:50:21,470 INFO  [ClientStatsWriter] Client:202 - Commands sent 1007, Response received 1008, Total Commands 7979, Total Responses 7977, Avg latency (ms) 2.01, Lantencies size 10,
12:50:22,472 INFO  [ClientStatsWriter] Client:202 - Commands sent 997, Response received 998, Total Commands 8976, Total Responses 8975, Avg latency (ms) 2.07, Lantencies size 10,
12:50:23,473 INFO  [ClientStatsWriter] Client:202 - Commands sent 1033, Response received 1033, Total Commands 10009, Total Responses 10008, Avg latency (ms) 2.09, Lantencies size 11,
12:50:24,475 INFO  [ClientStatsWriter] Client:202 - Commands sent 1026, Response received 1026, Total Commands 11035, Total Responses 11034, Avg latency (ms) 1.75, Lantencies size 10,
12:50:25,476 INFO  [ClientStatsWriter] Client:202 - Commands sent 1013, Response received 1014, Total Commands 12048, Total Responses 12048, Avg latency (ms) 1.85, Lantencies size 10,
12:50:26,477 INFO  [ClientStatsWriter] Client:202 - Commands sent 1006, Response received 1005, Total Commands 13054, Total Responses 13053, Avg latency (ms) 1.97, Lantencies size 10,
12:50:27,483 INFO  [ClientStatsWriter] Client:202 - Commands sent 1029, Response received 1028, Total Commands 14083, Total Responses 14081, Avg latency (ms) 1.87, Lantencies size 10,
12:50:28,484 INFO  [ClientStatsWriter] Client:202 - Commands sent 1004, Response received 1004, Total Commands 15087, Total Responses 15085, Avg latency (ms) 1.85, Lantencies size 10,
12:50:28,907 INFO  [Command Sender 5] Client:266 - Thread [Command Sender 5] terminated.
12:50:28,979 INFO  [Command Sender 30] Client:266 - Thread [Command Sender 30] terminated.
12:50:29,007 INFO  [Command Sender 16] Client:266 - Thread [Command Sender 16] terminated.
12:50:29,078 INFO  [Command Sender 31] Client:266 - Thread [Command Sender 31] terminated.
12:50:29,146 INFO  [Command Sender 18] Client:266 - Thread [Command Sender 18] terminated.
12:50:29,159 INFO  [Command Sender 28] Client:266 - Thread [Command Sender 28] terminated.
12:50:29,231 INFO  [Command Sender 29] Client:266 - Thread [Command Sender 29] terminated.
12:50:29,244 INFO  [Command Sender 6] Client:266 - Thread [Command Sender 6] terminated.
12:50:29,246 INFO  [Command Sender 26] Client:266 - Thread [Command Sender 26] terminated.
12:50:29,274 INFO  [Command Sender 2] Client:266 - Thread [Command Sender 2] terminated.
12:50:29,286 INFO  [Command Sender 22] Client:266 - Thread [Command Sender 22] terminated.
12:50:29,307 INFO  [Command Sender 1] Client:266 - Thread [Command Sender 1] terminated.
12:50:29,315 INFO  [Command Sender 25] Client:266 - Thread [Command Sender 25] terminated.
12:50:29,346 INFO  [Command Sender 13] Client:266 - Thread [Command Sender 13] terminated.
12:50:29,378 INFO  [Command Sender 7] Client:266 - Thread [Command Sender 7] terminated.
12:50:29,379 INFO  [Command Sender 8] Client:266 - Thread [Command Sender 8] terminated.
12:50:29,379 INFO  [Command Sender 10] Client:266 - Thread [Command Sender 10] terminated.
12:50:29,408 INFO  [Command Sender 21] Client:266 - Thread [Command Sender 21] terminated.
12:50:29,417 INFO  [Command Sender 14] Client:266 - Thread [Command Sender 14] terminated.
12:50:29,445 INFO  [Command Sender 4] Client:266 - Thread [Command Sender 4] terminated.
12:50:29,462 INFO  [Command Sender 15] Client:266 - Thread [Command Sender 15] terminated.
12:50:29,470 INFO  [Command Sender 19] Client:266 - Thread [Command Sender 19] terminated.
