12:11:21,690 INFO  [main] RawABListener:48 - Initing a RawABListener...
12:11:21,698 INFO  [main] Node:101 - PID: 26970
12:11:21,888 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
12:11:21,892 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
12:11:21,893 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
12:11:21,908 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
12:11:21,909 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
12:11:21,909 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
12:11:21,914 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
12:11:21,916 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
12:11:21,920 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 15] (succsessor: 2 at /10.10.1.4:2769)
12:11:21,927 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 15] (succsessor: 2 at /10.10.1.4:2769)
12:11:21,936 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 15] (succsessor: 2 at /10.10.1.4:2769)
12:11:21,942 INFO  [main] Replica:165 - Token [0], ringId [null], nodeId [15], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [true], useDiskDb [false] with simple constructor
1670181081943, 0, 0
Reading from stdin
12:11:22,112 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 15] (succsessor: 1 at /10.10.1.2:2234)
12:11:22,530 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 1 at /10.10.1.2:2234)
1670181082943, 0, 0
1670181083944, 0, 0
1670181084944, 0, 0
1670181085945, 0, 0
1670181086945, 75, 75
1670181087946, 1005, 1080
1670181088946, 1002, 2082
1670181089947, 991, 3073
1670181090947, 1006, 4079
1670181091948, 1015, 5094
1670181092948, 998, 6092
1670181093949, 1018, 7110
1670181094949, 1010, 8120
1670181095949, 1009, 9129
1670181096950, 1013, 10142
1670181097951, 985, 11127
1670181098951, 1023, 12150
1670181099952, 1004, 13154
1670181100952, 1005, 14159
1670181101952, 1002, 15161
1670181102953, 1024, 16185
1670181103953, 989, 17174
1670181104954, 1011, 18185
1670181105954, 1006, 19191
1670181106954, 1025, 20216
1670181107955, 1007, 21223
1670181108955, 1020, 22243
1670181109956, 987, 23230
1670181110956, 1040, 24270
1670181111957, 1009, 25279
1670181112958, 975, 26254
1670181113958, 1019, 27273
1670181114958, 994, 28267
1670181115959, 1000, 29267
1670181116959, 1023, 30290
1670181117959, 1021, 31311
1670181118960, 999, 32310
1670181119960, 1009, 33319
1670181120961, 1017, 34336
1670181121961, 1018, 35354
1670181122961, 1011, 36365
1670181123962, 1004, 37369
1670181124962, 1024, 38393
1670181125963, 1045, 39438
1670181126963, 1042, 40480
1670181127963, 1047, 41527
1670181128964, 1007, 42534
1670181129964, 1015, 43549
1670181130964, 1007, 44556
1670181131965, 1022, 45578
1670181132965, 1002, 46580
1670181133965, 1016, 47596
1670181134966, 1017, 48613
1670181135966, 1019, 49632
1670181136966, 1021, 50653
1670181137967, 989, 51642
1670181138967, 999, 52641
