16:12:48,327 INFO  [main] RawABListener:48 - Initing a RawABListener...
16:12:48,335 INFO  [main] Node:101 - PID: 54892
16:12:48,537 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
16:12:48,540 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
16:12:48,540 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
16:12:48,557 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
16:12:48,557 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
16:12:48,558 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
16:12:48,567 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: disabled
16:12:48,569 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
16:12:48,579 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 14] (succsessor: 14 at /10.10.1.5:2422)
16:12:48,588 INFO  [main] Replica:169 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1670713968589, 0, 0
Reading from stdin
16:12:48,598 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 13, 14] (succsessor: 14 at /10.10.1.5:2422)
16:12:48,654 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 14 at /10.10.1.5:2422)
16:12:48,722 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2422)
1670713969589, 0, 0
1670713970589, 0, 0
1670713971590, 0, 0
1670713972590, 0, 0
1670713973591, 243, 243
1670713974591, 10850, 11093
1670713975591, 14026, 25119
1670713976592, 12150, 37269
1670713977592, 12722, 49991
1670713978593, 14891, 64882
1670713979594, 15151, 80033
1670713980594, 14445, 94478
1670713981595, 9804, 104282
1670713982595, 9042, 113324
1670713983633, 11315, 124639
1670713984633, 15635, 140274
1670713985633, 14089, 154363
1670713986634, 9740, 164103
1670713987634, 12733, 176836
1670713988635, 10127, 186963
1670713989638, 13004, 199967
1670713990638, 15087, 215054
1670713991639, 15041, 230095
1670713992639, 14882, 244977
1670713993640, 11319, 256296
1670713995848, 10506, 266802
1670713996848, 12073, 278875
1670713997848, 14580, 293455
1670713998849, 8335, 301790
1670714000363, 12871, 314661
1670714001364, 15739, 330400
1670714002364, 17013, 347413
1670714003364, 4592, 352005
1670714004717, 13606, 365611
1670714005717, 15455, 381066
1670714006718, 12699, 393765
1670714008640, 14572, 408337
1670714009640, 14443, 422780
1670714010640, 6293, 429073
1670714011935, 9708, 438781
1670714012935, 13213, 451994
1670714013935, 7452, 459446
1670714015164, 12481, 471927
1670714016165, 13481, 485408
1670714017165, 3213, 488621
1670714018165, 11403, 500024
1670714019166, 9492, 509516
1670714020377, 10172, 519688
1670714021378, 11157, 530845
1670714022744, 13611, 544456
1670714023744, 6898, 551354
1670714024744, 13969, 565323
1670714025744, 6958, 572281
1670714026745, 15251, 587532
1670714028225, 14974, 602506
1670714029226, 6149, 608655
1670714030226, 12193, 620848
1670714031686, 13967, 634815
1670714032686, 6877, 641692
1670714033686, 10274, 651966
1670714034964, 13432, 665398
1670714035964, 8464, 673862
1670714036964, 8532, 682394
1670714037965, 8843, 691237
1670714038965, 7970, 699207
1670714039966, 9678, 708885
1670714041126, 13605, 722490
1670714042464, 13244, 735734
1670714043702, 13059, 748793
1670714044951, 13109, 761902
1670714046216, 12768, 774670
1670714047448, 12520, 787190
1670714048645, 12382, 799572
1670714049879, 12245, 811817
1670714051110, 11976, 823793
1670714052277, 12019, 835812
1670714053539, 11755, 847567
1670714054762, 11750, 859317
1670714056137, 11799, 871116
1670714057321, 10330, 881446
1670714058321, 7841, 889287
1670714059322, 8005, 897292
1670714060322, 9301, 906593
1670714061322, 9897, 916490
1670714062380, 10123, 926613
1670714063380, 3159, 929772
1670714064380, 0, 929772
