[[1;34mINFO[m] Scanning for projects...
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m-----------------------< [0;36morg.acme:shared-logger[0;1m >-----------------------[m
[[1;34mINFO[m] [1mBuilding shared-logger 1.0.0-SNAPSHOT[m
[[1;34mINFO[m] [1m--------------------------------[ jar ]---------------------------------[m
[[1;34mINFO[m] 
[[1;34mINFO[m] [1m--- [0;32mquarkus-maven-plugin:1.10.2.Final:dev[m [1m(default-cli)[m @ [36mshared-logger[0;1m ---[m
[[1;34mINFO[m] Using 'UTF-8' encoding to copy filtered resources.
[[1;34mINFO[m] Copying 3 resources
[[1;34mINFO[m] Nothing to compile - all classes are up to date
Listening for transport dt_socket at address: 5005
__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
11:29:55,027 INFO  quarkus:88 [Quarkus Main Thread] shared-logger 1.0.0-SNAPSHOT on JVM (powered by Quarkus 1.10.2.Final) started in 2.160s. Listening on: http://0.0.0.0:8888
11:29:55,034 INFO  quarkus:91 [Quarkus Main Thread] Profile dev activated. Live Coding activated.
11:29:55,034 INFO  quarkus:92 [Quarkus Main Thread] Installed features: [cdi, rest-client, rest-client-jackson, resteasy, resteasy-jackson, smallrye-openapi, swagger-ui]
11:29:56,746 INFO  LoggerController:59 [executor-thread-1] loggerRestClients size [2]
11:29:56,813 INFO  LoggerController:94 [executor-thread-1] Registering config [LoggerConfig [id=4, ring=1, replicas=2, pathPrefix=/tmp/]]
11:29:56,814 INFO  LoggerController:102 [executor-thread-1] Calling logger in url id [0] with id [4]
11:29:56,887 INFO  LoggerController:76 [executor-thread-2] Registering replica logger
11:29:57,103 INFO  ReplicaLoggerClient:63 [executor-thread-2] Path created [/tmp/afcea3ee-67a7-4631-a6ab-d9b465613aa4]
1669228197104, 0, 0
11:29:57,126 INFO  LoggerController:102 [executor-thread-1] Calling logger in url id [1] with id [5]
1669228198105, 0, 0
1669228199105, 0, 0
1669228200105, 0, 0
1669228201105, 0, 0
1669228202106, 0, 0
1669228203106, 0, 0
1669228204106, 0, 0
1669228205107, 0, 0
1669228206107, 0, 0
1669228207107, 0, 0
1669228208107, 0, 0
1669228209108, 0, 0
1669228210108, 0, 0
1669228211108, 0, 0
1669228212108, 0, 0
1669228213109, 0, 0
1669228214109, 0, 0
1669228215109, 0, 0
1669228216110, 0, 0
1669228217110, 0, 0
1669228218110, 0, 0
1669228219110, 0, 0
1669228220111, 0, 0
1669228221111, 0, 0
1669228222111, 0, 0
1669228223112, 0, 0
1669228224112, 0, 0
1669228225112, 0, 0
1669228226112, 0, 0
1669228227113, 0, 0
1669228228113, 0, 0
1669228229113, 0, 0
1669228230114, 0, 0
1669228231114, 0, 0
1669228232114, 0, 0
1669228233114, 0, 0
1669228234115, 0, 0
1669228235115, 0, 0
1669228236115, 0, 0
1669228237116, 0, 0
1669228238116, 0, 0
1669228239116, 0, 0
1669228240116, 0, 0
1669228241117, 0, 0
1669228242117, 0, 0
1669228243117, 0, 0
1669228244117, 0, 0
1669228245118, 112, 112
1669228246118, 953, 1065
1669228247118, 999, 2064
1669228248119, 972, 3036
1669228249119, 992, 4028
1669228250119, 1001, 5029
1669228251120, 1005, 6034
1669228252124, 995, 7029
1669228253125, 985, 8014
1669228254126, 1010, 9024
1669228255126, 989, 10013
1669228256126, 1000, 11013
1669228257127, 1000, 12013
1669228258127, 1017, 13030
1669228259127, 1012, 14042
1669228260128, 1024, 15066
1669228261128, 833, 15899
1669228262129, 101, 16000
1669228263129, 0, 16000
1669228264130, 0, 16000
1669228265130, 0, 16000
1669228266130, 0, 16000
11:31:06,212 INFO  ReplicaLoggerClient:115 [Shutdown thread] Closing files
11:31:06,217 INFO  quarkus:100 [Shutdown thread] shared-logger stopped in 0.012s
