11:48:07,105 INFO  [main] RawABListener:48 - Initing a RawABListener...
11:48:07,112 INFO  [main] Node:101 - PID: 4482
11:48:07,274 INFO  [main] NetworkManager:117 - NetworkManager tcp_nodelay: true
11:48:07,277 INFO  [main] NetworkManager:123 - NetworkManager tcp_crc: false
11:48:07,278 INFO  [main] NetworkManager:127 - NetworkManager buf_size: 2097152
11:48:07,292 INFO  [main] ElasticLearnerRole:93 - ElasticLearnerRole replication group 1
11:48:07,292 INFO  [main] ElasticLearnerRole:97 - ElasticLearnerRole initial ring 1
11:48:07,292 INFO  [main] ElasticLearnerRole:102 - ElasticLearnerRole deliver_skip_messages: enabled
11:48:07,297 INFO  [ElasticLearner] LearnerRole:102 - Learner recovery: enabled
11:48:07,299 INFO  [ElasticLearner] LearnerRole:108 - Learner auto_trim: disabled
11:48:07,304 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13] (succsessor: 13 at /10.10.1.4:2335)
11:48:07,330 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [13, 14] (succsessor: 14 at /10.10.1.5:2671)
11:48:07,371 INFO  [main] Replica:162 - Token [0], ringId [null], nodeId [13], snapshot_modulo [0], zoo_host [null], path [null], embebedLog [false], useDiskDb [true] with simple constructor
1669229287372, 0, 0
11:48:07,417 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [2, 13, 14] (succsessor: 14 at /10.10.1.5:2671)
11:48:07,436 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14] (succsessor: 14 at /10.10.1.5:2671)
11:48:07,486 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2671)
1669229288372, 0, 0
1669229289372, 0, 0
1669229290373, 0, 0
1669229291373, 0, 0
1669229292374, 0, 0
1669229293374, 0, 0
1669229294374, 0, 0
1669229295375, 0, 0
1669229296375, 0, 0
1669229297376, 0, 0
11:48:17,469 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2671)
11:48:18,315 INFO  [main-EventThread] RingManager:133 - RingManager ring 1 changed: [1, 2, 4, 5, 13, 14, 15] (succsessor: 14 at /10.10.1.5:2671)
1669229298376, 0, 0
1669229299376, 0, 0
1669229300377, 0, 0
1669229301377, 0, 0
1669229302377, 0, 0
11:48:22,921 ERROR [TCPListener] LearnerRole:219 - Learner received decision without value! [Decision from:2 to:Learner instance:1 ballot:11 v_ballot:0 value:<none> (349592214161821)]
1669229303378, 0, 0
1669229304378, 0, 0
1669229305378, 0, 0
1669229306379, 0, 0
1669229307379, 0, 0
11:48:28,314 WARN  [Learner-1] LearnerRole:133 - Learner re-request missing instance 1
1669229308379, 8, 8
1669229309380, 110, 118
1669229310380, 122, 240
1669229311380, 119, 359
1669229312381, 127, 486
1669229313381, 119, 605
1669229314381, 128, 733
1669229315382, 129, 862
1669229316382, 128, 990
1669229317382, 122, 1112
1669229318383, 118, 1230
1669229319383, 121, 1351
1669229320383, 129, 1480
1669229321383, 126, 1606
1669229322384, 116, 1722
1669229323384, 124, 1846
1669229324384, 134, 1980
1669229325385, 24, 2004
1669229326385, 0, 2004
1669229327385, 0, 2004
1669229328385, 0, 2004
1669229329386, 0, 2004
1669229330386, 0, 2004
1669229331386, 0, 2004
1669229332386, 0, 2004
1669229333387, 0, 2004
1669229334387, 0, 2004
1669229335387, 0, 2004
1669229336387, 0, 2004
1669229337388, 0, 2004
1669229338388, 0, 2004
1669229339388, 0, 2004
1669229340389, 0, 2004
1669229341389, 0, 2004
1669229342389, 0, 2004
1669229343389, 0, 2004
1669229344390, 0, 2004
1669229345390, 0, 2004
1669229346390, 0, 2004
1669229347390, 0, 2004
1669229348391, 0, 2004
1669229349391, 0, 2004
1669229350391, 0, 2004
1669229351391, 0, 2004
1669229352392, 0, 2004
1669229353392, 0, 2004
1669229354392, 0, 2004
1669229355392, 0, 2004
1669229356393, 0, 2004
1669229357393, 0, 2004
1669229358393, 0, 2004
1669229359394, 0, 2004
1669229360394, 0, 2004
1669229361394, 0, 2004
1669229362394, 0, 2004
1669229363395, 0, 2004
